,Time,User,Tweet
0,2022-09-14 04:32:11+00:00,3LandersNFT,"RT @Rioleng_NFT: HELL YEAH.
My first 3landers no future club.
Love red robot. 🤖

@3LandersNFT @3landersthai 
#3landers #NFT https://t.co/06…"
1,2022-09-14 04:31:28+00:00,3LandersNFT,RT @NFTJordylou: Made new friends at the Nike WHQ. Been here so much it feels like home. GOOOAAALLL! ⚽️🌈💙 @Nike @3LandersNFT https://t.co/u…
2,2022-09-13 18:43:27+00:00,3LandersNFT,RT @NFT__astro: See you guys there @3LandersNFT https://t.co/KPE9mQ39NK
3,2022-09-13 17:38:38+00:00,3LandersNFT,RT @Blondie23LMD: In support of @Swan5on just picked up my first @3LandersNFT and already have it slimed! Loving the similarities in the co…
4,2022-09-13 17:38:21+00:00,3LandersNFT,"RT @0xdebbie: Finally bought a 3Lander after all these time❤️Love him #42! Where's my 3landers fam at?😍 
@3LandersNFT #3L4L #3landers https…"
5,2022-09-13 17:38:11+00:00,3LandersNFT,"RT @DoMe_213: ็Hello Ape DNA  Gang .
@3LandersNFT 
 #3L4L #3Landers https://t.co/b1xASZ4Gn5"
6,2022-09-12 23:44:07+00:00,3LandersNFT,RT @FoxyFungible: This is one of my favorite hoodies. Given to me at the @3LandersNFT @NFT_NYC party. @FungibleTokn and I had an amazing ti…
7,2022-09-12 23:38:44+00:00,3LandersNFT,"RT @ST_McFly: Say hello to my new little ape friend. @3LandersNFT ✨

Thanks @DTien for pointing it out on the floor! We're pumping a bit no…"
8,2022-09-12 23:38:33+00:00,3LandersNFT,@ST_McFly @davpleb @Phteveeenx That we do! 💙
9,2022-09-12 20:50:24+00:00,3LandersNFT,"3Landers: #3330 💫

https://t.co/J592rfBkCx 🌎"
10,2022-09-12 20:50:14+00:00,3LandersNFT,"Argyrian Human ft. Minimon Pola 💙

What's your favorite type of 3L Human? 🤔 https://t.co/OjeFQp5H9W"
11,2022-09-12 19:55:47+00:00,3LandersNFT,"@macfeurson Nice ape! 😬

Welcome to 3L!! 💙"
12,2022-09-12 19:54:42+00:00,3LandersNFT,RT @macfeurson: Let's try something new today! I got great vibes from the @3LandersNFT community yesterday so I got my first. Let's see how…
13,2022-09-12 19:54:25+00:00,3LandersNFT,"RT @davpleb: Just minted the @3LandersNFT 1/1 art piece by @3landboy for attending the @3LandersNFT event at #NFTNYC! 

This piece looks so…"
14,2022-09-12 19:53:42+00:00,3LandersNFT,@Tylersmom423 👧🤩
15,2022-09-12 19:51:24+00:00,3LandersNFT,RT @Tylersmom423: Just scooped up this cutie @3LandersNFT She was just bearly above floor and the only female with the puffy pigtails liste…
16,2022-09-12 19:51:13+00:00,3LandersNFT,RT @_toetoes: @starbotuni @3LandersNFT Hell ya! Made a DV of my ape 3L and my pup hehe https://t.co/iClrPsZep3
17,2022-09-12 19:50:56+00:00,3LandersNFT,"RT @ToastedBagel27: Why i decided to go all in on @3LandersNFT !?

•Obviously the first main reason is the ART! 3Land and 3Landers is the o…"
