,Time,User,Tweet
0,2022-09-15 07:08:19+00:00,AdamBombSquad,"RT @VitalikButerin: And we finalized!

Happy merge all. This is a big moment for the Ethereum ecosystem. Everyone who helped make the merge…"
1,2022-09-15 07:03:05+00:00,AdamBombSquad,"Hey, you up? The merge just happened and it got me thinking how we should merge together too… how costly it would be if we spent our days in the 1.0 version of ourselves. LMK what u think. Hope you’re doing good.. https://t.co/fboCqLBTEL"
2,2022-09-15 04:00:08+00:00,AdamBombSquad,"Late night scrollers, its your time to shine! General access is LIVE for our new Fall ‘22 collection, get to @TheHundreds site and grab some gear! 

https://t.co/CSFy9NPJH9 https://t.co/JMeFFwEenr"
3,2022-09-14 22:28:50+00:00,AdamBombSquad,"Squad! Take a deep dive and read up on this Good Case of the Stripes and Cherries 🍒👇:

https://t.co/tZZiQOzDhZ https://t.co/BvCBbgAx62"
4,2022-09-14 22:21:55+00:00,AdamBombSquad,RT @FamilyStyleFest: One of the best BBQ spots in LA @mooscraftbbq is lighting up Family Style Food Festival 2022! 🔥🔥🔥 https://t.co/JhXcHWN…
5,2022-09-14 22:02:00+00:00,AdamBombSquad,It's time! ABS holders head over to The Hundreds site for exclusive early access to the Fall '22 Delivery Two drop! Go cop some of these fall looks and tell us which one you got🍁 🍂 https://t.co/9aE4zsyNV8
6,2022-09-14 21:58:42+00:00,AdamBombSquad,"RT @GenuineJack: Idea: buy @AdamBombSquad bombs like this and adopt the color palette to you're personal brand. 

This is so clean. I wonde…"
7,2022-09-14 19:17:03+00:00,AdamBombSquad,"Guess what Stripes and Cherries holders, royalties are here for your bombs we used in our last drop! Head over to the ABS website to find out how and where to claim your royalties🍒 https://t.co/8Htk7pXSx8"
8,2022-09-14 17:25:56+00:00,AdamBombSquad,"GM! Go ahead and finish your morning coffee ☕️ and then head over to

https://t.co/pakYDnPTcJ 

And grab your tickets to @familystylefest ☀️"
9,2022-09-14 16:37:02+00:00,AdamBombSquad,RT @bobbyhundreds: https://t.co/khzO2xt68R
10,2022-09-14 00:21:19+00:00,AdamBombSquad,"RT @FamilyStyleFest: Come grab a bite from some of the best restaurants around the world 😎

A lot of special collaborations in store for ya…"
11,2022-09-13 22:26:15+00:00,AdamBombSquad,Then it’s a food fight 😼🍔 https://t.co/8u0LiKz7lo
12,2022-09-13 22:23:34+00:00,AdamBombSquad,"RT @cloudandymeta: Beautiful Day 💚
@coolcatsnft  @AdamBombSquad https://t.co/7fXpLLWS6G"
13,2022-09-13 21:01:37+00:00,AdamBombSquad,RT @thehundreds: Stay fly and cozy all fall. 🔥 Fall '22 Delivery Two drops online TOMORROW (9/14) at 9PM PST. https://t.co/JsvVbhBazt
14,2022-09-13 20:10:06+00:00,AdamBombSquad,"Just like the Cali weather, we're bringing some heat this Fall 🔥 New @thehundreds collection drops tomorrow 👀 https://t.co/uWd4ZxwhPM"
15,2022-09-13 18:26:54+00:00,AdamBombSquad,GM Squad! 1 ETH is 1 ETH don’t @ us 🫠 #EthereumMerge https://t.co/upKw8lM6KJ
16,2022-09-13 18:25:48+00:00,AdamBombSquad,"RT @bobbyhundreds: …collectability, drop mechanics, etc etc.. Streetwear invented much of the game that NFTs operate on today. Yet, streetw…"
17,2022-09-13 18:25:46+00:00,AdamBombSquad,RT @bobbyhundreds: Many NFT projects can benefit from hiring or consulting with streetwear principals. They have a deep understanding of co…
18,2022-09-13 18:15:40+00:00,AdamBombSquad,RT @cartierknob: @thehundreds https://t.co/g9R6Wnan9H
19,2022-09-13 02:09:47+00:00,AdamBombSquad,"ETH merge is 2 days away, are we doing #relatable right? https://t.co/uP2ZtzTjDU"
