,Time,User,Tweet
0,2022-09-14 19:37:06+00:00,arcadedotinc,"Awesome Twitter Space coming up tomorrow 2PM EST with a special guest @los_muertosNFT 🔥

Discussing Topics like #Metaverse #NFTs &amp; Our upcoming Gameplay release. See you there!

https://t.co/uEvBCXuacr https://t.co/61ugkaTtxD"
1,2022-09-13 12:27:04+00:00,arcadedotinc,"Arcade World Map Challenge Begins! 🔥

📦Airdropping 1 Standard Land to the Funniest &amp; Most Creative Land Image Uploaded
📦 420 USDT will be split among 3 Randomly Raffled Participants 

✅Retweet &amp; Drop your Lands Co-Ordinates Down below.
✅Deadline is Monday 19th https://t.co/DcC8jmXhBS"
2,2022-09-11 12:28:06+00:00,arcadedotinc,"Bringing all communities together in one interoperable #Metaverse 

We're in the final stages of finalizing the Metaverse Holder Beta Event, Expect some In-Game Footage coming out soon🔥🔥 https://t.co/A5fF5ueBJ2"
3,2022-09-08 19:02:38+00:00,arcadedotinc,We're all a big family out here striving towards the improvement of Web 3.0 https://t.co/6zpc0iokcA
4,2022-09-07 17:17:39+00:00,arcadedotinc,"Here's some inspiration from our Test Net, ye will need it for our Upcoming event! 🔥

@moonbirds out there in Orbit under @kevinrose https://t.co/LXhijL9kID"
5,2022-09-06 18:56:13+00:00,arcadedotinc,"RT @MonkeVerse: Check out @arcadedotinc Metaverse @CyberKongz
 keeping their eyes on @MonkeVerse👀🍌https://t.co/38smqWraBr https://t.co/LdPL…"
6,2022-09-05 22:24:44+00:00,arcadedotinc,RT @HoodChefnft: @worldofwomennft we got a land just 2 plots away from your Mega Plot in @arcadedotinc so Hello neighbor https://t.co/atrgP…
7,2022-09-05 14:14:27+00:00,arcadedotinc,"The Perfect neighbor doesn't exi...

Wait, Hold on..😂 https://t.co/7IKHadnFvK"
8,2022-09-05 06:36:19+00:00,arcadedotinc,"Arcade World Map, the most Interactive Map in the #NFT Space is now Live!

Head to https://t.co/8nTWkx7fkN to find your Location &amp; Customize your land.

Time to show the World your Digital Identity &amp; Tag us 🔥 https://t.co/QMyQEvSxVj"
9,2022-09-02 16:31:20+00:00,arcadedotinc,"Presenting you the Arcade World Map🔥🔥

You will be able to Locate and Customize the plots you own &amp; most importantly find out who your neighbors are!

Fully Accessible to everyone on September 05th on https://t.co/zO5WjCyFmv

You probably Know what's coming next 😁 https://t.co/jvbTxEJWUp"
10,2022-09-02 13:12:31+00:00,arcadedotinc,"WE ARE LIVE NOW 🔥
Join our Arcade World Map Pre-Reveal &amp; AMA Twitter Space!

https://t.co/OQ51uoF4Xq"
11,2022-08-31 14:15:00+00:00,arcadedotinc,"September 2nd 9AM EST Set your⏰ as the Pre-Map Reveal Space is here!

We're going to be Discussing The upcoming Map Reveal and features, #Metaverse &amp; Games Development you don’t want to miss out as we’re about to drop some HEAT🔥🔥 

https://t.co/OQ51uoWFOY https://t.co/u6Ig6Ty3Wh"
12,2022-08-29 10:00:01+00:00,arcadedotinc,"We Suggest Refreshing your Metadata as the coordinates of your lands have been locked in.

The time to find out who your neighbors are is upon us. We hope they are not too Nosy https://t.co/tpBasOwFGa"
13,2022-08-27 13:00:02+00:00,arcadedotinc,Big Dates coming up as we’re taking major steps towards the release of our #Metaverse. https://t.co/Pm6MgOTVAo
14,2022-08-26 09:11:39+00:00,arcadedotinc,"RT @thephoenixesnft: 📣 Arcade Inc. 🤝 The Phoenixes

We are FIRED up to be partnering up with @arcadedotinc to lead their community on pract…"
15,2022-08-25 15:11:36+00:00,arcadedotinc,"Here is the first game preview out of many currently in production

We’re on the path to become a NFT Gaming Tycoon that brings all communities together in one interoperable Metaverse https://t.co/jBvRpN70Tj"
16,2022-08-23 13:00:07+00:00,arcadedotinc,"You have smashed the retweet Button and we heard you loud and clear!

The Trailer Finale will be launching the upcoming week accompanied by a major feature in our #Metaverse https://t.co/Ku9o5FXnBd"
17,2022-08-22 10:16:29+00:00,arcadedotinc,RT @harry_forj: 60/ 🏗 @arcadedotinc has built the infamous Ape VS. Mutant game for Yuga Labs. Now they are developing an interoperable and…
18,2022-08-21 14:00:16+00:00,arcadedotinc,"Bull or Bear doesn’t matter as the Building never stops!

If you’re not yet bullish on Arcade, strap up as we’re about to bring you on the ride of a lifetime https://t.co/DBjM3lIb8f"
