,Time,User,Tweet
0,2022-04-01 22:41:28+00:00,BeanzOff1cial,buy nft
1,2022-04-01 22:41:21+00:00,BeanzOff1cial,@LaunchNFTs @flokicyberpunk booo
2,2022-04-01 10:46:36+00:00,BeanzOff1cial,sup
3,2022-04-01 10:46:22+00:00,BeanzOff1cial,"RT @ISIKOROCRYPTO: 冬でも麦茶
@yasuyasu_yes　様に
カッコイイ3Dメタルくらげちゃん薄緑 (うすみどり)色 お迎えいただきましたー🙌
とっても嬉しいです感謝いたします
ありがとうございました☺✨✨

 @ISIKOROCRYPTO @HEXANF…"
4,2022-03-31 11:48:15+00:00,BeanzOff1cial,"RT @bolin_de_limao: Imprimir é uma função que as impressoras executam por hobbie.

A função principal delas é testar nosso equilíbrio emoci…"
5,2022-03-30 22:24:27+00:00,BeanzOff1cial,'-
6,2022-03-30 22:24:20+00:00,BeanzOff1cial,RT @nevabraxt: I can’t sleep without creating a fake scenario in my head
7,2022-03-30 14:12:49+00:00,BeanzOff1cial,"RT @ranpromoter: Easiest money you')) ever make.. ! 
Let's goo"
8,2022-03-30 12:34:25+00:00,BeanzOff1cial,"RT @NFTs_ISLAND: 🚨Featured Project🚨

Date: 30th March
Time: 6:00 PST
Price: 0.03 ETH - WL / 0.05 ETH Public
Item: 5.600 Items

Twitter: @Sp…"
9,2022-03-30 12:34:21+00:00,BeanzOff1cial,"RT @NFTs_ISLAND: #NFTGiveaway🎉

1 x  SWB NFT (200$)

Must:

1⃣Follow @SpaceWaterBears and @NFTs_ISLAND 
2⃣RT &amp;❤️
3⃣Tag 3 Friends

Winner in…"
10,2022-03-30 12:34:17+00:00,BeanzOff1cial,"RT @zoothereum: The next to hatch ..
Comment below if you want one &amp; what you think it is.

This one is super cool.

#NFTdrop  #nftcollecto…"
11,2022-03-30 12:34:13+00:00,BeanzOff1cial,"RT @Ancryptage: ETH #Giveaway

@MethaPunks is rising #NFTproject 🔥

🏆 $50 ETH 🏆

To Enter:

1️⃣❤️ &amp; #RT
2️⃣Tag 3 Friends
3️⃣Follow:
@Ancryp…"
12,2022-03-30 12:32:36+00:00,BeanzOff1cial,😍😍
13,2022-03-30 01:40:42+00:00,BeanzOff1cial,😃
14,2022-03-29 17:45:33+00:00,BeanzOff1cial,:)
15,2022-03-29 17:45:28+00:00,BeanzOff1cial,"RT @The_BTC_Express: #Crypto and NFT Giveaway!!

1st Place - $100 in #Ethereum 

2nd Place - $100 in #Solana 

3rd Place - Coachella + Cryp…"
16,2022-03-29 12:14:08+00:00,BeanzOff1cial,+1
17,2022-03-28 23:49:13+00:00,BeanzOff1cial,"RT @NFTk1ng_: $150 GIVE AWAY - https://t.co/Gdu365obh3 in 24H

✅ Follow 
@DaogoFinance
 and RT this post
✅ Join Discord: https://t.co/Mdz9z…"
18,2022-03-14 17:18:04+00:00,BeanzOff1cial,RT @NUFC: Baller. 💫 https://t.co/Ot7u2OvXWb
19,2022-02-28 14:59:53+00:00,BeanzOff1cial,RT @defanteinfoshit: jucelino kubicast energy https://t.co/UabdWGSlmC
20,2022-02-17 14:52:49+00:00,BeanzOff1cial,RT @defanteinfoshit: risada que critica KKKKKKKKKKKKK https://t.co/yoWcmfMgsO
21,2022-01-31 12:48:41+00:00,BeanzOff1cial,RT @brunoog97: A beautiful chapter is coming ⚫️⚪️🤩 @NUFC https://t.co/QiLo1KhPvK
22,2022-01-22 17:23:59+00:00,BeanzOff1cial,@joaooo_nba Meu pêsames irmão 🙌🏾🤍
23,2022-01-22 17:21:53+00:00,BeanzOff1cial,"RT @neymarjrdepre: pô, isso aqui me quebrou mané 💔🥺 https://t.co/AmXqMufOBo"
24,2022-01-22 00:22:59+00:00,BeanzOff1cial,@r10_russao Tá foda irmão 😥
25,2022-01-22 00:17:39+00:00,BeanzOff1cial,Será que esse esforço todo vai valer a pena ou vai ser em vão ?!
26,2022-01-19 12:56:06+00:00,BeanzOff1cial,@joaooo_nba Jae
27,2022-01-19 12:46:49+00:00,BeanzOff1cial,@joaooo_nba Ipa pai kkk
28,2022-01-18 22:00:22+00:00,BeanzOff1cial,Amanhã dar um pulo em ipa
29,2022-01-06 01:43:51+00:00,BeanzOff1cial,@leletlimaa 😬😂😂
30,2022-01-06 01:40:14+00:00,BeanzOff1cial,@leletlimaa Assisti o filme do miranha que passa
31,2021-12-31 14:26:19+00:00,BeanzOff1cial,Reflexo alinhado ok 🤌🏽
32,2021-12-25 05:00:10+00:00,BeanzOff1cial,RT @Felipeanselmo99: FELIZ NATAL TROPA 🎄❤️
33,2021-12-25 04:58:25+00:00,BeanzOff1cial,RT @r10_russao: que falta o natal do pombo faz ein
34,2021-12-17 21:28:33+00:00,BeanzOff1cial,"RT @NBAdoPovo: De arrepiar, minha nossa.
https://t.co/2A53YArZFD"
35,2021-12-13 17:13:18+00:00,BeanzOff1cial,@Matheus_98rx @BrunoBo16745390 Crl igualzinho kkkkk
36,2021-12-13 17:05:43+00:00,BeanzOff1cial,RT @eusoumilhor: preparados? https://t.co/L2G0JEUs3c
37,2021-11-30 18:58:50+00:00,BeanzOff1cial,@Higorvale9 Parabéns irmão ❤️🙌🏾
38,2021-11-27 17:35:21+00:00,BeanzOff1cial,"RT @Felipeanselmo99: @MPauloo9 Kkkkkkkkk, calma amigão foi só uma pergunta 😅"
39,2021-11-27 17:27:03+00:00,BeanzOff1cial,Começa não em tilipe kkkk https://t.co/B6iYiAp0DA
40,2021-11-27 17:26:33+00:00,BeanzOff1cial,Crl começa logo jogo kkk
41,2021-11-26 22:21:56+00:00,BeanzOff1cial,@Rodrigohjki Ainda hahaha
42,2021-11-26 22:17:52+00:00,BeanzOff1cial,Eu e ela sempre 🙌🏾🤍💫 #rainha https://t.co/wTkgv3Y1mh
43,2021-11-25 15:11:46+00:00,BeanzOff1cial,Amanhã tem aquele casamento kit tá pronto 🕺🏽
