,Time,User,Tweet
0,2022-09-12 23:28:17+00:00,CoolmanUniverse,"RT @dexp0nential: I’m feeling extra Special 📕 

@CoolmanUniverse https://t.co/EcFsAbMAGc"
1,2022-09-10 02:15:30+00:00,CoolmanUniverse,Artist statement from @coolcoffeedan https://t.co/cigypbBe6b
2,2022-09-08 21:05:32+00:00,CoolmanUniverse,RT @coolcoffeedan: ✨🍃💕🌷🌿 https://t.co/owqLeh6MIV
3,2022-09-06 17:36:58+00:00,CoolmanUniverse,"RT @AdventuresofPip: On this journey, Pip met special friends, 

Proud and excited to announce that with part 17 and the support of @Coolma…"
4,2022-09-06 03:53:15+00:00,CoolmanUniverse,RT @ITGeekLondon: 👀Did all my @CoolmanUniverse family see @coolcoffeedan's most recent discord message!! 👀 https://t.co/hSIqEYngpK
5,2022-09-04 04:33:31+00:00,CoolmanUniverse,"RT @TheTanMoses: @CoolmanUniverse x @RIPNDIP Collab event was dope. 
Congrats to @coolcoffeedan for locking this in and poppin’ up on Fairf…"
6,2022-09-03 23:38:25+00:00,CoolmanUniverse,RT @bluekittylemon: Thanks @CoolmanUniverse for a #FunFriday #IRL - #Urspecial and so was everyone else who made this night a great success…
7,2022-09-03 23:38:07+00:00,CoolmanUniverse,"RT @ohDMann: Hands down, best drip in web2.5
@CoolmanUniverse https://t.co/3PeOp5ZZM4"
8,2022-09-03 22:27:56+00:00,CoolmanUniverse,"RT @SpeshAlpha: 🔥Bonfire Club 3xWL Giveaway🔥

We are proud to announce we have partnered with @bonfireclubnft to have a special 1/1 @Coolma…"
9,2022-09-03 16:04:12+00:00,CoolmanUniverse,"RIPNDIP X UR Special Apparel Drop is now LIVE!💕

Shop the collection here: https://t.co/YI5e58itCz https://t.co/bnmCYh7ZAo"
10,2022-09-03 02:05:12+00:00,CoolmanUniverse,RT @coolcoffeedan: wtf i literally got a store next to Supreme rn https://t.co/G2RjyckQoN
11,2022-09-02 19:19:13+00:00,CoolmanUniverse,"The @RIPNDIP X UR Special apparel collab goes LIVE online tomorrow at 9am PT / 12pm ET!✨

Check out the apparel lookbook here: https://t.co/rw3EBkCAvQ https://t.co/vzLDhbnqj2"
12,2022-09-02 18:38:20+00:00,CoolmanUniverse,See you tonight @RIPNDIP!!!🥳🎉 https://t.co/uaKXIIcwg8
13,2022-09-02 17:26:54+00:00,CoolmanUniverse,"RT @ITGeekLondon: This weeks @CoolmanUniverse community competition sponsored by @kittyspesh! Not one, but two chances to win a @coolmanbab…"
14,2022-09-02 16:30:25+00:00,CoolmanUniverse,"RT @coolcoffeedan: see u tonight Los Angeles ✨

https://t.co/tVckM7xQjc https://t.co/vBG6gTy8B8"
15,2022-09-02 00:19:54+00:00,CoolmanUniverse,"🍬CANDY JAR CONTEST!🍬

We are holding TWO giveaways TOMORROW during our @RIPNDIP X UR Special Release Party! 

All you have to do is guess how many pieces of candy are in the candy jar. View our flyers below and go to Discord for more details!✨ https://t.co/4fmWB0n2Pp"
16,2022-09-01 18:46:12+00:00,CoolmanUniverse,"RT @_its_gray_: A new #speshie has joined the fam!

@coolcoffeedan has such an iconic style, always wanted some in my collection! https://t…"
17,2022-09-01 17:54:08+00:00,CoolmanUniverse,"RT @coolcoffeedan: immaculate vibes with @RIPNDIP 💕

RSVP for the Los Angeles party here:
https://t.co/tVckM7fH54 https://t.co/iTADyEWR5N"
18,2022-09-01 17:53:36+00:00,CoolmanUniverse,RT @coolcoffeedan: see you friday Los Angeles 💕 https://t.co/Tw9YMXT5IJ
19,2022-09-01 00:18:03+00:00,CoolmanUniverse,RT @coolcoffeedan: https://t.co/ILva3qG6Kh
20,2022-08-31 22:34:13+00:00,CoolmanUniverse,"RT @ohDMann: Mwuahhaha “coolman” @coolcoffeedan 

I have MIND CONTROL 
Of this DUCK
I Have USED HIM 
To kidnap THIS TURTLE

Tonite….I dine……"
21,2022-08-31 22:03:05+00:00,CoolmanUniverse,"✨UR Special X @RIPNDIP✨

Available to the public online September 3rd ➞ 9am PT / 12pm ET https://t.co/bzm5NbroCJ"
22,2022-08-31 17:37:45+00:00,CoolmanUniverse,RT @coolcoffeedan: Cat Nip anyone? 💕 https://t.co/FksyL0AgTj
23,2022-08-30 18:13:45+00:00,CoolmanUniverse,"The release party for our @RIPNDIP X UR Special apparel collab is this Friday!🥳

Come down to Fairfax Ave in LA for free drinks, live music, first access to limited apparel, and immaculate vibes. https://t.co/VbKKrMUnD2"
24,2022-08-30 17:43:58+00:00,CoolmanUniverse,RT @FantSerge: In Bear market grabbed 4 amazing arts of @coolcoffeedan Happy to be part of @CoolmanUniverse 🔥🙌👻 https://t.co/S4FV6QohHU
25,2022-08-30 16:30:31+00:00,CoolmanUniverse,"RT @ITGeekLondon: @CoolmanUniverse Community Spaces this week. Friday 17:00GMT/13:00 EST.

🤝Your views on quarterly TH's?

🎙️Community Coll…"
26,2022-08-29 20:06:32+00:00,CoolmanUniverse,✨@RIPNDIP X UR SPECIAL✨ https://t.co/LwJO1r9sRO
27,2022-08-29 18:22:40+00:00,CoolmanUniverse,"RT @Riverathan: .:: GM ::.

Who else is rocketing into Monday with Good vibes?
@CoolmanUniverse @coolcoffeedan @coolmanbabies https://t.co/…"
28,2022-08-29 17:34:21+00:00,CoolmanUniverse,⭐️Speshie Town Hall #8 Recap⭐️ https://t.co/985ziFcJPz
29,2022-08-28 22:13:08+00:00,CoolmanUniverse,RT @coolcoffeedan: 2019 Enamel Spesh https://t.co/B3Z6BMmGEo
