,Time,User,Tweet
0,2022-09-14 16:30:09+00:00,CreepzGenesis,@PaldinoAlex Hm
1,2022-09-14 16:22:28+00:00,CreepzGenesis,@FURART4 @foundation Follow back and we can talk about your nfts!
2,2022-09-14 16:04:28+00:00,CreepzGenesis,@psydelisionart @NFTKingForever How does this piece still unsold? Wow!
3,2022-09-14 15:34:56+00:00,CreepzGenesis,@le_ksey This one's cool!
4,2022-09-14 15:32:15+00:00,CreepzGenesis,@koshova_ @opensea Follow back let's talk about your os collections
5,2022-09-14 15:26:34+00:00,CreepzGenesis,@Katriiine_Art hi!
6,2022-09-11 10:58:01+00:00,CreepzGenesis,@MizukyNFT follow back ang lets talk about your nft
7,2022-09-09 19:57:04+00:00,CreepzGenesis,@DourDarcelsBot follow back and we'll talk about your nft!
8,2022-09-08 23:42:55+00:00,CreepzGenesis,@LudovichArt can you follow back?
9,2022-09-08 05:32:22+00:00,CreepzGenesis,@Peanutt_Candyy @opensea follow back please! lets talk
10,2022-09-08 04:12:36+00:00,CreepzGenesis,@PetitLazyApes @opensea hit follow!
11,2022-09-08 04:05:38+00:00,CreepzGenesis,"@tunicolage hope you follow back sir, probably we can make a deal?"
12,2022-09-08 04:01:46+00:00,CreepzGenesis,@tunicolage @Gavinmeeler whoa!
13,2022-09-08 04:00:36+00:00,CreepzGenesis,@tunicolage @JesseDoyle2385 great work sir!
14,2022-09-08 03:48:32+00:00,CreepzGenesis,@CLEF_V @genarosoto10 wow!
15,2022-09-08 03:32:40+00:00,CreepzGenesis,@alexsohphoto @OpSecDoc @opensea @farokh @rata_yonqui @AJ48kJg1EtqOQKK shit! same as i have experienced! this motherfkrs
16,2022-09-07 16:36:36+00:00,CreepzGenesis,@SinZer0_ @MoodyOwlNFT @NFT_Satori follow back and let buy your nft
17,2022-09-07 16:26:37+00:00,CreepzGenesis,@RuslanMaslov11 i hope you follow back
18,2022-09-07 16:01:45+00:00,CreepzGenesis,@Lialight_ @RealKatoOG @MetaLadies_ @nft_finley follow back and let's make a deal about your collections!
19,2022-09-06 23:59:32+00:00,CreepzGenesis,@legendary_mask_ @dailymetanft should have listed your collections. follow back let's talk
20,2022-09-05 13:54:14+00:00,CreepzGenesis,@YaghoubDolat1 @cryptogems555 hm?
21,2022-09-03 08:22:57+00:00,CreepzGenesis,@Jordane_Del hit follow and let me buy some of your collections
22,2022-09-03 08:16:18+00:00,CreepzGenesis,@shah___nft @rarible cool piece!
23,2022-09-03 08:08:27+00:00,CreepzGenesis,@poorbike @cryptocom follow back and let me buy your collections
24,2022-09-03 07:25:35+00:00,CreepzGenesis,"RT @CryptoGarga: As always, be wary of scam Twitter accounts trying to direct you to fake sites. This is not a real Yuga account. https://t…"
25,2022-08-28 12:31:20+00:00,CreepzGenesis,@koodri_art let's talk so that we could make a deal ASAP!
26,2022-08-17 15:27:58+00:00,CreepzGenesis,@998Vadim @LoomysNFT @YoumanzC @BerlinMayr @AbstractSingul1 @AlgoLunch @AmarahLevoy @PixaToken What is this?
27,2022-08-17 09:29:00+00:00,CreepzGenesis,@farahnazhedaari Access Community mod on opensea its better than other platform to buy or transfer nft
