,Time,User,Tweet
0,2022-09-14 15:57:00+00:00,CryptoBatzNFT,RT @OzzyOsbourne: Shop Now: https://t.co/rZlIkUuO1v https://t.co/l62BmGSMSQ
1,2022-09-13 21:07:02+00:00,CryptoBatzNFT,"AncientBatz are coming! Tune in for an update on where it’s at and details of what’s to come.

Set your reminders!

https://t.co/DTHLhgZcNP"
2,2022-09-13 16:03:10+00:00,CryptoBatzNFT,@OzzyOsbourne @RamsNFL @SoFiStadium Looking good Ozzy!
3,2022-09-13 16:02:56+00:00,CryptoBatzNFT,"RT @OzzyOsbourne: Here is the full performance from the @RamsNFL game at @SoFiStadium 
https://t.co/mxhnedzEy0"
4,2022-09-13 13:05:13+00:00,CryptoBatzNFT,"RT @A4PAP3R: Well I did it , I purchased my favourite trippy rayz Cryptobat . I have waited for 6 months for it to be in my price range. th…"
5,2022-09-13 04:53:40+00:00,CryptoBatzNFT,RT @Nailbat21: Thanks to the @CryptoBatzNFT team and @SutterSystems managers for delivering as always and thank you @oncyber for the bat ca…
6,2022-09-13 04:53:09+00:00,CryptoBatzNFT,RT @StrayCryptoDog: Lookin' good @OzzyOsbourne ! https://t.co/ntUXI4m3Wj
7,2022-09-13 00:36:34+00:00,CryptoBatzNFT,"RT @CJLuciano: Getting ready for some breakfast in my @oncyber @CryptoBatzNFT MetaCave! 🧠🍴🧟‍♂️

3D Models available here:
https://t.co/FGXf…"
8,2022-09-13 00:36:13+00:00,CryptoBatzNFT,RT @MechanicalGumbo: @OzzyOsbourne @FingerprintsLB @OzzyOsbourne just keeps on biting the proverbial @CryptoBatzNFT head off of life!!:)..…
9,2022-09-12 19:28:31+00:00,CryptoBatzNFT,"We’re excited to announce that CryptoBatz has partnered with Augmented Reality specialists NEXT/NOW to create our AR experience for AncientBatz.

We’ve begun the build of an AR focussed app for iPhone &amp; Android that will be used to hunt down AncientBatz!

Updates coming soon! https://t.co/iq5tDn1RQD"
10,2022-09-11 13:30:18+00:00,CryptoBatzNFT,"GM!

Sunday plans? Photos only…"
11,2022-09-11 01:56:01+00:00,CryptoBatzNFT,@Heat98 @FruityBean_ @OzzyOsbourne 🤘🤘🤘
12,2022-09-11 01:55:53+00:00,CryptoBatzNFT,RT @Heat98: Already rocking out to this blue smoke vinyl 🔥🔥🔥 @OzzyOsbourne #Ozzy #OzzyOsbourne #PatientNumber9 https://t.co/0i3khsNNJ0
13,2022-09-10 20:55:18+00:00,CryptoBatzNFT,RT @nova_satyr: #NewProfilePic #nft #garbage @garbagefriends @CryptoBatzNFT https://t.co/iOETN94dRp
14,2022-09-10 12:20:24+00:00,CryptoBatzNFT,"RT @JeffFazzy: Got that Gold! @OzzyOsbourne 
@CryptoBatzNFT #ozzyosborne ✨🦇✨ https://t.co/e8zSW3MDlO"
15,2022-09-10 00:26:55+00:00,CryptoBatzNFT,"RT @Hudah_Idiot: First cave building event in the bag. Thanks everyone at 
@CryptoBatzNFT and for coming and special shout out to @HenryThe…"
16,2022-09-10 00:11:01+00:00,CryptoBatzNFT,"RT @oncyber: oncyber &amp; friends 🫂

partnerships launched in august ↓
🤝 @a0k1verse      
🤝 @atari x @Everyrealm  
🤝 @CryptoBatzNFT  
🤝 @Deadf…"
17,2022-09-09 17:42:54+00:00,CryptoBatzNFT,"RT @CJLuciano: 🚨.:: 3D Models Released ::.🚨

Just in time for tonight's @CryptoBatzNFT Cave Building Event.  Customize ur @oncyber spaces w…"
18,2022-09-09 15:29:19+00:00,CryptoBatzNFT,"RT @OzzyOsbourne: #PatientNumber9 is OUT NOW! https://t.co/rZlIkUuO1v
#Ozzy #NewAlbum #NewMusic https://t.co/k4PN3NFrtJ"
19,2022-09-09 15:29:17+00:00,CryptoBatzNFT,@OzzyOsbourne Let’s go Ozzy!!! 🦇 🎸🤘
20,2022-09-09 15:06:59+00:00,CryptoBatzNFT,@Revolvermag @OzzyOsbourne Let’s GO!
21,2022-09-09 15:06:19+00:00,CryptoBatzNFT,"RT @Revolvermag: Ozzy Osbourne's 'Patient Number 9' is out today! 

Pick it up now in various formats from our shop https://t.co/TGOjGMHWH0…"
22,2022-09-09 03:12:13+00:00,CryptoBatzNFT,RT @troywhitty: @OzzyOsbourne rocking out tonight solidified my bite . I have a new fren now @alienfrens  love the addition @CryptoBatzNFT…
23,2022-09-09 02:18:15+00:00,CryptoBatzNFT,RT @MechanicalGumbo: @CryptoBatzNFT fangs out for the ageless Prince of Darkness @OzzyOsbourne ripping up the #NFLKickoff2022 halftime show…
24,2022-09-09 01:22:09+00:00,CryptoBatzNFT,RT @zaycheese23: 🐏’s kickoff and Ozzy performing for the halftime show 🙌🏽 🏈 LA x @CryptoBatzNFT in full effect at Sofi Stadium
