,Time,User,Tweet
0,2022-09-14 14:14:36+00:00,v1punks,Ready? https://t.co/12VOStHnha
1,2022-09-14 14:02:54+00:00,v1punks,"A fantastic story, we must say. https://t.co/uA0xlx9zCU"
2,2022-09-11 19:32:26+00:00,v1punks,"RT @jamaalism: gm..

1/ Ever since I got into the space, the V2 punks were waaaay out of my reach..

Then I found out about the 1st version…"
3,2022-09-10 11:22:10+00:00,v1punks,"Part two, our mod guidelines: https://t.co/aJaeYIdFLt https://t.co/Yp8emk3YIE"
4,2022-09-10 06:43:59+00:00,v1punks,"We've created new rules/guidelines for our community centered around showing respect to everyone.

What do you think? https://t.co/eYmtgcmcJG"
5,2022-09-10 05:03:02+00:00,v1punks,"RT @ethFRENCHIE: Twinned these ladies up.  

CryptoPunk Official an the V1 reunited in my collection. https://t.co/vBwFO12ErT"
6,2022-09-09 16:08:41+00:00,v1punks,"RT @NFTnetworking: feeling invincible
@LowEffortPunks 
@v1punks 
@v3phunks 
@CryptoPhunks https://t.co/6MaFcyqmQY"
7,2022-09-09 05:19:30+00:00,v1punks,RT @seanbonner: Talkin’ punks! https://t.co/se9uCgcYiR
8,2022-09-09 05:19:10+00:00,v1punks,"RT @a0reverserekt: .@v1punks #8870 was purchased on @atomic0Trade for Ξ23.4 ($38,068) by @jpgx_eth.

The seller (@spilliaer) saved Ξ0.59 ($…"
9,2022-09-06 06:36:42+00:00,v1punks,RT @Aaronnft_eth: #NewNFTProfilePic NFT by FrankNFT_eth @v1punks 🏴‍☠️ https://t.co/5GMfGQVUMY
10,2022-09-05 21:08:47+00:00,v1punks,"RT @stonkboy_eth: Still a @v1punks maxi

Historical and 1/1 art NFTs will be the narrative of the next NFT bull run. 

Generational prices…"
11,2022-09-05 17:16:40+00:00,v1punks,RT @seanbonner: Do you need a full featured Twitter/Discord bot that pulls NFT sales from a wide variety of marketplaces? Thanks to @fccvie…
12,2022-09-05 14:02:49+00:00,v1punks,@ManyCoins3 @VoldiemortEth @irishnftgal @soldthebottom @frankNFT_eth 🫡🫡
