,Time,User,Tweet
0,2022-09-14 00:56:13+00:00,CyberBrokers_,https://t.co/dzd5ph2Rng
1,2022-09-14 00:13:51+00:00,CyberBrokers_,"RT @cartar_l: As CyberBrokers Community Manager I thought an “about me” tweet might be useful, so everyone gets to know me a little better.…"
2,2022-09-13 16:14:07+00:00,CyberBrokers_,RT @Amariv3rse: So excited to bring my music to the world 💜 My origin story coming soon @PlayerZeroHQ @heroprojectshq https://t.co/KjBUmAtB…
3,2022-09-13 16:00:01+00:00,CyberBrokers_,"#PBCLiveNews

Hacker Deep Icy Clare pleads not guilty to filling Founder Liber West’s vacation home with lemons. While coding points to their handiwork, Deep Icy Clare maintains a script kitty is at play in this, although they wouldn’t provide a name. https://t.co/rbC6cHLEQD"
4,2022-09-13 15:00:00+00:00,CyberBrokers_,"Our community is always driving the plot of our Lore. This time you chose the operation the team will use to infiltrate Cold Storage &amp; the vote was close!

Results
💥Bring the Boom: 429
🎉Party Crasher: 430
🗝️Key to the Keep: 462

Read Chapter 12 Part 4: https://t.co/IYovHDM3EX"
5,2022-09-13 14:00:01+00:00,CyberBrokers_,"Week 2 of the Pixie Bolt AI Contest is up!

The prompt is: Visualize a scene or poster from the movie at the top of The Paradigm box office charts.

For more info, see pinned post in cb-pixie-bolt-ai channel: https://t.co/Trk7sjPFuR

#PixieBoltAI https://t.co/aRPQxLaTOp"
6,2022-09-12 17:37:52+00:00,CyberBrokers_,"""Ok...let’s go with Operation...”

Chapter 12 Part 4 is now live: https://t.co/IYovHDMBuv https://t.co/By2ceUiZjQ"
7,2022-09-12 16:00:01+00:00,CyberBrokers_,"Come to our Lore Listening Party tomorrow &amp; have a chance to win an Enforcer Mecha Body!

Explore the CyberBroker universe with @LoLoWGramz &amp; @digidot from our Writer's Room, and @ladydiamondhand, our Marketing/Ops Associate. 

Bring your 🔥 questions!
https://t.co/dzd5ph2Rng https://t.co/ZERvDp8nba"
8,2022-09-12 15:12:58+00:00,CyberBrokers_,The City of Magnetic by @NeoCNFT https://t.co/oSR2QjawEb
9,2022-09-12 15:12:56+00:00,CyberBrokers_,Frozen Urban Jungle by @Lunasea_AI https://t.co/1FSe4DwJ4c
10,2022-09-12 15:12:55+00:00,CyberBrokers_,"There were so many amazing submissions, it was hard to pick just one winner. Here are some honorable mentions we wanted to also acknowledge. 

The Merkle Tree by @ballisticb https://t.co/kbZrc40eqN"
11,2022-09-12 15:12:54+00:00,CyberBrokers_,"Congratulations @NotJPEGs! Your TPL travel destination is the winner of last week's Pixie Bolt AI contest. 

Your location is now an official part of CyberBrokers Lore and will be featured in a future issue of The Era Novum Ledger! 📰 https://t.co/LLado0Yb6U"
12,2022-09-12 14:00:06+00:00,CyberBrokers_,"#PBCLiveNews

Scientists concerned that Paradigm weather algorithms are creating increasingly hostile conditions in outer regions. https://t.co/ty26vGGmU8"
13,2022-09-12 13:50:07+00:00,CyberBrokers_,"RT @LostParadigms: So many vehicles in the #LostParadigms metaverse🤩

What type of #CyberBroker rides a bike like this?🏍️

One of many vehi…"
14,2022-09-11 16:44:35+00:00,CyberBrokers_,"⚠️🔗 Reminder: If you participated in Quest #5 with a hot wallet &amp; want to still benefit from CyberBrokers or Lupis Mecha Arms in a cold wallet, you must link your wallets with this form before participation closes today at 1pm CDT. https://t.co/xlHkNKDBgS https://t.co/9yjP6KD5G5"
15,2022-09-11 13:00:04+00:00,CyberBrokers_,"Don't forget that participation for Quest #5 closes today (9/11) at 1PM CDT!

Connect to the Power Eleven OS Terminal, open the commlink application and vote for one of the three rescue operations in order to log your participation. https://t.co/bbnEhIMDZp"
16,2022-09-10 14:00:12+00:00,CyberBrokers_,"Reminder to claim your participation credit for Quest #5 by Sunday (9/11) at 1PM CDT to get a pair of Mech legs!

1) Log into The Power Eleven OS Terminal
2) Open the commlink application
3) Read the descriptions of the three operations and vote for your favorite at the top https://t.co/FCjraKLMt0"
17,2022-09-09 18:18:29+00:00,CyberBrokers_,"RT @PlayerZeroHQ: Welcome @Amariv3rse, our first official signing 💜thank you @CyberBrokers_ this is gonna be sick"
18,2022-09-09 15:24:01+00:00,CyberBrokers_,@pantheriser2010 SCAM
19,2022-09-09 15:10:56+00:00,CyberBrokers_,"Nice questing, brokers!🦾

Don't forget to log your participation by voting for your favorite rescue operation by Sunday (9/11) at 1PM CDT. Check out this comic one of our holders created for a refresher on the 3 plans!

For info on participation, head to: https://t.co/r70x8h1g08 https://t.co/VdUdWDLsx1"
20,2022-09-09 15:00:00+00:00,CyberBrokers_,"#PBCLiveNews

Expeditions to the #unmappedparcels begin as brokers seek answers to philosophical questions raised by recent revelations. https://t.co/iXZN2EmXu4"
