,Time,User,Tweet
0,2022-09-13 21:35:16+00:00,CyberKongz,@FruitBombNYC Buckle up.
1,2022-09-13 18:34:26+00:00,CyberKongz,The Beginning https://t.co/yNbxkSx7al
2,2022-09-13 15:55:06+00:00,CyberKongz,"🚨CyberKongz IP hits the runway!🚨

@VivienneTam will be featuring CyberKongz in her upcoming NFT Fashion Show during New York Fashion Week!

Join @HenryTheGrape and @BananaBoi1942 to learn more about it today on spaces with @michaela_nft and @buckets_nft

https://t.co/KagAb3pEyk"
3,2022-09-13 15:50:48+00:00,CyberKongz,@alexkongz @MAYHEM_ID Stylin 😎 #OOH
4,2022-09-12 19:31:53+00:00,CyberKongz,@MTLFORBRKFST https://t.co/vz9xd2tMcp
5,2022-09-12 19:01:36+00:00,CyberKongz,The Janitor https://t.co/gcUI0Ndcgg
6,2022-09-12 15:57:33+00:00,CyberKongz,RT @domz_eth: My VX Crew is now ready to take the adventure! Show me your best crew! @CyberKongz #ooh https://t.co/FFZ29tp3dc
7,2022-09-12 15:46:56+00:00,CyberKongz,@guz_apeinvader @CyberWalde @Inverted888 @HenryTheGrape @Tron_Kong @kongboyy @CyberKongmunity You have great taste #OOH
8,2022-09-11 23:06:41+00:00,CyberKongz,@poof_eth @EtherOrcs 🤝 #OOH
9,2022-09-11 17:21:47+00:00,CyberKongz,Link to discord announcement: https://t.co/3gQqjcnu0z
10,2022-09-11 17:20:43+00:00,CyberKongz,"🚨Calling all CyberKongz Gamers!🚨
 
We're looking for 5 Kongz to represent our community and lead us to victory in this tournament! 🏆
 
Check out our announcement in discord to see how you can participate. https://t.co/kx8Kjdal16"
11,2022-09-11 17:01:04+00:00,CyberKongz,"RT @cryptolander: Gm, 
Show my your best/fav #kongz.

You can even screenshot it.
!lander

Big Shout to @domz_eth for this amazing render o…"
12,2022-09-10 18:34:28+00:00,CyberKongz,@lowtempo @EtherOrcs What a way to start the day #OOH
13,2022-09-10 16:25:57+00:00,CyberKongz,@anz_arts Kongz support kongz! #OOH
14,2022-09-09 22:24:05+00:00,CyberKongz,@RealSvenstar @TheSandboxGame @borgetsebastien #KongzTogetherStrong 💪
15,2022-09-09 17:16:42+00:00,CyberKongz,@EtherOrcs Very helpful 🤝
16,2022-09-09 16:01:39+00:00,CyberKongz,"Episode 1 can be found here

https://t.co/AL9X3DRQdO"
17,2022-09-09 16:01:15+00:00,CyberKongz,"🚨Kongz Technicians have repaired the portal and power has been restored!⚡

https://t.co/JVy4gTc9ju

#KongzTogetherStrong 
@vertical_dream https://t.co/JHB2YTqJDZ"
18,2022-09-09 00:51:06+00:00,CyberKongz,"@EtherOrcs Relevant links:

https://t.co/47AZbozRLs

https://t.co/JsBxGZfUIG 

https://t.co/lTy9gnNMV4"
19,2022-09-09 00:48:52+00:00,CyberKongz,"🚨CyberKongz X @EtherOrcs🚨

Dungeon Crawls are live for all VX Kongz!

It's time to help the EtherOrcs defend Valkala from its enemies! Use your VX Kongz to explore, battle, earn, and craft ⚔️ 

Head over to our discord to learn more, including how to earn $BANANA prizes + more! https://t.co/mOkPrzIuT6"
20,2022-09-08 23:41:30+00:00,CyberKongz,Vibe session https://t.co/hV53XSG7C8
21,2022-09-08 18:49:46+00:00,CyberKongz,@BlackLotusOmega https://t.co/mReYvRxWEc
22,2022-09-08 18:43:53+00:00,CyberKongz,@stevenyoe_ @michellevanesa @alexkongz Welkong! #OOH
23,2022-09-08 18:31:43+00:00,CyberKongz,"RT @EtherOrcs: 🚨 @CyberKongz VX holders! 🚨

Check your wallets on Polygon for TWO EtherOrcs airdrops:
- The CyberKongz Dungeon Pass
- The S…"
24,2022-09-08 16:01:44+00:00,CyberKongz,"🚨Kongz technicians were called today to investigate a power fluctuation at the portal.

Please standby as we evaluate the situation, and stay tuned for updates!

https://t.co/WmKxePMTv6

#KONGZTOGETHERSTRONG
@vertical_dream https://t.co/kuSkVKNht2"
25,2022-09-08 00:03:55+00:00,CyberKongz,"We are live!

https://t.co/MeIwVnb46r"
26,2022-09-07 23:44:23+00:00,CyberKongz,🚨Twitter Spaces with @EtherOrcs in 15 minutes!
27,2022-09-07 19:22:24+00:00,CyberKongz,@SJS_MNiML https://t.co/dCk61Mucsz
28,2022-09-07 19:01:47+00:00,CyberKongz,"Many generations ago, Kongz discovered a unique ore with peculiar and astonishing properties.

They began to experience the immense power hidden inside this unusual ore and developed ways to harness it.

The newly discovered and highly sought after material was titled Kongium... https://t.co/WEmdnbLwlU"
29,2022-09-07 17:23:34+00:00,CyberKongz,@poof_eth @EtherOrcs #OOH 🍌
30,2022-09-07 17:21:47+00:00,CyberKongz,"RT @thelittlesnft: !ooh
it's almost time to 1-UP your little...

will you join the little kongz fam 👀

@CyberKongz 
#LetsPlay #wethelittles…"
