,Time,User,Tweet
0,2022-09-15 00:02:29+00:00,Deadfellaz,Make sure you comment below what you vote in the poll 🫡
1,2022-09-15 00:01:28+00:00,Deadfellaz,Help us shape the story of our heroine to be in the running for exclusive @Deadfellaz x @Wrangler prizes.
2,2022-09-15 00:00:36+00:00,Deadfellaz,A monstrous thing storms from the dark towards her - it opens it's jaws ready to attack! https://t.co/u7eeYWuxr1
3,2022-09-14 23:53:58+00:00,Deadfellaz,"Our @Wrangler x @Deadfellaz adventure continues… Choosing the forest path, our heroine heads into the unknown depths.
A strange rumbling shakes the canopy above her... https://t.co/TeNvPenoVc"
4,2022-09-14 01:48:47+00:00,Deadfellaz,🚨 Metropolis discord is compromised do not click any links.
5,2022-09-13 22:23:09+00:00,Deadfellaz,The horde has decided: into the forest we go! @Wrangler x @Deadfellaz https://t.co/GTfevh47eJ
6,2022-09-12 22:47:12+00:00,Deadfellaz,@Phoofyface @Wrangler 😂
7,2022-09-12 22:08:50+00:00,Deadfellaz,Make sure you comment below what you vote in the poll 🫡
8,2022-09-12 22:07:36+00:00,Deadfellaz,T2. Help us shape the story of our heroine to be in the running for exclusive @Deadfellaz x @Wrangler prizes.
9,2022-09-12 22:06:28+00:00,Deadfellaz,"Part 1: Our heroine awakes face down in the searing Arcadian wastes, her hand still holding a rusted crowbar.
Shaking off a splitting headache, she looks to the horizon - a forest and city sit beyond the distant crossroads. Have your say in her next move 👇 https://t.co/5cWpCMAmCI"
10,2022-09-10 02:10:47+00:00,Deadfellaz,@Wrangler 🫡🫡🫡
11,2022-09-10 02:10:31+00:00,Deadfellaz,"RT @Wrangler: Introducing Wrangler x @Deadfellaz, a Web3 collaboration."
12,2022-09-10 00:04:49+00:00,Deadfellaz,https://t.co/vC5ylDomnO
13,2022-09-09 23:58:50+00:00,Deadfellaz,https://t.co/6UypxY8hWQ
14,2022-09-09 08:51:44+00:00,Deadfellaz,This Fellaz Friday we are joined by the @Wrangler team to dive into the details of our recently announced partnership and talk all things web3 🧟‍♂️💚🤠 Set your reminders! As usual this will be a recorded space https://t.co/6UypxY8hWQ
15,2022-09-09 00:19:16+00:00,Deadfellaz,@DaitoYoshi @metropolisworld @farokh Yeah blame @farokh
