,Time,User,Tweet
0,2022-09-02 22:44:39+00:00,metacard,RT @happydad: Introducing our new flavor... FRUIT PUNCH! https://t.co/haSfk8IkfU
1,2022-08-19 14:22:03+00:00,metacard,good morning
2,2022-08-19 03:16:27+00:00,metacard,Welcome new holders who learned about us tonight on the @fullsendpodcast with the founders of @BoredApeYC. https://t.co/BnTGjnVb86. Come join one of the best NFT communities
3,2022-08-19 00:41:59+00:00,metacard,Our podcast with the BORED APE FOUNDERS is now LIVE! This one is for you guys 🔥 https://t.co/RVZug5fM4I
4,2022-08-19 00:39:33+00:00,metacard,John gives a sneak peak of FUTURE UTILITY for METACARD holders 👀 https://t.co/LgyiIw45XY
5,2022-08-19 00:37:52+00:00,metacard,John discusses current METACARD statistics with the bored ape yacht club founders 🔥📈 https://t.co/svxQKShKX0
6,2022-08-14 17:33:34+00:00,metacard,Fun night at @SoFiStadium with some holders. https://t.co/OddjdYGR9P
7,2022-08-11 16:59:05+00:00,metacard,METACARD holding period distribution 🔥📈 https://t.co/UCFgZ56U1V
8,2022-08-05 03:33:18+00:00,metacard,Turns out 80% of you guys were right 🔥 https://t.co/F3mLveAPgi
9,2022-08-04 20:27:24+00:00,metacard,Grab a @metacard and join the best community on the internet!
10,2022-08-04 20:26:41+00:00,metacard,"Great call with Cyber Red holders, @KyleForgeard and @john today. Thanks for joining."
11,2022-08-04 18:44:35+00:00,metacard,Will Elon mention $DOGE on the @fullsendpodcast tonight?
12,2022-07-14 20:58:53+00:00,metacard,Kyle and Mark Cuban discuss future ventures coming to METACARD https://t.co/RfxNmJckJe
13,2022-07-01 01:09:41+00:00,metacard,"Thank you to all the Holders in the discord for helping us find the right guy 🌋 

Join The Discord Here:  https://t.co/fkgpPTXraY https://t.co/O9fnzdUzjh"
14,2022-07-01 00:23:26+00:00,metacard,Thank You Holders! 🌋 https://t.co/IHwl7Ci6DC
15,2022-06-28 00:30:38+00:00,metacard,Best Community 🌋 https://t.co/46pjKo1G7Z
16,2022-06-23 21:37:56+00:00,metacard,"Full Send Supplements 🤝 Metacard 

Join The Discord: https://t.co/a94aFoz908 🌋 https://t.co/h27Kc5KDlG"
17,2022-06-09 17:59:18+00:00,metacard,🌋 https://t.co/Bv8BW47QBB
18,2022-06-02 17:44:41+00:00,metacard,FULLSEND METACARD IS NOW VERIFIED ON OPENSEA 🔥 https://t.co/czxohRKRIT
19,2022-05-24 05:02:54+00:00,metacard,@ltdnft @john @JuddWarshaw @KyleForgeard 🌋 @KyleForgeard
20,2022-05-24 01:07:42+00:00,metacard,"🌋 @happydad 

Join The Discord: https://t.co/a94aFoz908 https://t.co/VW9kRYbevA"
21,2022-05-16 18:14:30+00:00,metacard,🌋 https://t.co/xZlfKo7Uax
22,2022-05-16 18:14:25+00:00,metacard,"RT @genie_sweeps: 31 NFTs Swept using Genie 🧞

  🧹 31x  FULL SEND METACARD

  💸 Total Value 24.1207 ETH, $48,786 

Buyer: 0x8c5d...96d1

ht…"
23,2022-05-13 21:15:27+00:00,metacard,“Blast Off: Soon” 👀 🌋 https://t.co/skYLxOBriM
24,2022-05-11 14:46:32+00:00,metacard,The @metacard Instagram is now also @metacard! https://t.co/1q8KcVdPlJ. Follow if you’re on IG.
25,2022-05-09 22:01:47+00:00,metacard,RT @john: What are you doing ?
26,2022-05-08 16:55:18+00:00,metacard,"Join The Community 🌋 

https://t.co/fkgpPTXZ0w https://t.co/AynQ77G8Ow"
27,2022-05-07 23:30:53+00:00,metacard,Churchill Downs 🐎🔥 https://t.co/wjXkViwhr4
28,2022-05-06 17:38:09+00:00,metacard,What a way to start the weekend 🌋 https://t.co/tO8J0AmxKD
29,2022-05-04 17:11:19+00:00,metacard,RT @john: The amount of love and messages we get from @metacard holders and not yet holders (and still believe) truly inspires me and the b…
