,Time,User,Tweet
0,2022-09-15 07:19:05+00:00,GutterCatGang,@VitalikButerin Congrats &amp; Gang Gang 👊
1,2022-09-15 00:41:10+00:00,GutterCatGang,RT @gutterric: GCG TBT Jerseys OTW 📦 ✈️
2,2022-09-15 00:38:03+00:00,GutterCatGang,"RT @Jamesloveshash: What clone are you gonna be using for DNA2 🧬🧬??

Drop em below! 👇🏼👇🏼👇🏼 @GutterCatGang  $gang #ganggang https://t.co/hSq…"
3,2022-09-15 00:35:46+00:00,GutterCatGang,@franalations23 @seanwotherspoon 💯
4,2022-09-14 22:32:03+00:00,GutterCatGang,"The Ethereum Network merge is almost here, and as with the rest of the Ethereum community, Gutter Labs intends to only recognize NFTs on the PoS ETH chain as eligible for membership in the Gang and applicable NFT license. Gang Gang @VitalikButerin, happy merge day."
5,2022-09-14 21:49:21+00:00,GutterCatGang,RT @raudskeggNFT: @GutterCatGang My Dog can’t wait to sip up. D2 gonna be cleeeeean.. GANG GANG GUTTER FAM https://t.co/IT1wNQQtq3
6,2022-09-14 15:25:15+00:00,GutterCatGang,RT @GutterHodl_: GM to all everyone going to GutterCon. https://t.co/kwmV48FxSE
7,2022-09-13 18:06:43+00:00,GutterCatGang,"RT @rocsolmiami: Made this custom gutter dog for the homie @GregoryCG8 much respect to the @GutterCatGang got many wins on the way 👑
•
•
•…"
8,2022-09-13 18:04:47+00:00,GutterCatGang,RT @lilchronicccc: The Barrel that housed our @GuttersFinest Small Batch Whiskey has our @GutterCatGang assets flamed🔥 onto our Barrel alon…
9,2022-09-13 16:58:23+00:00,GutterCatGang,👀 https://t.co/GUY9fNksKx
10,2022-09-12 20:20:08+00:00,GutterCatGang,Four days till #GutterCon22. Who's pulling up with the Gang? 🎲 https://t.co/xJB30DSlEd
11,2022-09-12 17:43:22+00:00,GutterCatGang,"RT @Spot_GTV: new to this tweeting thing, but wanted all my @guttercatgang homies to know WE OUT HERE.  GANG GANG. https://t.co/3EaVKCwgjc"
12,2022-09-11 19:47:11+00:00,GutterCatGang,RT @stefannoesen: Heard about the community so figured why not! rolled the dice and came up with a sick doggo! what do you think @GutterCat…
13,2022-09-11 14:06:33+00:00,GutterCatGang,Gang Gang! DNA-2 Gutter Juice species will start revealing today at 11:30 AM ET. 🧃🧬🧬 https://t.co/7jNSiBkyFj https://t.co/9S6h2PZkWa
14,2022-09-11 03:47:20+00:00,GutterCatGang,RT @0tis: You vs. the guy she tells you not to worry about. https://t.co/kdLiRTUYZv
15,2022-09-11 02:53:52+00:00,GutterCatGang,RT @Stoniphantom: Thank you all for the support of Gutter Labs!!! WE FUCKING LOVE YOU
16,2022-09-11 02:51:53+00:00,GutterCatGang,RT @ZJNFT: Stacked don’t fade the @GutterCatGang https://t.co/Rkr6qSpjuz
17,2022-09-11 02:51:44+00:00,GutterCatGang,RT @GUTTERxANT: 🤯🤯👀👀 Happy Caturday I just recreated the @GutterCatGang TBT Jersey’s in @NBA2K @gutterdan_ @gutternick_eth @ClamzEth @Ronni…
18,2022-09-11 02:51:37+00:00,GutterCatGang,RT @StreeterHull: just minted 2 @GutterCatGang DNA-2 juices #GangGang #GCG #GutterJuices https://t.co/45Nd1Jw9Xq
19,2022-09-11 02:41:11+00:00,GutterCatGang,"Official Gutter Juice Links 🧃🧬

OS: https://t.co/KFh0GOm1xf
LR: https://t.co/7vVAVPoZHu"
20,2022-09-11 02:41:11+00:00,GutterCatGang,GANG MF GANG https://t.co/q7ZO5sVCsN
21,2022-09-11 00:41:13+00:00,GutterCatGang,RT @beijingdou: Might need to D2 this @GutterCatGang ice cream drip clone... https://t.co/1fBQLiLOJJ
22,2022-09-10 22:05:40+00:00,GutterCatGang,DNA-2 Gutter Juice will reveal within 24 hours 🧃🧬🧬 https://t.co/PHx0eerTAj
23,2022-09-10 22:03:39+00:00,GutterCatGang,@franalations23 Gang Gang
24,2022-09-10 22:03:32+00:00,GutterCatGang,RT @franalations23: My @GutterCatGang DNA-2 juice pick ups 🧬 https://t.co/UIwQEJdZag
25,2022-09-10 21:48:57+00:00,GutterCatGang,"75% Sold Out 🧃🧬🧬

Mint: https://t.co/LLcYkus3So https://t.co/f3iCN3OtIC https://t.co/X9Ibka8lWN"
26,2022-09-10 20:20:15+00:00,GutterCatGang,"Gang Gang! The DNA-2 Gutter Juice sale is live 🧃🧬🧬

Full terms and FAQ are available on the mint page below.

Mint: https://t.co/LLcYkusBHW https://t.co/PHx0eesrpR"
27,2022-09-10 18:33:10+00:00,GutterCatGang,"The DNA-2 Gutter Juice auction starts today at 4:20 PM ET. 🧬🧬

Details: https://t.co/Mwoabpt1zw

Mint: https://t.co/LLcYkusBHW https://t.co/6nHeGf91HX"
28,2022-09-10 17:54:07+00:00,GutterCatGang,RT @GTVPrimetime: MFW someone says they are in the @GutterCatGang and don't follow @GTVPrimetime... https://t.co/qPkFl01IwF
29,2022-09-10 17:37:12+00:00,GutterCatGang,RT @KRAM_eth: HAPPY CATURDAY! DNA2 INCOMING 🧬🧬🧬 #GangGang https://t.co/QsdmKhHg9A
30,2022-09-10 15:57:23+00:00,GutterCatGang,RT @RegularRuben: Imagine what the #SoIcyGang is gonna look like with DNA 2... 🥶🥶🥶🥶 https://t.co/kEvQulg63u
31,2022-09-10 15:56:40+00:00,GutterCatGang,"RT @dragonseller88: Gm, my conviction for the gutter never changed @GutterCatGang #GangGang https://t.co/rdGPXnIv5z"
