,Time,User,Tweet
0,2021-11-21 19:22:21+00:00,JrnyNftClub,"@P2PCRYPTOZ @JRNYcrypto He can't take constructive criticism, he sees it as ""hate"" and automatically blocks you. It's funny that someone with his platform cares so much though and gets so sensitive. He even blocks and kicks out his VIP members who paid him $1k each."
1,2021-11-21 03:59:49+00:00,JrnyNftClub,It's a shame you get blocked or removed from his discord if you even question him or his project with valid uncertainties. It's definitely a totalitarian vibe. I heard you do it to your VIP members too.. It's sad a grown man with this following can't accept constructive criticism https://t.co/DT2EAPH1oZ
2,2021-11-21 03:57:44+00:00,JrnyNftClub,"Still searching for where you ""warned it wouldn't be cheap"" 😂 You're just saying that now because you see the backlash for being greedy. https://t.co/DT2EAPH1oZ"
3,2021-11-21 03:54:08+00:00,JrnyNftClub,@TheHokageOfArt @Switch_Clips @JRNYcrypto Where are you promised 3 NFTs 🤣 You're still going to have to mint any future NFT for god knows what price. This was only to gain access
4,2021-11-21 03:53:11+00:00,JrnyNftClub,"@Switch_Clips @JRNYcrypto That's JRNY for you. He's a sheep amongst wolves. 
@TheDogePoundNFT
 team gave him 15-20 NFTs to give away to his community over the summer... He gave 0 away, but instead sold some for profit."
5,2021-11-21 03:51:03+00:00,JrnyNftClub,"@Ttouch58 @JRNYcrypto still looking for where he ""hinted or mentioned"" it wouldn't be cheap.. He's only acknowledging it now because he's receiving so much backlash."
6,2021-11-21 03:50:05+00:00,JrnyNftClub,"@Ttouch58 @JRNYcrypto That's JRNY for you. He's a wolf amongst sheep. 
@TheDogePoundNFT team gave him 15-20 NFTs to give away to his community over the summer... He gave 0 away, but instead sold some for profit."
7,2021-11-21 03:48:26+00:00,JrnyNftClub,@Ttouch58 @JRNYcrypto Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
8,2021-11-21 03:48:04+00:00,JrnyNftClub,@Cryptolino1 @J3d1_R3v4n @JRNYcrypto Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
9,2021-11-21 03:48:02+00:00,JrnyNftClub,"@Cryptolino1 @J3d1_R3v4n @JRNYcrypto Thats JRNY for ya! But then he'll act and tweet like he's been giving us information about this ""utility"" and the ""prices"" when he has not gone into detail or hinted once."
10,2021-11-21 03:46:42+00:00,JrnyNftClub,@MP_crypto1 @Jason_tran12 @JRNYcrypto Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
11,2021-11-21 03:45:51+00:00,JrnyNftClub,"@MP_crypto1 @Jason_tran12 @JRNYcrypto ""I warned many times this NFT wouldnt be cheap"" 🤣 Not once did he mention or hint it wouldnt be cheap.. He's a wolf amongst sheep"
12,2021-11-21 03:44:28+00:00,JrnyNftClub,@Jason_tran12 @JRNYcrypto You either become a sheep or he blocks. He does this to his VIP members too who paid him $1k each back in March. My gf is in his VIP group and he's already abandoned the website he built to start this new side project.
13,2021-11-21 03:42:57+00:00,JrnyNftClub,@thedrfax @JRNYcrypto I'm sure it will be more than 1 ETH and then come Monday he'll act like he told his followers that. #JRNYisawolf
14,2021-11-21 03:40:51+00:00,JrnyNftClub,@safxxr @JRNYcrypto Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
15,2021-11-21 03:40:40+00:00,JrnyNftClub,"@safxxr @JRNYcrypto promising utility, but can't even give a glimpse of his utility. Instead removes them for asking valid questions. He's  a joke!"
16,2021-11-21 03:39:18+00:00,JrnyNftClub,@gotenksjcs @JRNYcrypto He can't handle constructive criticism or feedback. You either become a sheep or you become blocked.
17,2021-11-21 03:38:34+00:00,JrnyNftClub,@gotenksjcs @JRNYcrypto She sent a support email prior to his Whitelist and hasn't received a response in over 1.5 months. Talk about abandoning those you made $1 mill off of back in March
18,2021-11-21 03:37:13+00:00,JrnyNftClub,"@gotenksjcs @JRNYcrypto If it makes you feel any better, he does this to his VIP members too. My girlfriend paid $1k to be in his VIP group and whenever someone even questions him or disagrees he blocks them, removes them, or mutes them. 

I'm here to shill the truth on the real JRNY Crypto!"
19,2021-11-21 03:34:44+00:00,JrnyNftClub,@JaysonLaStarza @Guy0990 @JRNYcrypto He cant handle opposing opinions or constructive criticism. He even does this to his VIP members who he made $1 million off of.
20,2021-11-21 03:33:25+00:00,JrnyNftClub,"@Guy0990 @JRNYcrypto Exactly!!! He cant handle opposing opinions or constructive criticism.. He handles it by removing, muting, or blocking. I heard he even does it to his VIP members who paid him $1k."
21,2021-11-21 03:32:11+00:00,JrnyNftClub,@NFTxWorld_ @JRNYcrypto Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
22,2021-11-21 03:31:34+00:00,JrnyNftClub,@chivitech @AHumbledGod @JRNYcrypto He never once mentioned it was not going to be cheap.. The guy lies and is here for money grabs
23,2021-11-21 03:31:05+00:00,JrnyNftClub,@chivitech @AHumbledGod @JRNYcrypto Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
24,2021-11-21 03:29:51+00:00,JrnyNftClub,@krypto_kamikaze @AHumbledGod @JRNYcrypto Heard he even blocks people in his VIP group who question his opinion or prices. The man cant handle constructive criticism
25,2021-11-21 03:29:05+00:00,JrnyNftClub,@AHumbledGod @degenmum @JRNYcrypto Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
26,2021-11-21 03:28:40+00:00,JrnyNftClub,@AHumbledGod @JRNYcrypto Not once anywhere did he mention this set wouldnt be cheap.. He waited until the day of practically to release the mint price because he knew his greedy ass would face scrutiny
27,2021-11-21 03:27:44+00:00,JrnyNftClub,@AHumbledGod @JRNYcrypto Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
28,2021-11-21 03:25:07+00:00,JrnyNftClub,@Blindfreddie_ Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
29,2021-11-21 03:24:45+00:00,JrnyNftClub,@Renzorellana @Degen0xBDC Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
30,2021-11-21 03:24:41+00:00,JrnyNftClub,"@Renzorellana @Degen0xBDC I hear he blocks, mutes, and removes people in his private VIP telegram and discord channels if they even question his opinions or moves... He cant take criticism and is a totalitarian"
31,2021-11-21 03:23:23+00:00,JrnyNftClub,@Waltyy72 Follow me for insight on the real JRNY crypto membership nonsense. I am going to shill the truth.
