,Time,User,Tweet
0,2022-09-14 09:19:46+00:00,JungleFreaksNFT,Last one for today. This Rilla likes to party!!! What Number is he/her/they? Can anyone tell us?   https://t.co/1c2rCvyhC2
1,2022-09-14 08:53:12+00:00,JungleFreaksNFT,Here’s another little zombie… Can anyone recognise him?   https://t.co/UtUAVbPNSp
2,2022-09-14 08:13:01+00:00,JungleFreaksNFT,Playing around with a few our our freaks.  @JungleFreaksJPG @JungleFreaksNFT             https://t.co/vaJty6aqSx
3,2022-09-14 06:35:42+00:00,JungleFreaksNFT,@overtime Love this!!!
4,2022-09-14 06:33:46+00:00,JungleFreaksNFT,@fish_feral Great set!!!
5,2022-09-13 14:07:06+00:00,JungleFreaksNFT,@ConsistenTLucK No you’re not! You’re perfectly positioned to take advantage of the new Jungle Freak revolution 😉😉🚀🚀
6,2022-09-13 13:59:07+00:00,JungleFreaksNFT,Anyone sitting on the fence…this is the time. With a massive smile on my face I can categorically say it’s now or never. Join our discord https://t.co/I8gZCHF2Y6
7,2022-09-13 02:05:45+00:00,JungleFreaksNFT,@obamajohn00 @Chamber_JF You’re in good hands now!
8,2022-09-13 02:05:01+00:00,JungleFreaksNFT,@Chamber_JF Done 😏
9,2022-09-13 01:03:56+00:00,JungleFreaksNFT,@itstylersays With the right partners and utility behind the project...I think we will but 90% of all current NFT's will disappear. The mindset needs to shift.
10,2022-09-12 23:36:46+00:00,JungleFreaksNFT,@SaakoNFT He is a beauty...😘
11,2022-09-12 22:24:40+00:00,JungleFreaksNFT,RT @kingjunglefreak: @ZssBecker The @junglefreaksnft community is alive and kicking. New professional digital studio owners @Xentrix_Studio…
12,2022-09-12 14:21:19+00:00,JungleFreaksNFT,@HatchetmanNFTs @rjtheslumdawg @Xentrix_Studios Not worth it @HatchetmanNFTs...only up for this project. 😍
13,2022-09-12 14:03:04+00:00,JungleFreaksNFT,@PapitoSur4 It's DEFINITELY SOMETHING!!! A big something. 😉
14,2022-09-12 14:01:24+00:00,JungleFreaksNFT,A little teaser for what we have installed. @Xentrix_Studios https://t.co/3D5KL0AvjB
15,2022-09-12 13:24:09+00:00,JungleFreaksNFT,"ANNOUNCEMENT
Jungle Freaks has a proud new owner. Kalidor Pty Ltd in partnership with Xentrix Studios has now acquired the project. Jungle Freaks will soon be relaunched under new management and with a brand new vision. @Xentrix_Studios https://t.co/gLRT1bHAnL"
16,2022-09-12 11:16:59+00:00,JungleFreaksNFT,"RT @kingjunglefreak: Can you smell what the #junglefreaks are cooking?!

8 freaks from 0.1e

@JungleFreaksNFT @Xentrix_Studios https://t.co…"
17,2022-09-12 11:08:03+00:00,JungleFreaksNFT,RT @Xentrix_Studios: Added a new Zombie to our collection! @JungleFreaksJPG @JungleFreaksNFT https://t.co/3ZMA60uJub
18,2022-09-12 11:07:34+00:00,JungleFreaksNFT,RT @hodlmaooo: Did someone say AAAAOOOOOO? #FREAKS4LIFE #NewProfilePic https://t.co/pXHAajmczA
19,2022-09-12 11:07:32+00:00,JungleFreaksNFT,RT @Xentrix_Studios: Add a new Fall Out Rilla @JungleFreaksJPG @JungleFreaksBot @JungleFreaksNFT https://t.co/ax0dBedB04
20,2022-09-12 11:07:24+00:00,JungleFreaksNFT,"Gm 

Happy Monday.

Let’s have a killer week degens.

🫡"
21,2022-09-12 11:01:30+00:00,JungleFreaksNFT,"RT @Babar_NFTs: Finally I secured 50 @JungleFreaksNFT Genesis.

Was a long run from last October..

Almost 1 year that I do my best for thi…"
22,2022-09-09 14:29:18+00:00,JungleFreaksNFT,"Gm to everyone who is still here.

Bullish times ahead.

🫡"
23,2022-09-09 14:28:42+00:00,JungleFreaksNFT,👀👀👀👀 https://t.co/xRrjcXsKS5
24,2022-09-09 14:28:32+00:00,JungleFreaksNFT,RT @DadBodz_NFT: Only 131 freaks listed out of 10k on OS atm. Feeling #bullish in the jungle!  -- Big news incoming for @JungleFreaksNFT ..…
25,2022-09-08 23:02:26+00:00,JungleFreaksNFT,@Kriskross929 🔥🔥🔥🔥
26,2022-09-08 22:05:05+00:00,JungleFreaksNFT,@YuyuKindly @Babar_NFTs @joker25NFT Come jump in the discord right now… you’ll be shocked.
27,2022-09-08 13:29:15+00:00,JungleFreaksNFT,"RT @kingjunglefreak: @Babar_NFTs @JungleFreaksNFT Freaks, seriously. We're not far from under 100 listed. That's insane. Let's go!!

@Jungl…"
28,2022-09-08 13:29:13+00:00,JungleFreaksNFT,"ABSOUTE INSANITY

😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫 https://t.co/61oz4k2ErD"
29,2022-09-08 13:06:32+00:00,JungleFreaksNFT,RT @JungleFreaksJPG: Jungle Freak 9932 sold for Ξ0.250 ($407.75) 👀 #JUNGLEFREAKS 🔥 https://t.co/JI8FaMzYrQ https://t.co/sH2MYK7KQ9
30,2022-09-08 13:06:29+00:00,JungleFreaksNFT,RT @DadBodz_NFT: Only 177 out of 10k @JungleFreaksNFT  listed on OS👀 ... and rumors of some big news coming soon. Still some really nice #J…
31,2022-09-08 13:06:23+00:00,JungleFreaksNFT,"RT @Babar_NFTs: I was making a point and I have 145 pieces of different @JungleFreaksNFT collection.

This is my biggest collection ever.…"
32,2022-09-08 11:33:59+00:00,JungleFreaksNFT,"Gm. Wanted to share some OG sketches/art from close to a year ago!

As you can see, the art is unlike almost everything in the space.

It started with an idea, then pencil, then ink &amp; color, scanned and the white space is removed and set into place properly.

No short cuts here. https://t.co/peAoHFdSFD"
33,2022-09-08 10:47:37+00:00,JungleFreaksNFT,RT @Babar_NFTs: 128 / 10K (1.28%) in bear market and without communication. I guess it's not bad  @JungleFreaksNFT https://t.co/JWi5O9Ms50
34,2022-09-07 23:10:49+00:00,JungleFreaksNFT,👀👀👀 https://t.co/mMe34rOKst
35,2022-09-02 12:26:40+00:00,JungleFreaksNFT,@Babar_NFTs 🤝🤝🤝
36,2022-09-02 12:26:31+00:00,JungleFreaksNFT,@LivApe 😤😤😤
37,2022-09-02 11:56:47+00:00,JungleFreaksNFT,"Gm Freaks :)

Throwback to some earlier samples from the Genesis collection.

We still feel it’s some of (if not the best in the space)

What do the Freak’s think?! https://t.co/3tCakTuztx"
38,2022-08-19 19:58:57+00:00,JungleFreaksNFT,@Promintcc 👀👀👀
39,2022-08-19 19:58:52+00:00,JungleFreaksNFT,🤝🤝🤝 https://t.co/bdGYmrwtOE
40,2022-08-19 19:58:45+00:00,JungleFreaksNFT,"RT @Promintcc: FOMO Alert: Jungle Freaks By Trosley #JungleFreaksByTrosley
35 #NFT Sales in Last 5 Min.
Floor is 0.044Ξ  ●

Pressure is Sel…"
41,2022-08-19 19:58:31+00:00,JungleFreaksNFT,"RT @Babar_NFTs: Ok @JungleFreaksNFT family. I am the man of my words. The sweep is done. 
35 @JungleFreaksNFT swept. The floor was 0.044ETH…"
42,2022-08-11 11:46:23+00:00,JungleFreaksNFT,"RT @NetVRk1: The #MineRunner alpha release is now LIVE! 🔥💯
#Netvrk's first #PlaytoEarn #metaverse #game, built in #UnrealEngine 5! 🪨⛏️💥

Th…"
43,2022-08-10 19:58:33+00:00,JungleFreaksNFT,@Babar_NFTs 👀👀👀👀
44,2022-08-10 19:58:27+00:00,JungleFreaksNFT,"RT @Babar_NFTs: Only 162 @JungleFreaksNFT listed / 10K 👀

Some sales last 24H 🤷🏻 https://t.co/L9qgst2V0F"
45,2022-08-10 19:15:02+00:00,JungleFreaksNFT,🚨🚨🚨🚨 https://t.co/8Bm9TqclcO
46,2022-08-10 19:14:37+00:00,JungleFreaksNFT,"RT @Babar_NFTs: 65 @JungleFreaksNFT sold since my tweet the 30/07/2022 

It’s twice more than the 11 days before my tweet. 

coincidence..…"
47,2022-08-10 01:02:00+00:00,JungleFreaksNFT,RT @JungleFreaksJPG: Jungle Freak 8562 sold for Ξ0.300 ($422.07) 👀 #JUNGLEFREAKS 🔥 https://t.co/69dtLTzvQG https://t.co/AFaJwmPmWA
48,2022-08-09 19:39:18+00:00,JungleFreaksNFT,🔥🔥🔥🔥 https://t.co/WloxUgkWKy
49,2022-08-09 19:39:12+00:00,JungleFreaksNFT,"RT @Babar_NFTs: 30 min before the JF SWEEPER PASS mint will start @JungleFreaksNFT holders 

3333 supply 
0.05ETH/each 
Max 10/txn 

Don’t…"
50,2022-08-08 17:39:43+00:00,JungleFreaksNFT,"Happy to support such an awesome project by one of our strongest members!

Calling all JF holders!!!

👇👇👇👇 https://t.co/SoUP3J8QkS"
51,2022-08-08 17:39:08+00:00,JungleFreaksNFT,"RT @Babar_NFTs: Alright guys we are excited to announce the day &amp; time of the launch

Be ready for the common action. 

One of all &amp; all of…"
52,2022-08-08 12:59:29+00:00,JungleFreaksNFT,@Babar_NFTs https://t.co/VxGM7TzD6W
53,2022-08-08 12:59:17+00:00,JungleFreaksNFT,"RT @dukeofcrypto_: @Babar_NFTs @JungleFreaksNFT Not. Going. Anywhere.

Freak 4 Life 

#JUNGLEFREAKS"
54,2022-08-07 14:02:20+00:00,JungleFreaksNFT,"RT @Babar_NFTs: Alright holders @JungleFreaksNFT something is coming 

#FREAKS4FREAKS https://t.co/3yrP4n4AYm"
55,2022-08-05 15:53:28+00:00,JungleFreaksNFT,"FREAKY FRIDAY BABY!!!

LET’S SEE THOSE FREAKS!!!

👇👇👇👇 https://t.co/ZzChn61RQS"
56,2022-08-05 15:50:58+00:00,JungleFreaksNFT,"RT @tonyphi13149042: It’s a Freaky Funky Friday! @JungleFreaksNFT 
Where’s my Freaks at? 🧟‍♂️ 🚀 https://t.co/EraQSxM2Tt"
57,2022-08-05 13:27:52+00:00,JungleFreaksNFT,"RT @Babar_NFTs: Alright guys

What's your favorite trait in the entire @JungleFreaksNFT collection?

For me, these are wings.

Share your f…"
58,2022-08-05 13:27:48+00:00,JungleFreaksNFT,"RT @Xentrix_Studios: Our Freak #3627, we plan on collecting a tribe of Zombies. @JungleFreaksNFT https://t.co/k4yjaYvrkb"
59,2022-08-05 13:27:46+00:00,JungleFreaksNFT,"RT @Xentrix_Studios: and lucky last in our current collection is #3817. Not a zombie, but still pretty cool anyway. @JungleFreaksNFT @Jungl…"
60,2022-08-05 10:25:54+00:00,JungleFreaksNFT,"RT @Babar_NFTs: Holders @JungleFreaksNFT I see your tweets, your dms..Thanks 🙏🏻

If as a member I can do some things, so you can all do too…"
61,2022-08-04 14:20:45+00:00,JungleFreaksNFT,"RT @Babar_NFTs: Some INSANE metrics for you

Only 209 @JungleFreaksNFT Genesis listed / 10K 🤩🔥

It's only 2% of the entire collection. It's…"
