,Time,User,Tweet
0,2022-09-15 05:21:18+00:00,KaijuKingz,RT @YungGatzby: Who dis? https://t.co/1GIcb1dLdr
1,2022-09-13 16:16:36+00:00,KaijuKingz,RT @vinc3nt_eth: New pickup! Absolutely loving this Alienskin + Snow Camo Streetwear Hoodie combi! Drop your Kingz in the comment section a…
2,2022-09-13 06:03:48+00:00,KaijuKingz,"RT @theKMan3: Received my @KaijuKingz merch! Quality is amazing! Looks &amp; fits perfect! Probably will order more! 💯❤️👑🦖

@augminted @ohDotss…"
3,2022-09-13 05:04:17+00:00,KaijuKingz,"RT @ArtKaroon9: My very first Kaiju Kingz…a red boss on red

The art is certainly cool, but the tight community is even better…thanks to @n…"
4,2022-09-13 02:23:54+00:00,KaijuKingz,"RT @maverick23NFT: Kaijumart for @KaijuKingz is the gold standard for Web3 marketplaces.

While still in its infancy, it is turning up the…"
5,2022-09-13 02:22:06+00:00,KaijuKingz,"RT @ImTylerETH: Love the hoodie, got it a lil too big tho
@KaijuKingz https://t.co/vkK0Glptvn"
6,2022-09-10 22:35:33+00:00,KaijuKingz,"RT @kbruh_eth: Pump cover go crazy @KaijuKingz, here in 2 days, amazing quality, and love the graphic tee! Kingz on top per usual. https://…"
7,2022-09-09 19:01:39+00:00,KaijuKingz,"RT @LostRealmsXYZ: A new kingdom has pledged their heroes to our battle against the powerful Red Dragon that terrorizes our world: Welcome,…"
8,2022-09-08 22:45:17+00:00,KaijuKingz,"RT @DrJPEG_: Introducing, our 2nd game out of @NFArcade

This style of game was the epitome of high level competition back in the day, so w…"
9,2022-09-08 21:00:24+00:00,KaijuKingz,https://t.co/bmf9cZgs8X
10,2022-09-07 18:05:11+00:00,KaijuKingz,"This concludes the first season of Kaiju Augmints.

If you missed out, the next season will be released in the coming weeks.

And much more... 🔜"
11,2022-09-07 18:05:11+00:00,KaijuKingz,"Latest batch of Kaiju Augmints are available.

🌋

https://t.co/954xESsbAh https://t.co/PQ2PigS7uQ"
12,2022-09-06 20:15:25+00:00,KaijuKingz,RT @KennyH_OGC: Keep building 🦖 https://t.co/nVe3MBY6R4
13,2022-09-05 19:03:55+00:00,KaijuKingz,"RT @kvo_jov: It’s a wrap for #KaijuzAtCOMEX!

Hugely thankful to be part of this tremendous @KaijuKingz community - it’s such a happening s…"
14,2022-09-05 09:39:27+00:00,KaijuKingz,"RT @NFT_Unker: (1/x) C O M M U N I T Y - V2

Comex (1/9/22 – 4/9/22): 
Historic milestone for 🇸🇬 @KaijuKingz 

For those who don’t know, Co…"
15,2022-09-04 23:37:46+00:00,KaijuKingz,RT @Briiian00: he got the denim now @KaijuKingz #kingzontop https://t.co/DvO4i2VfJ2
16,2022-09-04 23:26:24+00:00,KaijuKingz,"RT @liquidationswrd: From a ounce to a quarter, quarter to a half, half to a fluffy kilooooooo @KaijuKingz new money gang https://t.co/8goJ…"
17,2022-09-04 23:26:14+00:00,KaijuKingz,RT @brett2tees: #NewNFTProfilePic NFT by Kaiju-Kingz new augmint who dis? https://t.co/DNSP8OCDHU
18,2022-09-04 00:42:25+00:00,KaijuKingz,"RT @jparknft: Perfect for tucking in the homies.

Essentials 🔥

@KaijuKingz @augminted https://t.co/NF8bBeJHit"
19,2022-09-04 00:41:06+00:00,KaijuKingz,RT @nft_woof: Drop by the @KaijuKingz  booth at @web3sg at @SuntecSingapor #kingzontop #kaijukingz https://t.co/Sn9d8acGth
