,Time,User,Tweet
0,2022-09-14 04:00:01+00:00,KarafuruNFT,"And in our darkest moments, let there be light... oh sorry! What I meant to say was, say hello to Kuchioji! 🏳️

A bright, blinding spirit, Kuchioji lights the path for our Furus to find their way in the Playground! #FuruSurprise https://t.co/WCsvvamMzd"
1,2022-09-14 03:51:40+00:00,KarafuruNFT,"RT @LofiLoftsNFT: Lofi Lofts x Karafuru

We are happy to announce our partnership with @KarafuruNFT
 
Peep the capsule themed loft👀 https:/…"
2,2022-09-13 14:47:21+00:00,KarafuruNFT,"Well, well, well... it looks like we've certainly picked our Poison ☠️

Meet Jigokujin! As poisonous as he may look, don't worry! He's not toxic. #FuruSurprise https://t.co/eXBoQv8mel"
3,2022-09-13 14:41:27+00:00,KarafuruNFT,"RT @skulourful: Skulourful x Karafuru 

We are happy to be announcing a collaboration with @KarafuruNFT 

💀Follow @KarafuruNFT &amp; @skulourfu…"
4,2022-09-13 14:38:09+00:00,KarafuruNFT,"Winner, winner, gachapon dinner! 🧿

• @medoo_19999
• @Billy_NFT_
• @dearatnan

Congratulations! Please DM us your Wallet Address and Discord ID to claim your gachapon!

✔️ https://t.co/Sv4jueKcLf https://t.co/THFZR0Xa5r"
5,2022-09-13 03:21:36+00:00,KarafuruNFT,"We've received reports regarding a disturbance in the Playground. It's time for us to capture &amp; stop them from causing further mayhem! 

Spot the hidden creatures in the Playground, circle their location and report them back to us 🎯

💰 Reward : 3x Gachapons, 3 Winners! https://t.co/odQh5MduCv"
6,2022-09-13 03:15:37+00:00,KarafuruNFT,RT @rayshearer: Dope official tshirt merch from the @KarafuruNFT meet up 2022 in Jakarta last week!  😍😍 Great and memorable event! @Jejouw…
7,2022-09-13 03:14:51+00:00,KarafuruNFT,"RT @nft_colonel: Been hearing about the @KarafuruNFT community for a while. So, I joined the fam. #Karafuru 🤟 https://t.co/WPABLyQyxw"
8,2022-09-12 04:23:03+00:00,KarafuruNFT,"RT @RPlanetNFT: R Planet 💪 Karafuru
We're excited to announce a collab with @KarafuruNFT!  Follow @RPlanetNFT and @KarafuruNFT and head ove…"
9,2022-09-11 11:25:04+00:00,KarafuruNFT,@Jhei001122 @G01DY49 @mikeyx_eth @baobaoz_nft Looks fun! 🙌🏻💫
10,2022-09-11 11:24:17+00:00,KarafuruNFT,"RT @Jhei001122: Gather HK furu 🇭🇰 
Furus are happy together while azuki is lonely! Let’s give the lonely ppl more love 🔥 Summoning more fur…"
11,2022-09-11 07:22:30+00:00,KarafuruNFT,"RT @TheCons73042027: Just snagged my first Otan from @KarafuruNFT ! This dude was chilling on the floor so had to. ❤️ 🍉 

#Karafuru https:/…"
12,2022-09-11 04:42:09+00:00,KarafuruNFT,"RT @rofe_eth: Who had some fun on Karafuru Holder’s gathering in Jakarta? Stay tune guys, many more cities to come! @KarafuruNFT https://t.…"
13,2022-09-10 07:57:48+00:00,KarafuruNFT,RT @Dimensionmethod: So how strong is the @KarafuruNFT community? https://t.co/dYvSI5gOWQ
14,2022-09-10 03:53:37+00:00,KarafuruNFT,"RT @8lements: 8LEMENTS 🤝 Karafuru 

It is a pleasure that we can announce our latest collab with the one and only @karafuruNFT 🔥🔥🔥

Let’s c…"
15,2022-09-09 17:04:21+00:00,KarafuruNFT,"Happy Friday, Furus!! 🙌🏻

Let's get you up to speed on our latest weekly updates in the Playground 🌈

https://t.co/EXCBigDJcS https://t.co/irpV5hpf9A"
16,2022-09-09 17:03:22+00:00,KarafuruNFT,@Davidq_2121 Welcome! #FuruFollowFuru? 👀
17,2022-09-09 17:02:57+00:00,KarafuruNFT,"RT @Davidq_2121: I just saw it, liked it and I joined 😌@KarafuruNFT https://t.co/UVlUEvUCTn"
18,2022-09-09 10:05:40+00:00,KarafuruNFT,@McSofyan @Jejouw @WD_Willy So sorry to hear that 😭🙏
19,2022-09-09 10:05:16+00:00,KarafuruNFT,"RT @McSofyan: Goodbye ma Coolest #3DEgao 
Hope i can see you again on ma wallet 😭😢
Ma wallet got hack last night and they take #My3DKarafur…"
20,2022-09-08 19:05:55+00:00,KarafuruNFT,@meshalka05 YES 😌🙌🏻
21,2022-09-08 16:24:04+00:00,KarafuruNFT,@roychandra @Jejouw @MsF0m0 @rofe_eth @gradyedbertnft @soloandrw_ @brandonsalim @owangenft @shinxu @BrilliantLiu_ @nash712_ @luck_chan Glad to have you too last night! 🙌😆
22,2022-09-08 16:21:06+00:00,KarafuruNFT,"RT @momonjpg: last night was crazy 💕 hope you guys also had fun yesterday! 🌈 @KarafuruNFT 

featuring boss @Jejouw and the team who didn't…"
23,2022-09-08 16:20:39+00:00,KarafuruNFT,"RT @BabyyTrader_ID: I still remember all the details @KarafuruNFT 🙇‍♂️💫 

Furus Gathering 1.0 success, SGP next? 👀 https://t.co/Lvawuawzcn"
24,2022-09-08 16:13:19+00:00,KarafuruNFT,"RT @TheHornyDegen: I love my web3 family 🫡🥡
Sushi 🍣 gang or dont bang 
@KarafuruNFT Follow @KarafuruNFT ¿🌚 https://t.co/0Qwlp9ljvF"
25,2022-09-08 16:11:18+00:00,KarafuruNFT,RT @Lockjaw_13: The first @KarafuruNFT gathering last night was a lot of fun! It's a pleasure to meet Furu's family 👀 https://t.co/CcwV5kg5…
26,2022-09-08 16:10:51+00:00,KarafuruNFT,RT @ChrisRolando7: Last night was lit 🔥 @KarafuruNFT https://t.co/xJpsAJWw85
27,2022-09-08 16:06:26+00:00,KarafuruNFT,"RT @markusmanson: Goodies from last night @KarafuruNFT gathering. And got so lucky to snatch a varisty jacket from gacaphon! 😁😁😁 
And it wa…"
28,2022-09-08 15:59:15+00:00,KarafuruNFT,RT @renaldoprasetya: We had alot of fun at @KarafuruNFT gathering tonight..met alot of new web3 friends..food was nice..party was lit..and…
29,2022-09-08 15:58:34+00:00,KarafuruNFT,RT @reinmeisterNFT: Great event! @KarafuruNFT https://t.co/bd7yhJ0VGM
30,2022-09-08 15:58:21+00:00,KarafuruNFT,RT @IwanBJZ: @KarafuruNFT gathering with holders and founders. I got this varsity jacket.. ehmmm... i mean @AgnesVinta who got it from gach…
31,2022-09-08 15:32:26+00:00,KarafuruNFT,@rriverzz @brandonsalim hope you can join the next one! 🥲💙
32,2022-09-08 15:31:21+00:00,KarafuruNFT,RT @NftzKevin: Can't tag u @shadowgloryy  #furugathering #karafuru @KarafuruNFT https://t.co/OIXem1if2O
33,2022-09-08 15:31:03+00:00,KarafuruNFT,@luck_chan thank you for coming fam! 🙌
34,2022-09-08 15:29:27+00:00,KarafuruNFT,RT @KevinSusanto: 🔥@KarafuruNFT Gathering at Glass House! @Jejouw spilling the next BIG thing for Furu fam🔥Also free foods and free Merch t…
35,2022-09-08 15:29:02+00:00,KarafuruNFT,"RT @MsF0m0: What a night ! Thank you @KarafuruNFT team for the invite 🤍🤟🏻
@rofe_eth @rofe_eth @gradyedbertnft @soloandrw_ @Jejouw @brandons…"
36,2022-09-08 15:28:45+00:00,KarafuruNFT,RT @willywinarko_: Hosting @KarafuruNFT Gathering Jakarta 🚀🚀🚀🚀🚀 https://t.co/TWPD9L4VSf
37,2022-09-08 15:27:16+00:00,KarafuruNFT,@yudhakhel @TurnBackHoax Thank you loh kak! 😉 Hope you had a blast too last night! 💫
38,2022-09-08 15:26:01+00:00,KarafuruNFT,RT @rayshearer: Enjoying the gathering with the Furus! Listening to @Jejouw @rofe_eth spill some teas. 💎💎💎🍻🍻🍻 @KarafuruNFT @atmos_usa @atmo…
39,2022-09-08 14:14:59+00:00,KarafuruNFT,"RT @_MiniverseNFT: Miniverse🔮 X Karafuru🌈

We are happy to welcome Karafuru to our family 🔮✨

This is our favorite lofi music we created so…"
40,2022-09-08 05:36:03+00:00,KarafuruNFT,"RT @ScarySamuraiNFT: 🥷 Scary Samurai x Karafuru💀

Our samurai decided to borrow some gear from
@KarafuruNFT.

To celebrate this new collab…"
41,2022-09-07 10:59:34+00:00,KarafuruNFT,RT @brandonsalim: whos coming tonight woohooo @KarafuruNFT https://t.co/Wfacbxsn7u
42,2022-09-07 10:59:30+00:00,KarafuruNFT,RT @gradyedbertnft: 👹🫡  @KarafuruNFT https://t.co/D8UgRvbnnp
43,2022-09-07 10:13:44+00:00,KarafuruNFT,ARE YOU READYY FURUUUUSSS 🔥😎💫 https://t.co/L3SJf2ZRG1
44,2022-09-07 07:48:35+00:00,KarafuruNFT,RT @momonjpg: FURUS READY! 💙🔥 https://t.co/VWsJ5sMN6b
45,2022-09-06 14:13:56+00:00,KarafuruNFT,RT @bubbliesIO: We're excited to announce that we're collaborating with @KarafuruNFT to give some of their holders Whitelist spots for Bubb…
46,2022-09-06 12:37:15+00:00,KarafuruNFT,@Jhei001122 standby on IG LIVE tomorrow! 😉💙
47,2022-09-06 12:29:34+00:00,KarafuruNFT,"Furus! Raise your hands if you're excited for our Holder's Meetup tomorrow at Glass House — Jakarta, Indonesia 🙌🏼

You can expect F&amp;B, Shows from various Artists, an Afterparty &amp; much more! There is much to be revealed in tomorrow's meetup 🥂

📢 Last call to RSVP! See you there! https://t.co/xhANE4yWIX"
48,2022-09-06 12:16:06+00:00,KarafuruNFT,@Vtlejuice @Ledger yeheii welcome back! 💫
49,2022-09-06 04:24:01+00:00,KarafuruNFT,@cloudplayer_eth definitely closer than you think 😉💫
50,2022-09-06 04:09:43+00:00,KarafuruNFT,"Interesting... apparently these mysterious little creatures come in various shapes &amp; elements 🌈

The hunt is on! Are you ready to search the Playground and capture these lil' rascals? https://t.co/DyiphzaE0b"
51,2022-09-05 11:16:38+00:00,KarafuruNFT,"Furus! We're 3 days out from our Holders Meetup event at Glass House, in Jakarta, Indonesia  🙌🏻

📍https://t.co/9H08D7cfLl

For all of our Holders who'd love to join, don't forget to RSVP in the Playground!  🛝

https://t.co/iAUb1HgB2F https://t.co/56jcIb2yKm"
52,2022-09-05 10:49:26+00:00,KarafuruNFT,RT @cloudverse2022: Thank You @KarafuruNFT for sponsoring our HK NFT Meet-Up!! It was an amazing experience with the FuruBeer and the prize…
53,2022-09-05 10:47:59+00:00,KarafuruNFT,"RT @OldeusOfficial: Oldeus x Karafuru

Make sure to follow 
@OldeusOfficial @KarafuruNFT 
 
(ᴀʟʟ ɪɴᴛᴇʀᴀᴄᴛɪᴏɴꜱ ᴄᴏɴꜱɪᴅᴇʀᴇᴅ ꜰᴏʀ ᴡʟ) https://t.…"
54,2022-09-05 06:25:49+00:00,KarafuruNFT,RT @Jhei001122: Cheers 🍺 More furu will gather together 🇭🇰 Thanks to @cloudverse2022 @cloudandymeta @KarafuruNFT https://t.co/FR8bIONtl4
55,2022-09-04 15:39:14+00:00,KarafuruNFT,"RT @wolf3_io: WOLF3 x Karafuru 

Announcing A Collaboration With @KarafuruNFT

Make sure to follow @wolf3_io 
 
(ᴀʟʟ ɪɴᴛᴇʀᴀᴄᴛɪᴏɴꜱ ᴄᴏɴꜱɪᴅᴇʀᴇ…"
56,2022-09-04 09:37:33+00:00,KarafuruNFT,@AspenShredder @MuseumofToys_ @WD_Willy #FuruFollowFuru yesss! 💫😍
57,2022-09-04 09:37:11+00:00,KarafuruNFT,RT @HolgharS: Another great event for all our genesis and 3d holders from @KarafuruNFT . Accompanied with special surprises from the projec…
58,2022-09-04 09:36:35+00:00,KarafuruNFT,@Zwood7 Welcome fam! 🙌🏻😏
59,2022-09-04 09:36:20+00:00,KarafuruNFT,RT @Zwood7: Bought this Furu because how tf could I not lol @KarafuruNFT https://t.co/eSXV6QnaDP
