,Time,User,Tweet
0,2022-09-15 04:36:39+00:00,LazyLionsNFT,RT @JeBroniLames: Rank 269 secured 🤘 had to grab it before getting some sleep. GN ✌️ #ROAR #LazyLions https://t.co/pXsVId73Qk
1,2022-09-14 14:00:30+00:00,LazyLionsNFT,https://t.co/lyGBX5LIzD
2,2022-09-14 09:24:02+00:00,LazyLionsNFT,"Don't forget to join @AshurNFT, @NineNft, and special guest Bubblegum Kids founder Oliver https://t.co/ovxyemndTY"
3,2022-09-14 05:56:00+00:00,LazyLionsNFT,RT @techoshi777: Repping the #lazy brand today @LazyLionsNFT #LazyLions https://t.co/WhtbSlhocp
4,2022-09-13 07:18:26+00:00,LazyLionsNFT,"RT @BoredCharley: Lions are wonderful creatures
@LazyLionsNFT #LazyLions #ROAR https://t.co/wxt2KC4mAX"
5,2022-09-13 07:16:45+00:00,LazyLionsNFT,"RT @TexasTSteel: Finally completed a set! Not matching but still #Proud ! 

Got my @LazyLionsNFT earlier this week and grabbed my Lazy Lion…"
6,2022-09-11 04:56:03+00:00,LazyLionsNFT,"RT @SuperMayan: It was my son's bday recently so made a Party Hat for him 🥳 🎉 🦁 

@LazyLionsNFT #LazyLionsNFT #LazyLions #NFTCommunity #NFT…"
7,2022-09-11 04:55:57+00:00,LazyLionsNFT,"RT @ganja_god_NFT: Just picked up my @LazyLionsNFT cub! For my daughter! 💚

Had to be a halo like her father! 🦁😇

Looking for my teen halo…"
8,2022-09-11 04:55:47+00:00,LazyLionsNFT,RT @JojoBlockchain: Got lucky getting this little baby for a crazy weth collection offer 🫣💜💕🫶 in love with the #LazyLions hat welcome home…
9,2022-09-09 15:25:08+00:00,LazyLionsNFT,https://t.co/lyGBX5LIzD
10,2022-09-08 18:30:59+00:00,LazyLionsNFT,"RT @AR_ON_tweets: This is a big one! Featuring @Ledger @RevokeCash @0xQuit and @Wii_Mee 

📣GET IN HERE🚨"
11,2022-09-08 15:53:56+00:00,LazyLionsNFT,"Update #30 now live on Medium.

Check it out here: https://t.co/hihaKdDEy4"
12,2022-09-08 15:02:44+00:00,LazyLionsNFT,"RT @ganja_god_NFT: #NewNFTProfilePic NFT by Lazy-Lions

@LazyLionsNFT 🦁

It took a while to get here! I had to sell some of my loved NFTs!…"
13,2022-09-08 15:02:13+00:00,LazyLionsNFT,"RT @Cryptui2: Two bottles of #RoarGin coming your way. This time hopefully not getting lost 😞 😢 @ZavNFT @cryptofuria 

One is for the exoti…"
14,2022-09-07 23:26:13+00:00,LazyLionsNFT,RT @PLA87: Love this pull I got on a collection offer I made. Glad to get one of the @LazyLionsNFT back in the vault.  💎💎💎 https://t.co/W7X…
15,2022-09-07 23:25:18+00:00,LazyLionsNFT,"RT @KRich_7: Super excited to join the @LazyLionsNFT pride! Thank you @SaysAdam, you are a true King. Let’s ROAR! #LazyLions https://t.co/Z…"
16,2022-09-07 13:49:54+00:00,LazyLionsNFT,"RT @WoozyPelican: I couldn’t take seeing this King on the floor anymore. You are safe now, welcome home @LazyLionsNFT #LazyLions 👑🦁 https:/…"
