,Time,User,Tweet
0,2022-09-15 04:28:00+00:00,LilHeroesNFT,The #EthereumMerge is here 🎉 and experts estimate this may reduce the network's power consumption up to 99.95% 📉 Lil' Heroes is committed to addressing climate change and is excited at #eth reducing its energy requirements &amp; impact on the planet🌎🦸‍♂️🥳
1,2022-09-14 17:36:14+00:00,LilHeroesNFT,"🪚 You don’t know me, but I know you 👿
.
Lil’ Villains homage to Saw
.
#nfts #nftcommunity #saw #liveordie #yourchoice #lilvillainsmint @plansartstudio https://t.co/7BHGj48NpH"
2,2022-09-12 17:57:15+00:00,LilHeroesNFT,"I tell you things, you tell me things.
.
Lil’ Villains homage to Hannibal Lecter
.
#nfts #HannibalLecter https://t.co/D9XAC7OqjO"
3,2022-09-09 21:40:40+00:00,LilHeroesNFT,"It’s the weekend! Good luck out there.
.
“I can’t lie to you about your chances, but…you have my sympathies.”
.
Lil’ Villains tribute to Aliens (1979)
.
#nftcommunity #digitalart #lilvillainsmint https://t.co/EhYrVexUXp"
4,2022-09-07 14:33:15+00:00,LilHeroesNFT,"Each of us has heaven and hell in him.
.
Lil’ Villains homage to Dorian Gray (1945)
.
#nftcollector #doriangray #oscarwilde @plansartstudio https://t.co/Xc5AyHprTW"
5,2022-09-05 13:09:04+00:00,LilHeroesNFT,"😈 we all go a little mad sometimes ✨
.
Lil’ Villains homage to Alfred Hitchcock’s Psycho (1960)
.
.
#thriller #hitchcock #nfts https://t.co/o8zDxtYm4x"
6,2022-09-03 16:41:10+00:00,LilHeroesNFT,"😰He has his father’s eyes 👀
.
.
Lil’ Villains homage to Rosemary’s Baby (1968)
.
#nfts #nftcollector #opensea @plansartstudio https://t.co/PciGgpmsIT"
7,2022-09-02 15:07:05+00:00,LilHeroesNFT,"RT @aaron13_eth: Finally got my lil heroes book, it’s fantastic, little piece of history right there @LilHeroesNFT @plansartstudio #lilhero…"
8,2022-09-01 01:19:13+00:00,LilHeroesNFT,"🧐When you look inside...what do you see? 🦸‍♂️ or 😈

#nfts #nftart #lilvillainsmint https://t.co/yaoQbDLScx"
9,2022-08-31 17:52:54+00:00,LilHeroesNFT,"🎈we all float down here 🤡

#lilvillainsmint #nfts #tribute #digitalart #stephenking  @plansartstudio https://t.co/fsoqfGgeZ2"
10,2022-08-30 14:29:13+00:00,LilHeroesNFT,📭📦🎁📚🦸 https://t.co/3k5ylXB8xe
11,2022-08-30 01:50:00+00:00,LilHeroesNFT,"😈Have you met your inner Lil' Villain? 🧐

#nfts #lilvillainsnft @plansartstudio https://t.co/wheTnWtNuw"
12,2022-08-29 22:45:55+00:00,LilHeroesNFT,😍👇🎁 https://t.co/QqLBDAzTmr
13,2022-08-29 13:35:12+00:00,LilHeroesNFT,"😈 there’s no place like home 🏡 

#nft #nfts #lilheroes #lilvillains #edgarplans #nftproject #holders #crypto #openseanft #nftart  #nftartists #nftartist #cryptoartist  #nftcollector #opensea #cryptoart #nftcollectors #raredigitalart #digitalart #nftdrop @plansartstudio https://t.co/Mk4aEX3ybw"
14,2022-08-20 02:24:00+00:00,LilHeroesNFT,"👽Beam me up, Scotty🛸 https://t.co/ok4qPwAeSV"
15,2022-08-19 17:22:35+00:00,LilHeroesNFT,"😈Lil' Villains: the yin to your lil' hero yang 🦸‍♂️ #lilvillainsmint @plansartstudio  

#nft #crypto #openseanft #nftart #nftartists #nftartist #cryptoartist #artwork #nftcollector #opensea #artoftheday #cryptoart #nftcollectors #raredigitalart #digitalart #nftdrop #nftartgallery https://t.co/dl3cWRvzwa"
16,2022-08-18 03:11:32+00:00,LilHeroesNFT,👀🥰🥳 https://t.co/0CQUY20O06
17,2022-08-17 23:24:07+00:00,LilHeroesNFT,"😆 This is a safe space to admit 😈 sometimes it's hard to ignore the Lil' Villain inside of us🙃 #lilvillainsmint 

#nfts #ethereum #eth #nft #crypto #openseanft #nftart #cryptocurrency #nftartists #nftartist #cryptoartist #artwork #nftcollector #opensea #artoftheday #cryptoart https://t.co/j9RAC71urG"
18,2022-08-16 22:46:07+00:00,LilHeroesNFT,"🏆 Over the last couple weeks we had thousands of entries to our Lil' Challenge🏆 but of course there can only be ONE winner. Congratulations to Art_Collector on adding🦸‍♂️Lil' Hero #2938 to their NFT collection. 

📢 Stay tuned to learn of other ways to win!

#nfts #nft #nftart https://t.co/0UJUbYKXqL"
19,2022-08-16 18:17:09+00:00,LilHeroesNFT,"😈 Are you ready for the Lil' Villains perspective? 😈

#nfts #ethereum #eth #nft #crypto #openseanft #nftart #cryptocurrency #nftartists #nftartist #cryptoartist #artwork #nftcollector #opensea #artoftheday #cryptoart #nftcollectors #raredigitalart #digitalart #nftdrop https://t.co/P5Uwyt4I3N"
20,2022-08-15 20:49:09+00:00,LilHeroesNFT,"🚨One Lil' Hero🦸‍♂️ = 1 Villian😈, because what's a hero without a villain?

If you hold a Lil' Hero, you'll be able to mint a Lil' Villain in phase one for free (+gas).

#nfts #eth #nft #crypto #openseanft #nftart #cryptocurrency #nftartists #nftartist #cryptoartist https://t.co/X1Qqixt36k"
21,2022-08-12 04:52:00+00:00,LilHeroesNFT,"📢Reminder to tune in and listen to our AMA with @cborgsofficial from Tuesday! An exciting conversation about the NFT landscape, and more info on how YOU can win a Lil' Hero NFT for yourself 😍🦸‍♂️🤖 https://t.co/Gw4NtanJDP"
22,2022-08-11 19:45:00+00:00,LilHeroesNFT,"🚨If you want to win a Lil' Hero - now's your chance. 

📢Here's how  ➡️ https://t.co/K6QxinUUhB https://t.co/H6cLBTGec2"
23,2022-08-11 17:57:00+00:00,LilHeroesNFT,"🦸‍♂️Did you know: Lil' Heroes utilizes our platform to raise awareness on many issues, and is committed to creating a positive global impact? 🌎Listen to the conversation with @EdgeofNFT linked below, featuring our founder @deilemberg and alongside other #NFTsforGood projects. https://t.co/gJGVskp6GU"
24,2022-08-11 16:05:00+00:00,LilHeroesNFT,🦸‍♂️Lil' Heroes! Are you ready for your copy? 😍🎁 https://t.co/wvDLzqtn4I
25,2022-08-11 13:42:00+00:00,LilHeroesNFT,"🤖❓Did you miss our AMA with @cborgsofficial on Tuesday? Tune into hear an exciting conversation about the state of NFTS, and also how you can earn a chance to win a Lil' Hero: https://t.co/YgV0OS1Jl2 https://t.co/GMUG1ATYNk"
26,2022-08-09 22:14:00+00:00,LilHeroesNFT,"In the presence of royalty! We love seeing your Lil' Heroes. Keep 'em coming.

Are you participating in our Lil' Challenge? Claim today's points 👉 https://t.co/Ew66pJArql https://t.co/BGSVvqmDKS"
27,2022-08-09 21:40:00+00:00,LilHeroesNFT,"We tip our hat to you! #LHfollowLH.
Reminder: Are you participating in our Lil' Challenge? Share your heroes with today's special hat (cowboy, worker, punk, cap, pirate, electric, angel, crown) to claim today's points. Full details 👉 https://t.co/Ew66pJiQyN https://t.co/c7mzLkWYsd"
28,2022-08-09 21:10:00+00:00,LilHeroesNFT,In these parts we say 'Howdy' to our Lil' Hero fam! #LHfollowLH #lilvillainsmint #comingsoon https://t.co/vFEGCZeIt8
29,2022-08-09 20:50:00+00:00,LilHeroesNFT,"May seem like he's under construction, but actually the hero's a complete masterpiece. 👷‍♂️🦸‍♂️😆 https://t.co/AyvUq1xZ79"
30,2022-08-09 20:08:38+00:00,LilHeroesNFT,"Every Hero needs a Villain...#lilvillainsmint later this month.
.
.
.
#nfts #ethereum #eth #nft #crypto #openseanft #nftart #cryptocurrency #nftartists #nftartist #cryptoartist #artwork #nftcollector #opensea #artoftheday #cryptoart #nftcollectors #raredigitalart #digitalart https://t.co/LOVrjqVuq7"
