,Time,User,Tweet
0,2022-09-13 19:00:30+00:00,LivesOfAsuna,"200 Asuna holders in our discord are being recruited by our allies @overbornenft to join them in their battle for humanity’s survival! To celebrate, we’ll be giving away 5 of their WLs!

1⃣ Follow Us, @OVERBORNENFT &amp; @AsunasGiveaways 
2⃣ Like + RT
3⃣ Tag 3 Allies!

24⏳ https://t.co/BbrMy1BX2v"
1,2022-09-10 05:57:50+00:00,LivesOfAsuna,"@stanleesgenesis @RocketshipEnt @AsunasGiveaways Winners 🏆
• @DogmaCats
• @dFuraansa
• @StealthRazerFTW
• @kemo2245
• @dan_1325
• @toosussyy
• @firenovacrypto
• @71Mugi
• @TakashiNakaga00
• @LumineersSin

Congrats! Look out for a DM from us for your info and be sure to be in their discord in their bio!

✔️ /tkt8bzjy"
2,2022-09-09 18:00:30+00:00,LivesOfAsuna,"What is Regeneration? How does it work? Check out this little tutorial made by @irreverent_nft (thanks!) demonstrating how easy it is to swap traits between your Asunas!

Song: Dreamland
Produced by: @itsoksami https://t.co/l4CEU8pgyS"
3,2022-09-09 01:03:10+00:00,LivesOfAsuna,"✨Lives of Asuna x  Stan Lee's Genesis🦸

We're giving away 10 WLs courtesy of @stanleesgenesis! All True Believers...ASSEMBLE!

1⃣ Follow Us, @stanleesgenesis, @RocketshipEnt &amp; @AsunasGiveaways 
2⃣ ♥️ + RT
3⃣ Join their discord in their bio!

24H⏳ https://t.co/xK14zY7XV5"
4,2022-08-28 22:31:18+00:00,LivesOfAsuna,"We're happy to be part of the SSD's Friends' List! The snapshot for Asuna holders will be on September 3rd! (Don't worry if your Asuna's are in Regeneration, we've got you covered!) https://t.co/MnhPhY1Dpl"
5,2022-08-27 22:05:17+00:00,LivesOfAsuna,@kinkverse We have not established an official collaboration with this project. Please DYOR.
6,2022-08-26 20:29:07+00:00,LivesOfAsuna,"@Yu_Gi_Yn @AsunasGiveaways @ireneyin2nft Congrats to the winners! Look out for a DM from us for your info!

Winners 🏆
• @SandyzMint
• @klauzerafin
• @omisonnn

✔️ 8n7eyt8e"
7,2022-08-25 18:06:40+00:00,LivesOfAsuna,"✨Lives of Asuna x  ¥u-Gi-¥n✨

We're giving away 3 WLs courtesy of @Yu_Gi_Yn! Who'll be the lucky one to see what's behind the door?

To enter:
1⃣ Follow Us, @Yu_Gi_Yn, @AsunasGiveaways &amp; @ireneyin2nft 
2⃣ ♥️ + RT
3⃣ Tag 3 friends

24hrs⏳ https://t.co/fGWexaYrWD"
8,2022-08-25 01:59:37+00:00,LivesOfAsuna,"RT @BrightAvian: Bears are cruel, bears are silent. At @LivesOfAsuna there's not only a team building continuously in the shadows but also…"
9,2022-08-24 19:49:43+00:00,LivesOfAsuna,"We're extremely excited to be a part of the biggest NFT-themed exhibition in Tokyo, Japan organized by @Yu_Gi_Yn in October! Thanks for the invitation!

Which Asunas do you think will be showcased there? https://t.co/vnZdi6OL1N"
10,2022-08-22 17:38:46+00:00,LivesOfAsuna,We're thrilled to be part of this wonderful event! https://t.co/EpgxlOpInk
11,2022-08-19 21:03:21+00:00,LivesOfAsuna,Check out the cool game our friends over at Killer GF have coming soon!🏃‍♀️ https://t.co/PSPpBXle3T
12,2022-08-14 18:49:24+00:00,LivesOfAsuna,"RT @SSDefendersNFT: Tribute Protocol 👾

Present Arms, Soldiers! 
Commander No. 67 is here and ready to fight! 🫡

Will the @LivesOfAsuna com…"
13,2022-08-05 01:33:25+00:00,LivesOfAsuna,Come join us at our spaces and find out more about @FiHPnft whom we will be working closely with! Also some WL opportunities!
14,2022-08-05 01:30:31+00:00,LivesOfAsuna,https://t.co/VPIbn5e1MD
15,2022-08-04 18:58:19+00:00,LivesOfAsuna,"Join us later tonight at 6:30pm PST for an AMA with @FiHPnft and find out why we're teaming with the team behind VVIP experience production at some of the largest music events in the world!

We'll hand out a few WL's as well to their next mint inside. https://t.co/zUILBD0SqZ"
16,2022-08-03 01:30:44+00:00,LivesOfAsuna,https://t.co/XEhNvyYjIc
17,2022-08-01 17:36:57+00:00,LivesOfAsuna,"Work in progress updates (outfit redesigns!), IRL Events, and Twitter Spaces tomorrow at 6:30pm PST.

https://t.co/0yuofL9zEQ"
18,2022-07-25 22:18:24+00:00,LivesOfAsuna,RT @freshroast_nft: @LivesOfAsuna @ZumiDraws More regen fun. Probably the closest I’ll get to a Morrigan x Asuna. Stoked for awakening &amp; mo…
19,2022-07-23 20:48:51+00:00,LivesOfAsuna,Lovely colors! https://t.co/BxSiTdvLvm
20,2022-07-18 17:20:33+00:00,LivesOfAsuna,All signed☺️ https://t.co/2My0Pq1IoQ
21,2022-07-10 23:42:35+00:00,LivesOfAsuna,@spedtron the wait will be worth it
22,2022-07-10 23:34:14+00:00,LivesOfAsuna,"RT @edwinter01: It's finally done my @LivesOfAsuna small fun project it's completed now it's time to move along with adult life
@ZumiDraws…"
23,2022-07-02 02:38:56+00:00,LivesOfAsuna,"Psst. Another front facing preview is inside this update.

https://t.co/47UUYPaeV3"
24,2022-07-01 00:23:25+00:00,LivesOfAsuna,"RT @MikeAbundo: Thanks to the @LivesOfAsuna regeneration process, my serious Asuna now looks more serious and my crazy Asuna now looks more…"
25,2022-06-28 17:23:47+00:00,LivesOfAsuna,"RT @71Mugi: Played a bit more with @LivesOfAsuna regeneration system, really fun and quite happy with the result 😁 https://t.co/zMhxW9dhk8"
26,2022-06-27 20:23:16+00:00,LivesOfAsuna,Getting ready for another update! Until then... here's a sneak peek of what we've been working on. https://t.co/YSwPM1ooju
27,2022-06-27 01:22:21+00:00,LivesOfAsuna,@PikaDinoZilla Absolutely cute!
28,2022-06-27 01:21:46+00:00,LivesOfAsuna,RT @PikaDinoZilla: I bought a second watcha guys think? @LivesOfAsuna Was planning to regen but this one looks too good as default . https:…
29,2022-06-24 21:13:30+00:00,LivesOfAsuna,RT @Noel0R: Market is down but i found happiness in regenerating (traits swapping) my lovelies @LivesOfAsuna 💕 Still not yet finalized thei…
30,2022-06-18 06:39:02+00:00,LivesOfAsuna,RT @LoveAngel_eth: Thank you so much @divasuriangel for helping me regen my Asuna's. I absolutely love my dragon and kitty @LivesOfAsuna ht…
31,2022-06-16 15:58:22+00:00,LivesOfAsuna,RT @kumatmo: An derivative #art inspired by #NFT project  @LivesOfAsuna and the #NFTCommunity. With the help of from the @Seven7hNight and…
32,2022-06-16 05:49:42+00:00,LivesOfAsuna,🐇👀 https://t.co/YxrKWkWfLv
33,2022-06-13 23:13:37+00:00,LivesOfAsuna,RT @71Mugi: Hear me out... @LivesOfAsuna allows you to customize your Asuna to create your ideal NFT with their regeneration! So as a One P…
34,2022-06-11 04:08:21+00:00,LivesOfAsuna,@irreverent_nft Lovely combinations!
35,2022-06-11 04:07:40+00:00,LivesOfAsuna,RT @irreverent_nft: Withdrew my first batch of regenerated @LivesOfAsuna!  Three of my early favorites and some work in progress!  The abil…
36,2022-06-10 05:43:23+00:00,LivesOfAsuna,"RT @bebraveadorn: Besides 2 of my pre regen asunas, welcome new members to join our blue team 💙💙💙💙🌊
can only post 4 pictures lol
@LivesOfAs…"
37,2022-06-07 17:25:08+00:00,LivesOfAsuna,"RT @raynorshine22: Meet Asuna Blue fresh out of regeneration.
@LivesOfAsuna #NFTJPN #NFT https://t.co/40Ra3TMsP6"
38,2022-06-06 22:20:32+00:00,LivesOfAsuna,"RT @Baronvonbuttsex: Just some customisation I've been doing with the @LivesOfAsuna  regenerator. All trait changes reflect onchain, very b…"
39,2022-06-06 07:12:17+00:00,LivesOfAsuna,@cryptofangboy Each variant gives off such a different feeling. Sometimes it's the little things that make a big difference!
40,2022-06-06 07:10:08+00:00,LivesOfAsuna,"@irreverent_nft @tinolth Look forward to her and everyone else's Asuna coming to ""life"" in more ways than that😉"
41,2022-06-06 07:00:14+00:00,LivesOfAsuna,@CUTLASSSSS 🔥
42,2022-06-05 17:47:05+00:00,LivesOfAsuna,"RT @tinolth: Please Call me 486 ! Finally I finished My twins Maid : 
❤Ramu &amp; Rem💙 ! Big thank you to our boss @irreverent_nft ! He gave me…"
43,2022-06-02 23:30:06+00:00,LivesOfAsuna,https://t.co/PVFo0cg3tN
44,2022-06-02 16:32:57+00:00,LivesOfAsuna,RT @BTCBob100k: Waifu is off to do the afternoon shift plz treat her well ser @LivesOfAsuna https://t.co/vGCa6PdWfo
45,2022-06-01 18:01:08+00:00,LivesOfAsuna,"RT @Fuyu_eth: Secured this babe on my trez, gotta keep waifus safe.  The details on this Legendary 1/1 @LivesOfAsuna are just unbelievable.…"
46,2022-06-01 03:28:13+00:00,LivesOfAsuna,RT @ToyaChibi: THANK YOU @LivesOfAsuna FOR THIS MAGICAL MOMENT!! I can't believe I won her from holding my Asunas😱😭 She's gonna keep me war…
