,Time,User,Tweet
0,2022-09-13 18:02:47+00:00,MekaVerse,"4 Factions, 4 different hoodies 🤖💥 
Choose your side! ⚔️🦾

Illustration made by @yamanakatomoro 🎨🤍 https://t.co/xZIO9aNfgj"
1,2022-09-12 18:08:42+00:00,MekaVerse,"💥 9.15.22 🌪
🔔 11 AM PT 🔔
Priority Access for Holders 🤍

→ https://t.co/4VRHBHwKSB 🤖 https://t.co/XivFNIC2lR"
2,2022-09-09 18:01:15+00:00,MekaVerse,Something is coming 💥👀🌪👕 https://t.co/2hmCCFPxqc
3,2022-09-07 18:10:47+00:00,MekaVerse,🗡💎👀 https://t.co/KUY7mmirOE
4,2022-08-25 11:35:50+00:00,MekaVerse,RT @AV0da: gm team! 🤜✨🤛 https://t.co/AdsJ9Uo5F5
5,2022-08-24 17:27:57+00:00,MekaVerse,"Today, the team behind @CoreGames and the MekaVerse team will discuss about our collaboration and  the new utility it will bring in the coming months! 🎮🚀🤝

🔔8 PM CET (11 AM PT) 🔔 

Join us on Discord and tune in 🤍
→ https://t.co/L5M8DHsm7A 🌐 https://t.co/lncZMueJAO"
6,2022-08-24 07:01:15+00:00,MekaVerse,@m1212v @CoreGames ⛓️🖤⚔️
7,2022-08-23 15:08:18+00:00,MekaVerse,"RT @JimmyHurryUP: Even on such cold and frosty days, he's there for me

#mekagang #mekadriver #MekaVerse @MekaVerse https://t.co/zhWnkCrvpp"
8,2022-08-18 18:40:33+00:00,MekaVerse,→ https://t.co/4VRHBHwd33 🔔🎮 https://t.co/LAssYvmqYn
9,2022-08-18 18:40:31+00:00,MekaVerse,"Concept Art WIP 🏡⚙️ 
The Meka-Citadel is a place of peace for every Faction from MekaVerse ✨

⚙️🛠️🌿 x @CoreGames 🎮 https://t.co/Hc1WOa1unN"
10,2022-08-15 18:17:18+00:00,MekaVerse,"The Meka-Citadel 🌐⚔️
 
Hang-out with friends, chat, play and discover a whole new MekaVerse in @CoreGames 🎮🤖
 
( work in progress⚙️🌿) https://t.co/4cPCmH2ubA"
11,2022-08-04 18:31:09+00:00,MekaVerse,"RT @i_am_hyperreal: 🚨 New Meka Art Alert! 🚨 

Super excited for @MekaVerse’s new roadmap and our partnership with @CoreGames. So I decided…"
12,2022-07-31 19:59:13+00:00,MekaVerse,"*𝘋𝘢𝘵𝘢-𝘳𝘦𝘤𝘦𝘱𝘵𝘪𝘰𝘯*

🌐__ Connection to the 𝙼𝙴𝙺𝙰-𝚂𝚃𝙰𝚃𝙸𝙾𝙽 __🌐 
📡__ Intercepted communication __📡
🗺️__ 𝚁𝙾𝙰𝙳𝙼𝙰𝙿-𝟸𝙺𝟸𝟸 discovered &amp; revealed __🗺️

 → https://t.co/sQ5X0p7kM7 🤖

*𝘌𝘯𝘥-𝘰𝘧-𝘵𝘳𝘢𝘯𝘴𝘮𝘪𝘴𝘴𝘪𝘰𝘯* https://t.co/jKoqmQXoSE"
13,2022-07-29 18:48:42+00:00,MekaVerse,"🌐🗺️ 2022 — NEW ROADMAP 🗺️🌐

→ https://t.co/sQ5X0p7kM7 🎮🚀

LET'S GO #MEKAGANG x @CoreGames! 🤍⚔️ https://t.co/1ujlgErbFB"
14,2022-07-28 18:19:09+00:00,MekaVerse,🌐 New Roadmap tomorrow 🗺️🤖🌐 https://t.co/HdUqPJQMAA
15,2022-07-26 17:23:03+00:00,MekaVerse,"🤫⚙️⚔️ x @CoreGames 🎮
Who is ready to drive their Meka? 🤖 https://t.co/NlADa2mcwI"
16,2022-07-21 17:30:30+00:00,MekaVerse,"RT @358nft: 🪐🌟Crazy, just swept this beautiful #Mekaverse piece ⚔️💜🤖, I'm looking for a #Mekabot to go along with this meka 🦾, but I think…"
17,2022-07-17 19:09:33+00:00,MekaVerse,RT @razichain: #NewNFTProfilePic NFT by @MekaVerse https://t.co/hXVdBNiGLz
18,2022-07-15 16:59:46+00:00,MekaVerse,RT @SantaMonicaNFT: picked up 2 new @MekaVerse this week 🦾 🤖 https://t.co/4MXyjSayRm
19,2022-07-14 17:32:05+00:00,MekaVerse,"RT @Bitcojner: @Mekaverse x #JamesWebb customization.

#nft #metaverse https://t.co/YJtNfNb2kt"
20,2022-07-12 16:09:04+00:00,MekaVerse,"RT @shabeereth: Dark Mode Mekas
by @0xKirbs 🤖🐈‍⬛ https://t.co/ipmrDeNctn"
21,2022-07-11 16:39:39+00:00,MekaVerse,"RT @Bitcojner: Where are the #mekaverse factions at? 

#nft #NFTCommunity #Mecha https://t.co/4XGgERz8J3"
22,2022-07-06 16:26:39+00:00,MekaVerse,"RT @m1212v: #MekaOfTheDay: Day 202

Meka #???? &amp; Mekabot #???? -  Fellow Driver customized his Meka and Mekabot for Dark Mode! Mekas look a…"
23,2022-07-05 16:36:38+00:00,MekaVerse,"RT @mech_dealer: I want rocket upgrades on my Meka8091 🚀🚀
@MekaVerse https://t.co/abqLPSR9wc"
24,2022-07-02 23:30:08+00:00,MekaVerse,"RT @ethkuan: Just got my favorite Mekabot#5977. Rank#13,Fishbowl.
It seems to match Horus.@MekaVerse 
#mekaverse #mekagang #mekabot #Mecha…"
25,2022-06-28 17:45:40+00:00,MekaVerse,"RT @kinhim1: Meka#2120, F9 RedKnight is building in Sandbox.👹
@MekaVerse @TheSandboxGame @ethkuan  
 #Sandbox #Mekaverse #mekagang #mecha #…"
26,2022-06-26 15:22:07+00:00,MekaVerse,RT @mysteriovision: 🫡 🥷🤖#mekagang 😎 bullish on @MekaVerse 🔥 https://t.co/r9hTF1YHz7
27,2022-06-24 16:51:29+00:00,MekaVerse,"RT @nftMECHS: #NewNFTProfilePic NFT by MekaVerse

I fucking finally did it. Last of my New Year goals ✅

As my name implies, love all thing…"
28,2022-06-23 17:32:40+00:00,MekaVerse,"RT @m1212v: #MekaOfTheDay: Day 188

Meka #7075 &amp; Mekabot #2347 - Updates and vibe for @MekaVerse have been absolutely Golden! Gaming incomi…"
29,2022-06-22 18:33:25+00:00,MekaVerse,"RT @SantaMonicaNFT: Lot of new #Mekaverse holders 
(🦾Welcome!🤖) 
Drop your meka or bot in the chain below ⛓👇 #MekaFollowMeka https://t.co/W…"
30,2022-06-21 17:51:22+00:00,MekaVerse,@CoreGames 🤖🤝🤍
31,2022-06-21 17:42:31+00:00,MekaVerse,"What's next? 🤖 

At the same time for @MekaVerse: a new website, the updated 2022 roadmap with many new features, and video teaser for what we're building with @CoreGames! 🌐🦾

LET'S GO #MEKAGANG! 🤍 https://t.co/hJeuN5UK9J"
32,2022-06-21 17:42:29+00:00,MekaVerse,"More details about the partnership will be posted on our Discord 🔥
→ https://t.co/4VRHBHwd33 🌐

Stay tuned 🔔 https://t.co/mNSOD1cLfI"
33,2022-06-21 17:42:24+00:00,MekaVerse,"What is the goal? 🕹️

Using Core, @MekaVerse will create a social and gaming hub unique to the community, where holders can see their Mekas in action with Lore experiences, mini-games, contests, quests, and much more! 🔥 https://t.co/l6QGx6FJe8"
34,2022-06-21 17:42:21+00:00,MekaVerse,"Today, Core integrated #web3 functionality. Users can now link their MetaMask wallets to access and engage with their #NFTs in Core. ✨

Utility Trailer: https://t.co/v8GaP51d76 ⚔️

That's where MekaVerse comes in, imagine the possibilities. 👀"
35,2022-06-21 17:42:20+00:00,MekaVerse,"Founded by industry veterans, @ManticoreGames built Core, a platform designed to democratize game development. 💎 🌐

The Core Metaverse is filled with countless games and experiences, created by a global community! 💫 https://t.co/9iBbnyLrvA"
36,2022-06-21 17:42:18+00:00,MekaVerse,"MekaVerse x @CoreGames 🎮 🌐 🤖

We're excited to announce that we're collaborating with @CoreGames to bring MekaVerse to life! ⚔️ 🚀

Find out what that means for our community: 🧵👇 https://t.co/kytRjTkBxl"
37,2022-06-20 19:40:16+00:00,MekaVerse,👀 🤖 ⚔️ https://t.co/zxtFk4AA0H
38,2022-06-19 19:16:48+00:00,MekaVerse,"Something new is coming!  🎮 ⚔️ 🌐

We've been quiet lately but we've been working hard on a brand new collab. GET READY!  🤖 🤍

What could it be? 👀 https://t.co/KvOdsfuctj"
39,2022-06-19 16:00:04+00:00,MekaVerse,🎮  +  🤖  =  💎 https://t.co/QtoanNWfB3
40,2022-06-16 01:05:50+00:00,MekaVerse,@BearzNFT 🤖🤝🐻
41,2022-06-08 17:02:47+00:00,MekaVerse,"RT @web3nycgallery: We are excited to announce another exhibiting #NFT partner!

The @MekaVerse is a collection of 8,888 generative Mekas.…"
42,2022-05-14 07:55:59+00:00,MekaVerse,"RT @mech_dealer: Stay strong in winter my fren @MekaVerse 
#cryptowinter 
#staystrong https://t.co/dDOvCIjPaH"
43,2022-05-13 17:22:09+00:00,MekaVerse,"RT @meka_bambi: @MekaVerse hologram structure 🥲🌐🤍

In partnership with @Uniwave_app at @urbanartfair 🔗 

#mekagang https://t.co/wUhinlkHrj"
44,2022-05-09 15:30:08+00:00,MekaVerse,"RT @m1212v: #MekaOfTheDay: Day 144

Meka #1607 &amp; Mekabot #892 - 🟠🔵 ! Not a Meka color you see everyday, very clean and with an awesome swor…"
45,2022-05-06 16:48:02+00:00,MekaVerse,"Website updated 🌐
The Mekas &amp; MekaBots Gallery is available! 🦾🤖

→ https://t.co/5lV78RHbjk

Admire Mekas and Mekabots in high quality, as they deserve🤍✨ https://t.co/cOTvHfkKCe"
46,2022-05-05 19:14:36+00:00,MekaVerse,@krakenfx 🤖🤝💜
47,2022-05-05 16:03:05+00:00,MekaVerse,Happy Cinco De Mayo! 🌶️💀🌵🎉 https://t.co/r3qbPFGK7B
48,2022-05-04 09:05:42+00:00,MekaVerse,"GM MekaFam ☕️

Unofficial AR Filter by @SantaMonicaNFT 🤖🤍 https://t.co/W3Ke8KCRSj"
49,2022-04-29 20:18:19+00:00,MekaVerse,"MekaVerse x @arcadedotinc 🎮🏝👾

Meka Drivers, get ready to play as a Meka in the #arcadeverse 🤖🌐 https://t.co/Bv7LPWDXjj"
50,2022-04-27 16:08:41+00:00,MekaVerse,RT @shabeereth: Water 🌀 Earth 🪨 Fire 🔥 Air ☁️ https://t.co/VbW4aFDLuB
51,2022-04-26 11:08:04+00:00,MekaVerse,"RT @m1212v: #MekaOfTheDay: Day 131

Meka #2738 Mekabot #6366 - Announcement of @MekaVerse and @Worldwide_WEB3. Neat fact, there are only 25…"
52,2022-04-25 20:34:29+00:00,MekaVerse,"RT @Worldwide_WEB3: Win one Meka🤖 

🌐Engage with this tweet
🌐Follow @Worldwide_WEB3 &amp; @MekaVerse 
🌐Tag some friends

All MekaVerse holders…"
53,2022-04-25 17:11:20+00:00,MekaVerse,@Worldwide_WEB3 🤖🤝🌐
54,2022-04-25 17:09:17+00:00,MekaVerse,"MekaVerse x @Worldwide_WEB3 🌐👾🕹
Coming soon. 🤖🤍 https://t.co/Mic39srETs"
55,2022-04-22 15:48:41+00:00,MekaVerse,"Happy Earth Day, #MekaGang ! 

🌍🦾💙🌱♥️ https://t.co/zGP0GWMNm1"
56,2022-04-20 19:26:39+00:00,MekaVerse,"Our companions are here too #mekabots 🤖💙

→ https://t.co/FLnSIE88oL 🌐💠 https://t.co/x8xeE4BP4G"
57,2022-04-20 19:26:37+00:00,MekaVerse,"@Coinbase_NFT 👀🔵💎💫

→ https://t.co/DwSIlHg04F 🌐🦋 https://t.co/7q2Lqu3PCV"
58,2022-04-20 12:14:32+00:00,MekaVerse,@m1212v 💛💛
59,2022-04-17 18:13:14+00:00,MekaVerse,Happy Easter #MEKAGANG 💚🐰🌼🤍 https://t.co/fQESiEMfu9
60,2022-04-15 14:14:20+00:00,MekaVerse,"RT @m1212v: #MekaOfTheDay: Day 119

Meka #1922 &amp; Mekabot #5961 - Huge announcement by the team today! Project: Aura, A New World! The gears…"
61,2022-04-12 18:10:37+00:00,MekaVerse,"RT @ethkuan: You jump,I jump.
@MekaVerse #mekagang https://t.co/r9cz2Ue4FN"
62,2022-04-11 10:47:21+00:00,MekaVerse,"RT @MekaBoy4: Black Angle and Space Eye.
The black angel inherited his father's strength and his mother's beauty.IF the war broke out, I wi…"
63,2022-04-10 18:51:58+00:00,MekaVerse,"Play on our discord server for a chance to win 1 rare Meka from each faction, 1 MekaBot or 1 high quality poster! 🤖🎱🍀 

More info on our New Discord ✨
→ https://t.co/4VRHBHwd33 🌐

Open to everyone! 🤍 #MEKAGANG 🤖 https://t.co/DPgxtwda2R"
64,2022-04-10 18:51:57+00:00,MekaVerse,"🚨 Only one day left to participate in our event ""MEKABOTS ORIGINS"" on our discord! 🤖🌟🛠 https://t.co/4uU8Okd88E"
65,2022-04-08 04:36:58+00:00,MekaVerse,"RT @MekaNFT_s: Hey #MEKAGANG lets start a #MekaFollowMeka.
Show your @MekaVerse or #MekaBots and lets follow each other. 🤖 https://t.co/x1F…"
66,2022-04-07 16:04:12+00:00,MekaVerse,"✨ Meka Backgrounds is updated! ✨

New background available on the website in order to best match your companion! 🤍🚀

Show us your best combination between your Meka and your MekaBot!🤖🔥

Customize your Meka now:
→ https://t.co/3dUWawk2KZ 🌐 https://t.co/PvIpna6bII"
67,2022-04-06 16:26:29+00:00,MekaVerse,"Amazing illustration by @mech_dealer 🤍
Lore by @WoogieMan33 &amp; @Azurerah 📜
Event open for 5 days! 🗓

Participate in the event on the discord &amp; cross your fingers🤞
Try to win Meka #708 / #7995 / #2091 / #8534 🤖 
&amp; Mekabot #6156 / #6204 / #6164 / #6193 ⚙️"
68,2022-04-06 16:10:37+00:00,MekaVerse,"The event ""Mekabots Origins"" has started on our Discord server! 🌟🛠

May the odds be in your favor as you compete for a chance to win 1 rare Meka from each faction or 1 MekaBot. 🎱🍀 

Open to everyone! 👑

More info on our new Discord ✨
→ https://t.co/4VRHBHwKSB 🌐 https://t.co/UtQMkMjGbT"
69,2022-04-06 11:17:10+00:00,MekaVerse,@9x9x9eth @shabeereth Welcome 🤖🤍
70,2022-04-06 08:40:52+00:00,MekaVerse,"RT @SantaMonicaNFT: #NewNFTProfilePic NFT by #MekaVerse 🖤⚜️🖤⚜️
Black &amp; Gold Gadian #2577 https://t.co/ixFlXaVNZ5"
71,2022-04-05 12:26:32+00:00,MekaVerse,@Big_city_bright fake accounts 📌
72,2022-04-03 20:00:35+00:00,MekaVerse,"IT’S STILL THE TIME TO CLAIM YOUR MEKABOTS!! 🐠🕷️🧿

→ https://t.co/KZ08UtbNNj 🌐

Share the face of your precious companion with #MYMEKABOT 🤖
LOVE #MEKAGANG 🤍 https://t.co/Hfy9x39EP8"
73,2022-04-02 05:15:12+00:00,MekaVerse,"RT @m1212v: #MekaOfTheDay: Day 106

Meka #795 &amp; Mekabot #5659 - A deadly combo in yellow. A rare all yellow Meka. Mekabots are good fun wit…"
74,2022-03-29 15:26:28+00:00,MekaVerse,"RT @Fung95326649: @MekaVerse Lantern &amp; Rabbit
#NAMEYOURMEKABOTS https://t.co/9LYMqfV24e"
75,2022-03-29 11:50:04+00:00,MekaVerse,@wyzyyds2 ❤️🤖
76,2022-03-29 11:45:13+00:00,MekaVerse,"REMINDER 👀

You can claim your MekaBot until the 3rd of April 🤖🗓️

→ https://t.co/7lH7rEfdYs ← 

LOVE #MEKAGANG 🌐🤍"
