,Time,User,Tweet
0,2022-09-03 00:03:40+00:00,MFTMKKUS,"Airdrop of GEISAI #21 Commemorative NFTs in the coming days.

Two types of eligible recipients.
・Those who visited the GEISAI #21 event in person and completed the necessary registration steps.
・The holders of https://t.co/eKAPscMqR0 NFTs as of September 4, 2022 11:59 pm GMT. https://t.co/X2g3H3xt3w"
1,2022-08-31 00:10:09+00:00,MFTMKKUS,We have sent the notification on minting process to the winners of the Murakami Lucky Cat Coin Banks lottery. Please use your MetaMask address to mint. https://t.co/EBcjZAzfqG
2,2022-08-24 01:24:53+00:00,MFTMKKUS,We sincerely appreciate your patience. Please stay tuned for the official announcement of the winners. https://t.co/QeT6K6CImg
3,2022-08-24 01:24:11+00:00,MFTMKKUS,"Due to a large number of applications for the Murakami Lucky Cat Coin Bank, it is taking more time than expected to process all information.
Our original plan was to announce the winners today, but the announcement will be delayed by a few days. https://t.co/SDUDiTV32N"
4,2022-08-17 23:09:21+00:00,MFTMKKUS,"If we confirm that acts aimed at resale have taken place, we may cancel the distribution of NFTs on the spot at our sole discretion. Please do not commit fraudulent acts for the sake of those who are looking forward to the event.  🙇‍♂️"
5,2022-08-17 23:09:02+00:00,MFTMKKUS,"Note:
*Measures will be taken to prevent duplicate distribution for resale, etc. We will distribute only to those who agree to such measures.
*If you interfere with the progress of the event, for example by yelling, you must leave the venue and you will not receive any NFT."
6,2022-08-17 23:08:47+00:00,MFTMKKUS,"-You must have a Twitter account opened before 7/20/2022
-You must follow https://t.co/eKAPscMqR0 Official account (@MFTMKKUS) and GEISAI Official account (@GEISAI_Official)
*Limited to one Commemorative NFT per person.
*Registration will close at 5pm, when GEISAI #21 closes."
7,2022-08-17 23:08:21+00:00,MFTMKKUS,"Please read the following notes carefully.
To register for GEISAI Commemorative NFT, the following conditions must be met.
Please prepare in advance."
8,2022-08-17 20:43:32+00:00,MFTMKKUS,"GEISAI #21 is coming up on August 21 at Tokyo Big Sight, South Hall 1 and we’ll be distributing commemorative NFTs on site. This event is for discovering young artists, so hoping to attract a lot of young creative types, we've sidled up to the latest cultural situation. 🙇‍♂️ https://t.co/s3TMnF96Qp"
9,2022-08-17 07:33:23+00:00,MFTMKKUS,https://t.co/HPxkANqm3V
10,2022-08-17 07:21:04+00:00,MFTMKKUS,https://t.co/pbSvHWkwOj
11,2022-08-15 22:36:32+00:00,MFTMKKUS,"We have closed the Premint registration for the Murakami Lucky Cat Coin Banks lottery.
The winners will be announced and the minting will start at August 24, 2022 at 00:00 (GMT).
Those of you who registered, please stand by for our further posts and communication. https://t.co/AXE4qauxSq"
12,2022-08-13 12:45:40+00:00,MFTMKKUS,"In just one week! GEISAI 2022 will take place on 8/21 (Sun) at Tokyo Big Sight.
We are distributing free commemorative NFTs on site.
The dot artwork has been created following the scenario outlined on the M.F Roadmap.
On-site procedure to follow in the coming days. https://t.co/tLdIXKLSLe"
13,2022-08-11 10:07:51+00:00,MFTMKKUS,"Great human move!
Fantastic!
Ebata Walk ft Running (江畑 諒真) MAD https://t.co/TSB5dscBDa @YouTubeより"
14,2022-08-11 02:36:51+00:00,MFTMKKUS,"To get GEISAI 2022 commemorative NFTs, start by visiting the event venue on the day. There will be QR codes on site for the NFT airdrop.
We'll be using PreMint  for the distribution so we recommend that you familiarize yourselves with the service along with MetaMask in advance. https://t.co/4Psumy26TG"
15,2022-08-11 02:35:04+00:00,MFTMKKUS,"Distributing free NFTs at GEISAI 2022! 11,664 NFTs come in 108 numbers on 108 background colors. As noted in the Roadmap, GEISAI is an artist incubation event started in 2002. The 21st event will be on 8/21 (Sun) at Tokyo Big Sight and we are issuing the NFTs to commemorate it. https://t.co/6RpwFyABuE"
16,2022-08-08 23:10:30+00:00,MFTMKKUS,"We created a cookie workshop and made it by hand there, one by one. https://t.co/ivlY5q3Gq3"
17,2022-08-08 23:08:36+00:00,MFTMKKUS,Tonari no Kaika_do https://t.co/5ahmX56fYN
