,Time,User,Tweet
0,2022-09-13 07:37:57+00:00,MuriNFT,Representing ナイトシティ .. Yabai! https://t.co/CB0XLsNwWd
1,2022-09-07 14:21:32+00:00,MuriNFT,[ quest loaded .. ] [ Projectile found ] https://t.co/7Ra2Z1jlg7
2,2022-09-06 23:49:07+00:00,MuriNFT,Asobu Gun Club やばい .. https://t.co/LqanKkrQGQ
3,2022-09-06 15:45:17+00:00,MuriNFT,"お見逃しなく .. 

[ 🔨 Initializing quest .. ] https://t.co/p7fAIFs8x1"
4,2022-08-31 10:30:59+00:00,MuriNFT,In which districts are your Muri's residing .. give us a peak. https://t.co/XKDk4for5E
5,2022-08-31 07:41:47+00:00,MuriNFT,"夜の街を探検する .. see where your journey in Night City will begin with the new, interactive map that reveals the locations of your land plots.

( https://t.co/mLngZuR8ZH )"
6,2022-08-26 20:26:01+00:00,MuriNFT,コンフィデンシャル https://t.co/JfFXyXt0iW
7,2022-08-25 06:38:51+00:00,MuriNFT,"Claim your Asobu Gun Club shirt! 

Order window will end in one month, we ship globally and cover all sizes. 夜の街へようこそ.

https://t.co/50BYxDaWuG https://t.co/ZasHHc5dKK"
8,2022-08-20 13:22:47+00:00,MuriNFT,@jpgWamz @acrocalypseNFT ナイトシティへようこそ! Yabai.
9,2022-08-18 11:08:05+00:00,MuriNFT,ナイトシティが待っている.  シーズン2. https://t.co/slRtgDcwAl
10,2022-08-17 08:37:01+00:00,MuriNFT,"[ ナイトシティの正体を身にまとう] 
今月中に引き換えを"
11,2022-08-16 19:44:16+00:00,MuriNFT,@James_Adams32 We are watching you. 私たちはここにいた
12,2022-08-16 19:43:03+00:00,MuriNFT,@ait_yan why is there blood bleeding out of his eye ..
13,2022-08-16 15:47:25+00:00,MuriNFT,"@timoteamonft .. this one is perfect, he might be heading to asobu.."
14,2022-08-16 15:44:53+00:00,MuriNFT,@midrange166 .. パーフェクト
15,2022-08-16 15:09:27+00:00,MuriNFT,@Zeikan_1887 変身する準備はできていますか？
16,2022-08-16 14:55:38+00:00,MuriNFT,@CryptoGray_ gray needs an own clan in NCY..  シャドウズ
17,2022-08-16 14:50:05+00:00,MuriNFT,@Zeikan_1887 ... what does that red flash tattoo mean .. 魔王族
18,2022-08-16 13:05:17+00:00,MuriNFT,@Bcnstrpz .. looks like he fits in Asobu!
19,2022-08-16 13:04:42+00:00,MuriNFT,@iTK_nft the whole squad is ready.
20,2022-08-16 13:04:18+00:00,MuriNFT,@NFTCrazyKRC are we getting pilots in season two? .. let's see
21,2022-08-16 10:30:42+00:00,MuriNFT,"[ シーズン2 ]

Our season two is approaching and we're happy to announce that we will include some of your characters in the new story. Do you think your MURI is fit to play a part? 

Tweet your MURI alongside a self-written short story, tag us and use #ncyseasontwo. やばい. https://t.co/jCZSecO4s9"
22,2022-07-26 17:08:35+00:00,MuriNFT,"The new V2 is now up - refresh your metadata and enjoy the second version of your beautiful character! 

Yabai!"
23,2022-07-15 07:14:55+00:00,MuriNFT,@midrange166 better be secured .. you don't know whats happening in NCY. Yabai!
24,2022-07-14 14:09:59+00:00,MuriNFT,@marv_sun @hausconnect gmuri.. yabai!
25,2022-07-13 16:27:33+00:00,MuriNFT,@fuckenchynfts .. oni &lt;3
26,2022-07-13 16:27:09+00:00,MuriNFT,@Gitster14 Thank you Gitster! The community should be proud of themselves.
27,2022-07-13 16:26:16+00:00,MuriNFT,@timoteamonft That's good to hear - let's not stop yet and keep pushing.
28,2022-07-13 16:23:49+00:00,MuriNFT,@Yutha25 .. the shining light coming to night city ..
29,2022-07-13 16:21:15+00:00,MuriNFT,"[ ! ] Dear Residents,
we've just released the new reworked V2 versions in our discord. Please let us know your feedback.. we're very proud of what we've changed already and pleased to correct it so everyone is happy. Yabai!"
30,2022-06-30 18:04:38+00:00,MuriNFT,[ ! ] .. so did someone spot the map and details .. what district is yours?
31,2022-06-29 10:19:16+00:00,MuriNFT,"[ ! ] Blinded is now out - Enjoy. Yabai!

https://t.co/1pkdCIMBTs"
32,2022-06-11 13:20:27+00:00,MuriNFT,[ ! ] Time for a new song .. Yabai!
33,2022-06-08 09:18:07+00:00,MuriNFT,"[ Attention Residents ] 
While waiting for the trainer arrive, should we run a little competition?

Don't we all love challenges - Yabai!"
34,2022-05-16 20:53:42+00:00,MuriNFT,"[ ! ] Manga is ready .. with 45 pages full of content about Night City, the untold stories. 

Are you ready? Yabai! やばい"
35,2022-05-16 13:52:18+00:00,MuriNFT,"[ ! ] Wait till you see the map for Night City … not your average metaverse. 

Which City will you land in, only time will tell."
36,2022-05-16 08:09:26+00:00,MuriNFT,"[ ! ] Attention Residents 

To celebrate the Night City land airdrop, we will give away a 3 plots of land to those who missed out.  

To enter: 
- Retweet &amp; Like the tweet above 
- Post your wallet / ENS

Winner announced in 24 Hours, good luck. Yabai! やばい"
37,2022-05-16 06:09:46+00:00,MuriNFT,"[ ! ] Final call for departure to Night City. The train will be leaving for NC-Airport shortly. 

.. btw - check your wallet .. Yabai! https://t.co/kUufTnxaOw"
