,Time,User,Tweet
0,2022-09-12 23:04:44+00:00,MyCurioCards,"It's nearly time for the Merge.

We're reminded of our first slogan, as told to us by @travisformayor:

""Curio Cards are always mint condition.""

Have fun. Do nothing. Your Cards are safe.

See you on the other side ✨ https://t.co/IggCQtDheT"
1,2022-09-12 04:48:59+00:00,MyCurioCards,"RT @TheNorwegianNFT: An Investor's Guide to Curio Cards 🧵 

- Why @MyCurioCards is one of the most significant collections on Ethereum

- H…"
2,2022-09-09 11:55:42+00:00,MyCurioCards,"And here it is: the complete history of Cryptopop — @helloluis, Curio Cards artist of 17–19 (and 17b!).

Featuring the Philippines, dog-drawing love, and cartooned cult heroes ✨

✍️: @OCRipley @Crypto_Lurker01 @InferenceActive 

https://t.co/ezP7wqCj4S"
3,2022-09-08 15:23:08+00:00,MyCurioCards,RT @0xAIArt: We’re happy to announce that we are re-creating the first art NFTs on Ethereum! Exclusively through the power of DALL·E 2 AI💫…
4,2022-09-05 16:17:08+00:00,MyCurioCards,"A handful of Curio Cards are up for grabs, thanks to one of our Cardholders!✨

Check out below for a chance to win 👇 https://t.co/5FVcgfSyMQ"
5,2022-09-02 18:56:14+00:00,MyCurioCards,art
6,2022-08-30 14:42:08+00:00,MyCurioCards,RT @nytimes: This mint condition Mickey Mantle baseball card from 1952 just sold for $12.6 million — the most valuable piece of sports memo…
7,2022-08-29 01:02:52+00:00,MyCurioCards,"RT @mooncatrescue: Now available to any MoonCat~

The official #MoonCats &lt;&gt; @MyCurioCards collab accessory has limited quantity remaining.…"
8,2022-08-25 06:43:28+00:00,MyCurioCards,"RT @maximusmaximus: 👀 New! Here's such an awesome interview about fellow @MyCurioCards artist @helloluis. 

https://t.co/gpa4fjsGvJ

➡ Luis…"
9,2022-08-22 19:01:57+00:00,MyCurioCards,"Curio Cards artist of 24–26 is @InferenceActive, also known as Daniel Friedman ✨
 
Discover his story and the origin of his cards in our new DAO article: https://t.co/cLxu1oxmiH 

✍️: @OCRipley, @g0barry &amp; @Crypto_Lurker01 

Collectable @viamirror!"
10,2022-08-21 19:21:23+00:00,MyCurioCards,"RT @shukudaidayo: Attention all @MyCurioCards holders and fans:

I'm happy to announce that CCSupply has come alive as https://t.co/vFbLQYZ…"
11,2022-08-20 01:25:38+00:00,MyCurioCards,"RT @etheria_feed: With an extra year of new knowledge and better understanding of myriad technical minutiae, I've been able to update the O…"
12,2022-08-17 15:29:21+00:00,MyCurioCards,RT @alphaoptics_: LFG. Grail secured. @MyCurioCards https://t.co/sPiRRKNLic
13,2022-08-09 23:05:40+00:00,MyCurioCards,RT @OCRipley: I made this list of @MyCurioCards firsts in the context of the updated historical NFT space. Hopefully it's a useful summary…
14,2022-08-05 18:51:48+00:00,MyCurioCards,"The NFT Art and Decentralized Science Panel Discussion is starting in 10 minutes! Come and ask your questions in the live chat 🔎✨ 

https://t.co/kuvMjYsIXr"
15,2022-08-04 19:06:21+00:00,MyCurioCards,"Where will art and science go with the technology of NFTs? ✨

Chat with experts across art, systems design, education &amp; research about it! 🔬🎨

Join @InferenceActive, @opscientia, @thesciverse this Friday (or Saturday)!👇

https://t.co/AadKC7Q1Ll"
16,2022-07-28 10:48:58+00:00,MyCurioCards,@ponderware @jakegallen_ 💖
17,2022-07-27 18:21:52+00:00,MyCurioCards,"@OCRipley @Crypto_Lurker01 @CBeruete @InferenceActive If you enjoy this article, collect it @viamirror! 

It helps spread the word about Curio Cards. 

https://t.co/pbTwdZN16V"
18,2022-07-27 18:20:18+00:00,MyCurioCards,"Every Card is part of a special smaller set ✨ Find out why, what they mean, and the gems in between that make the first art NFTs on ETH so memorable ✨⏳ #curiocards

✍️ @OCRipley @Crypto_Lurker01 @CBeruete  @InferenceActive 

https://t.co/Togd6gMoQ3"
19,2022-07-27 15:28:36+00:00,MyCurioCards,"I told the doctor I felt like a deck of playing cards...
He said he’d deal with me later.  

Excited to share our Curio Cards themed condo in @ponderware's new project, @condo_mini! 🏡 Learn more about the mint below! https://t.co/onk2hSpjFP"
20,2022-07-26 16:06:20+00:00,MyCurioCards,"RT @LeonidasNFT: Just picked up a pair of XN--CARDs, the first card out of the @Punycodes2011 Factory with a supply of 40.

The artist @0xT…"
21,2022-07-22 18:17:58+00:00,MyCurioCards,Calling all giveaway participants! 🍎✨ Join members of our DAO and Punycodes as we talk about the XN--CARD Apples Remix and announce the giveaway winners on Monday! ✨ https://t.co/6vWdAf6jT6
22,2022-07-21 18:23:19+00:00,MyCurioCards,"Another awesome interview by @jakegallen_, this time with Curio Cards artist Daniel Friedman (@InferenceActive)! Daniel talks about his art, ants, Decentralized Science 🧐 and the ""online art show"" that got him into NFT history museums ✨

Check it out!👇 https://t.co/o04E0g82mE"
23,2022-07-19 19:00:20+00:00,MyCurioCards,"@Punycodes2011 @0xTwicer To enter, like &amp; retweet this thread, follow both projects &amp; say hi in each Discord ✨

https://t.co/CW9hRUi96g &amp; https://t.co/PJCJotf5ue   

These XN--CARD mints are the first out of the Puny Factory✨ 

1 goes to OG artist @phneep, the rest to @0xTwicer and both projects' DAOs."
24,2022-07-19 19:00:03+00:00,MyCurioCards,"It’s time for an iconic collaboration &amp; giveaway!✨🍎 

Together with historical project @Punycodes2011, we're happy to present this incredible ASCII-art Apples Remix created by @0xTwicer.

https://t.co/pvNQGSQ7Lz 

Only 40 exist, and 1 of 3 could be yours! 

See how below👇"
25,2022-07-15 05:58:56+00:00,MyCurioCards,"Collectors, you can now add the Curio Cards badge to your profile on @0xDecaArt! Happy curating! 🟥 🟪 🟩 ⬛ https://t.co/5vpbpXENIJ"
26,2022-07-15 04:10:34+00:00,MyCurioCards,@OniesGuy @poapxyz @TopDogStudios_ I see what you did there
27,2022-07-12 06:17:18+00:00,MyCurioCards,@shukudaidayo I am small but nimble 😀
28,2022-07-12 00:23:20+00:00,MyCurioCards,"This is for the technical raccoons out there, a community built tool to track really old Curio Card holders, known as zombie wallets! Thanks @shukudaidayo ✨✨

Check it out, @shukudaidayo is asking for feedback! https://t.co/Ec5pTJMwE0"
29,2022-07-12 00:18:22+00:00,MyCurioCards,"RT @shukudaidayo: Unlike most NFT projects, Curio Cards was created before the ERC721 standard was defined. 

Combined with the fact that m…"
30,2022-07-08 15:13:39+00:00,MyCurioCards,"@maximusmaximus @g0barry @viamirror This piece was created by the Curio DAO Writers' Guild ✨ Thanks to @OCRipley, @Crypto_Lurker01 &amp; @CBeruete

If you want to support our guild, collect it on Mirror. It helps our DAO bring Curio Cards stories to light 🎉"
31,2022-07-08 15:13:02+00:00,MyCurioCards,"From collective to collected 🎉 

Here's the story of Marisol Vengas, artist of 27–29, aka master of social engagement art @maximusmaximus.

Thanks @g0barry  for co-✍️, and supplying material from a secret interview 😎

Available on @viamirror: https://t.co/32FQDCGoMf"
32,2022-07-07 11:49:35+00:00,MyCurioCards,@MayorOfMatic @jakegallen_ @mooncatrescue You must have held a Mooncat and any wrapped Curio Card at the time of the snapshot 👍
33,2022-07-07 11:46:35+00:00,MyCurioCards,@crypto4nft @mooncatrescue Exquisite ✨
34,2022-07-07 00:06:08+00:00,MyCurioCards,Have a #CurioCard and a @mooncatrescue? Claim your free collab Apple accessory before they run out! ✨✨🦝🍎😻 https://t.co/H5TBg0yvjP
35,2022-07-06 23:55:33+00:00,MyCurioCards,"RT @heavyycoin: The limited drop is live!! Claim the Curio Card #1 accessory with your favorite mooncat rn

#historicnft #vintagenft #nftco…"
36,2022-07-06 23:55:25+00:00,MyCurioCards,"RT @0x_meow: Both MoonCats &amp; Curios are classy vintage #NFTs and comfy sitting in many longterm collectors' portfolios. 

@mooncatrescue🤝 @…"
37,2022-07-06 23:55:15+00:00,MyCurioCards,RT @jakegallen_: The new @MyCurioCards x @mooncatrescue collab is 🔥 https://t.co/VSWcq05lI9
38,2022-07-06 10:00:14+00:00,MyCurioCards,"RT @jakegallen_: Love the Historical NFT community camaraderie that's grown over the last few months

 @MyCurioCards  x @mooncatrescue http…"
39,2022-06-30 00:03:43+00:00,MyCurioCards,"RT @mooncatrescue: Join #MoonCats and @MyCurioCards this Friday for a #VintageNFTs chat!

We'll spill details on an exclusive new collab ac…"
40,2022-06-29 15:08:17+00:00,MyCurioCards,Set your reminders for a real treat 🍎✨ https://t.co/YMjzW0AUHc
41,2022-06-24 03:34:15+00:00,MyCurioCards,"Curio Cards on-chain data is now cleanly tracked and accessible via the @graphprotocol! ✨

Here's what you need to know, in a recap of our Twitter Space with @graphrica founders @ktfou and Richie: https://t.co/7OKQsroRQ8 

✍️: @OCRipley , @CBeruete &amp; @Crypto_Lurker01"
42,2022-06-22 05:16:50+00:00,MyCurioCards,What a year for the cards. Thank you @opensea for the recognition! 💛 ✨ https://t.co/bVrDurgH9e
43,2022-06-22 05:14:07+00:00,MyCurioCards,@opensea What a year! 🎨✨
44,2022-06-22 05:05:29+00:00,MyCurioCards,RT @adamamcbride: Hanging with Curio Card legends @robek_world and @maximusmaximus at #NFTNYC https://t.co/pSW558TWwB
45,2022-06-22 05:03:23+00:00,MyCurioCards,RT @maximusmaximus: A rare occurrence has occurred! @MyCurioCards artists have met in person. 👀 It was truly an honor to meet @InferenceAct…
46,2022-06-19 05:51:40+00:00,MyCurioCards,"I can see @maximusmaximus' ""Pink"" and ""Blue"", and all the @InferenceActive cards in there✨🖥️ https://t.co/8Y8IP3i3sg"
47,2022-06-19 01:15:18+00:00,MyCurioCards,"RT @travisformayor: Wow, amazing find! I didn’t think this clip (I think from Jan 2018) existed! @MyCurioCards This was at the first RareAF…"
48,2022-06-16 16:56:29+00:00,MyCurioCards,"The love is mutual, @jakegallen_ 🍎

In case you missed it, check out this awesome conversation with 

@maximusmaximus, our OG of OGs artist 👇 https://t.co/kCVXdB79ts"
49,2022-06-15 11:19:01+00:00,MyCurioCards,RT @adamamcbride: Another fantastic clip where Matt realizes @MyCurioCards came before CryptoPunks. That’s @travisformayor asking the quest…
50,2022-06-13 17:26:14+00:00,MyCurioCards,Ups and downs come and go. But history's here to stay. https://t.co/fxDTE46Z3X
51,2022-06-12 10:38:08+00:00,MyCurioCards,"Written and edited by Curio DAO members @OCRipley, @Crypto_Lurker01 and @CBeruete✨"
52,2022-06-12 10:31:59+00:00,MyCurioCards,"Hey frens, heard about our Writers' Guild? Their new article is now live! 😎

To celebrate Web3, this piece marks their first entry on @viamirror, a Web3-native writing platform. Read and own the NFT here: https://t.co/9addook7T3 

Also, on Medium: https://t.co/2DsArIYWkV"
53,2022-06-10 19:48:22+00:00,MyCurioCards,RT @ktfou: This space is going to be amazing!❤️‍🔥 CurioCards are more than just #NFTs - a decentralized community at it's finest 🥇
54,2022-06-10 18:58:14+00:00,MyCurioCards,Starting now! https://t.co/rMW5mzlnnC
55,2022-06-08 01:40:03+00:00,MyCurioCards,"Super excited for our upcoming Space with @Graphrica ❤️! Learn more about #CurioCards and how @GraphProtocol and @Graphrica help NFT projects grow!✨✨🚀

https://t.co/rMW5mzlnnC #GraphDay2022"
56,2022-06-06 12:08:35+00:00,MyCurioCards,"Telling stories is an art form we love 💖 From the first 10 Cards, to all across the NFT landscape. Let's tell more ✨🎨 https://t.co/qZfBf2nnGL"
57,2022-06-04 07:05:55+00:00,MyCurioCards,@thisisfrisk https://t.co/Wv88Tto9zU
58,2022-05-27 11:05:49+00:00,MyCurioCards,"Historically significant NFTs = artifacts in metaverse  🌐  👓  

Discover more about pre-metaverse art and the culture it's shaping ✨  

All in our latest Curio DAO article: https://t.co/GSVQ8n8XiL 

✍️:  @OCRipley , @Crypto_Lurker01 , @InferenceActive  &amp; @CBeruete"
59,2022-05-27 10:34:48+00:00,MyCurioCards,"RT @VegasGuyNFT: I love degen buying just as much as the next person (yes I have a Goblin, etc), but when all eyes are elsewhere I sometime…"
60,2022-05-24 10:50:49+00:00,MyCurioCards,"New Ganymede is @themetakey's new free-to-play virtual game, launched on May 1. Players can use their Metakrew NFT as their PFP in-game, and one of four Metakeys to gain access to premium rewards.

Discover more in the Metakey discord: https://t.co/aiTjwgaK9W"
61,2022-05-24 10:49:59+00:00,MyCurioCards,"Thanks @themetakey for hosting our fifth-anniversary party on your Decentraland roof 😎 This is for you: a #FutureCard, with an animated Curio Cards x Metakey artwork! 

It depicts a New Ganymede character finding the relic, Card 10. Credit goes to @wiv_ian  &amp; @Aegiuscreator✨ https://t.co/AqhasBcZmP"
62,2022-05-24 10:05:43+00:00,MyCurioCards,@sebdigitalst @cryptograffiti Legendary ✨
63,2022-05-19 23:28:34+00:00,MyCurioCards,"With the new Curio Cards GraphAPI (@graphprotocol), card 17b is now on the https://t.co/tAtf3gStTL gallery ❤️

Fun fact: 17b is the only mistakenly duplicate card, and it's also about a fork (duplication) of Bitcoin!
https://t.co/bFMllaqMkp https://t.co/wgvjIALeW9"
64,2022-05-19 12:20:42+00:00,MyCurioCards,Wishing a rad time to all our frens at Veecon this weekend. Let us know if you spot any Curio cardholders in the wild #Veecon  @garyvee https://t.co/18SbencYu2
65,2022-05-15 21:05:26+00:00,MyCurioCards,RT @niftyuniverse: Incredible work is being done at the Arctic World Archive to permanently preserve @MyCurioCards and other #HistoricalNFT…
66,2022-05-14 19:45:23+00:00,MyCurioCards,"@poapxyz @TopDogStudios_ The ☃️Snowy Curio🦝 POAP artwork was created by the amazing artist @SamanaYogi, thank you! ✨✨❤️"
67,2022-05-14 18:39:56+00:00,MyCurioCards,"Curio Cards’ history and art was sealed for 1000+ years in the Non-Fungible Vault at the Arctic World Archive! Ever hold a Card before the snapshot? You are in the vault and eligible for the Snowy Curio @POAPxyz! ✨🎁 @TopDogStudios_ 

To claim, read:
https://t.co/r5nfZkF2n2"
68,2022-05-14 18:39:09+00:00,MyCurioCards,"RT @BossBeautiesNFT: Making history again! 🎉
All 10k BBs have been chosen to be permanently archived for the next 1000 years in the Arctic…"
69,2022-05-14 18:38:25+00:00,MyCurioCards,"RT @Janni94466138: Curio Cards, the historical NFT are stored inside Arctic World Archive in Svalbard into Eternity. If you ever held a car…"
70,2022-05-14 18:38:16+00:00,MyCurioCards,"RT @DavidBaeza: This is so rad @MyCurioCards! On March 9, 2022, a snapshot of all Curio Cards provenance data was taken."" My card, #17, is…"
71,2022-05-13 22:58:11+00:00,MyCurioCards,"RT @Jon_HQ: 🚨🚨🚨 Major Phishing Alert 🚨🚨🚨

The attack currently live against @etherscan @DEXToolsApp @coingecko and more is due to the use o…"
72,2022-05-13 07:46:11+00:00,MyCurioCards,"Our story started way back in 2017 when we made our first digital collectibles. Today, you might know these as NFTs. 

We continue to celebrate our rediscovery, forever interpreting our art through new, curious eyes ✨ https://t.co/OG8uChH22n"
73,2022-05-13 04:53:40+00:00,MyCurioCards,https://t.co/g1O7ctsOIB https://t.co/KBuNJjpvHB
74,2022-05-10 04:46:43+00:00,MyCurioCards,Thanks to @maximusmaximus for the birthday art!
75,2022-05-10 04:26:36+00:00,MyCurioCards,"Happy 5th Birthday Curio Cards Community 🎂 Best wishes, and here is to another great year ✨✨❤️💕❤️ https://t.co/8715tg3r3v"
76,2022-05-09 21:02:25+00:00,MyCurioCards,RT @nftnow: Join us today at 6:30pm ET for our weekly ‘NFT History’ Twitter Space as we discuss the 5 year anniversary of 2017 project @MyC…
77,2022-05-09 17:49:29+00:00,MyCurioCards,"RT @MLOdotArt: Daily Dose of Crypto Art History

☁️💙☁️💙☁️💙☁️💙

Today, May 9th, in 2017:

Official launch of Curio Cards

Curio Card offers…"
78,2022-05-09 17:49:11+00:00,MyCurioCards,RT @maximusmaximus: Happy 5th birthday to @MyCurioCards we old!
79,2022-05-09 17:38:16+00:00,MyCurioCards,"@decentraland @MetaKey Where?  Coordinates link on the event page (https://t.co/G5U0ULHX9D). Then go to the @themetakey roof (see video).
When? Today 7pm PST/2:00 AM UTC.
What? Curio Cards 5th Anniversary Party. https://t.co/EX3AYbmz00"
