,Time,User,Tweet
0,2022-03-19 13:45:22+00:00,NFTCoolPets,"RT @Robo__Studio: Robo event = Robo pfp 🤖
Holders with Robo pfp, reply below!

Owned by: @djartzx https://t.co/lZYkwB3192"
1,2022-03-10 08:07:38+00:00,NFTCoolPets,RT @BoredSlothClubb: Hello guys… i will help follow all acc that RT this twt..let achieve 2500 together 🦥💕..you all also can follow me 🦥🥰🤧
2,2022-03-10 07:54:25+00:00,NFTCoolPets,"RT @KonfederasiMY: Pentasians, let's follow each other.

LFG!"
3,2022-03-10 07:54:21+00:00,NFTCoolPets,"RT @Robo__Studio: Hi everybot! 
Let's follow each other till we all have 1k followers at least 🔥. Reply below if we haven't followed you ba…"
4,2022-03-09 12:47:27+00:00,NFTCoolPets,"RT @ami__rul: @uncletuah @NFTCoolPets - the first lore of pets nft in pentas

@bingovariants - original characters

@cryptomonsta_ - mayc k…"
5,2022-03-09 12:47:24+00:00,NFTCoolPets,@ami__rul @uncletuah @bingovariants @cryptomonsta_ @YusofJimi Thank you for the mention sir!
6,2022-03-07 14:04:10+00:00,NFTCoolPets,"Every CoolPet holder will have the power to shape the story of their respective character. Based on your action during events, relationship can turn out for the better, break, or forge new ones."
7,2022-03-07 07:31:12+00:00,NFTCoolPets,@babestellNG just got busy with some real life stuff. but we are working on the roadmap progress 😎
8,2022-03-07 05:36:37+00:00,NFTCoolPets,👀
9,2022-02-26 05:58:19+00:00,NFTCoolPets,"This is just me. But Elden Ring is sooo good. Only slept 
3 hours since release. 😂"
10,2022-02-22 12:59:30+00:00,NFTCoolPets,Glad to see that Steam is doing a showcase of demo games for upcoming games. Giving them the spotlight.
11,2022-02-20 20:04:33+00:00,NFTCoolPets,"And just like that, weekend is over. Another week of grind."
12,2022-02-19 03:13:58+00:00,NFTCoolPets,Good morning!!!
13,2022-02-18 11:00:02+00:00,NFTCoolPets,"Q: Can I play with CoolPets?
A: YES

By participating on a Choose Your Own Adventure-esque Events, NFT holders will be able to decide the fate of the character/s that they have."
14,2022-02-17 11:00:01+00:00,NFTCoolPets,"We currently have 7 character classes available in CoolPets: Seal, Panda, Pug, Rabbit, Red Panda, and Koala. Each character class will have their own story and the NFT holders will be able to influence their stories as a community via Events. https://t.co/Ltmn52OoEk"
15,2022-02-17 05:32:52+00:00,NFTCoolPets,"I wish I can share with you every aspect of the progress we have so far. But we want to keep most of it as surprise once everything is set and ready.

We are still working on the Phase 1 of our roadmap. (Check the pinned tweet) 😎

Expect some BIG announcement soon"
16,2022-02-16 07:58:50+00:00,NFTCoolPets,Damn Elden Ring has a really high spec requirement. 🥲
17,2022-02-13 19:19:38+00:00,NFTCoolPets,Been working non-stop these few days to get the story rolling for CoolPets. Lots or revisions had been made. But it feels good. I want to skip the development and head straight to the part where we can all play this thing.
