,Time,User,Tweet
0,2022-09-14 20:56:21+00:00,NeoTokyoCode,RT @rohlfingeth: .@miraitech leveling up @NeoTokyoCode Citizen🧠's one VC at a time. https://t.co/Mf9g1vbDj3
1,2022-09-13 22:16:43+00:00,NeoTokyoCode,"Together, we have enabled a ""1-Click Setup"" where if you find an asset you like on https://t.co/DyDU2SYGSc, all you have to do is hit the SwapStreet button and you're sent to https://t.co/t53Ll7wtlp with the asset already populated in the swap creator."
2,2022-09-13 22:16:42+00:00,NeoTokyoCode,"More info - SwapStreet is a secure P2P multi asset swap protocol that allows you to swap NFT+/Tokens for NFT+/Tokens. Swapstreet will allow all citizens, and those who aspire to come to the Citadel, an easy and safe way to manage and trade their Neo Tokyo Assets."
3,2022-09-13 22:16:41+00:00,NeoTokyoCode,"The pool of Citizen-built products grows deep!

We’re proud to announce an integration of @Swapstreetio, a P2P NFT/Tokens swap protocol, into our Trading Tool - https://t.co/DyDU2SYGSc

Excited to kickoff this partnership, Citizen @Ben27022579 🤝 https://t.co/f2irpuU8DE"
4,2022-09-12 22:30:50+00:00,NeoTokyoCode,"RT @Neo_Tokyo_News: Check out the weekly recap of the major stories from across The Citadel and The #Metaverse! 

File 14: Neo Tokyo News B…"
5,2022-09-11 20:05:19+00:00,NeoTokyoCode,"RT @Neo_Tokyo_News: Starting Now!!
Jump in to get the full lowdown on The Merge. https://t.co/m3g5NiOFEg"
6,2022-09-09 18:24:53+00:00,NeoTokyoCode,"Neo Tokyo has partnered with @unipilot_io to optimize the liquidity of $BYTES. 

Citizens, the vault is now active. Learn how to participate here in the article.

#BYTES #NeoTokyo
https://t.co/bl9lQEBbKz"
7,2022-09-08 22:21:15+00:00,NeoTokyoCode,RT @Neo_Tokyo_News: See you in a few hours...🎙️🔥 https://t.co/Wz8DzvPTFh https://t.co/WFrUB5pvuq
8,2022-09-08 10:32:03+00:00,NeoTokyoCode,RT @ZssBecker: NT will know first. https://t.co/8c9wK5vcHq
9,2022-09-05 17:43:29+00:00,NeoTokyoCode,"Upcoming Discord AMA’s this week for Neo Tokyo Citizens:
- @OneAnalog - Sep 7th
- @Degenheim - Sep 9th
- @Unipilot_IO - Sep 12th

See you on stage! https://t.co/4hZmTCDM02"
10,2022-09-05 00:45:54+00:00,NeoTokyoCode,"RT @Neo_Tokyo_News: 🧵 1/7

Three of @NeoTokyoCode's own have taken the NFT sales charts by storm in recent days.

Read on for a quick revie…"
11,2022-09-04 14:53:35+00:00,NeoTokyoCode,Full list on the community-made NT Wiki: https://t.co/JFhhrh6mWi
12,2022-09-04 14:53:35+00:00,NeoTokyoCode,"The talent within Neo Tokyo is unrivaled. Just a small selection of Citizen projects, now featured on https://t.co/0ee2Z8Yhsz. 

Which Citizen project should we feature next? Drop a comment below.
@SuperFarmDAO @PlayImpostors @byt_inc @NFArcade @upptic @MintDefense https://t.co/LM0vqb4kk3"
13,2022-08-31 17:47:14+00:00,NeoTokyoCode,"Neo Tokyo is proud to accept the invitation to the @Yu_Gi_Yn Art Tokyo Culture Collectible NFT Exhibition at the Terrada Art Complex in Tokyo, Japan - one of the biggest art exhibitions in Japan. 

Citizens may descend from The Citadel to attend on October 22nd-23rd. https://t.co/2X870rsHpa"
14,2022-08-30 00:01:54+00:00,NeoTokyoCode,"Talented Citizen developers have created numerous tools for the Neo Tokyo ecosystem. 

https://t.co/pPM2GSXlij - by citizen @tabsnft - is the latest addition to the lineup

Enjoy those synth/retro wave beats in your next VC or work session. https://t.co/NNEMCJAeNu"
