,Time,User,Tweet
0,2022-09-14 02:47:58+00:00,ParallelNFT,@midnighters_xyz Who dis?
1,2022-09-14 02:47:45+00:00,ParallelNFT,"RT @midnighters_xyz: A new Parallel bond has formed. To join the team, Apply here - https://t.co/o7EodG4IIH https://t.co/s0yRT2W6EW"
2,2022-09-13 23:19:30+00:00,ParallelNFT,@templecrash https://t.co/79tCrqtllK
3,2022-09-13 22:05:14+00:00,ParallelNFT,@0xsiris_dev https://t.co/T6fEUwQnTu
4,2022-09-13 22:04:47+00:00,ParallelNFT,RT @0xsiris_dev: The @ParallelNFT ecosystem seems rlly dope - dove into it a little bit yesterday. https://t.co/WQbtrNv7z1
5,2022-09-13 21:53:54+00:00,ParallelNFT,//Artists @cafaro_oscar + @CSimultan
6,2022-09-13 21:53:54+00:00,ParallelNFT,"//𝗠𝗮𝗿𝗰𝗼𝗹𝗶𝗮𝗻 

𝗙𝗶𝗿𝗲 𝗘𝘃𝗲𝗿𝘆𝘁𝗵𝗶𝗻𝗴! 
“They believe they have the upper hand, Commander. I suggest we show them what Marcolian superiority truly is” https://t.co/UDWGkffJWW"
7,2022-09-13 19:00:51+00:00,ParallelNFT,"As an everyday user you are already prepared as this change will happen automatically. Your Parallel assets will remain safe.

To learn more about The Merge or other details please visit https://t.co/pSRwnkaNq6"
8,2022-09-13 19:00:50+00:00,ParallelNFT,"The Merge on Ethereum is scheduled to occur around September 14/15, 2022. If and when there is a successful merge to PoS [Proof of Stake] Parallel and Parallel's NFTs will only recognize those that meet this consensus as well."
9,2022-09-13 17:14:01+00:00,ParallelNFT,@templecrash https://t.co/aO3IHHIqJ6
10,2022-09-13 16:16:24+00:00,ParallelNFT,//Landcapes @janurschel
11,2022-09-13 16:16:23+00:00,ParallelNFT,"𝗖𝗔𝗜𝗡𝗘-𝟭

Foundry Technicians of the Augencore work tirelessly, deep within the heart of Caine-1, to fulfill their purpose.

Parallel: Augencore 
Location: Deep space https://t.co/2Id1EeO2NS"
12,2022-09-13 07:36:18+00:00,ParallelNFT,"RT @dave_schick: If @ParallelNFT had scratch-n-sniff stickers for each Parallel....

.. What would they each smell like?
My thoughts...

Ea…"
13,2022-09-13 00:25:46+00:00,ParallelNFT,RT @templecrash: Some final checks / proofs https://t.co/FsoqL6FaB0
14,2022-09-13 00:22:35+00:00,ParallelNFT,@templecrash 🎴🎴🎴🎴🫡
15,2022-09-13 00:04:48+00:00,ParallelNFT,@apeapebaby Just wait til you see what we have in store for the release of issue 1 of Parallel comics in late October... It will melt faces.
16,2022-09-13 00:02:53+00:00,ParallelNFT,@apeapebaby No problem - last one before the game comes out is happening in December. That will be PDVI.
17,2022-09-13 00:01:20+00:00,ParallelNFT,@sirsuhayb @ProjectStadium say we are frens without saying we are frens
18,2022-09-13 00:00:49+00:00,ParallelNFT,@RubenAlexand3r Awesome to hear that @RubenAlexand3r love to see you get awesome cards!
19,2022-09-12 23:59:57+00:00,ParallelNFT,@apeapebaby Pack Drop [PD] then the number out of 6 in Roman numerals for which drop of the 6 it is before base set is done!
20,2022-09-12 23:52:48+00:00,ParallelNFT,@Brentsketit @Sathematical Dog parallel reveal soon just ask @orphan_crypto
21,2022-09-12 23:51:49+00:00,ParallelNFT,@ProjectStadium We see Parallel in there 👀
22,2022-09-12 23:50:51+00:00,ParallelNFT,@Brentsketit @Sathematical Hello doggo
23,2022-09-12 23:50:38+00:00,ParallelNFT,RT @EchelonFND: Pending governance proposals are now visible on https://t.co/08k2Dw35N9. Snapshot voting for these three topics will take p…
24,2022-09-12 23:39:49+00:00,ParallelNFT,@Saks_Afridi https://t.co/pZlxSg81t7
25,2022-09-12 23:38:56+00:00,ParallelNFT,RT @yummybear_hugz: The best thing I have pulled out of all my PDIII-V packs is a rad community with a stellar foundation from a phenomenal…
