,Time,User,Tweet
0,2022-09-12 14:41:04+00:00,PhantaBearClub,"@EzekClub @ToybirdsNFT Congratulations to the following winners（@ToybirdsNFT wl）：
@MakeitRain8888
@abilash17692
@13Longjuan12
Please DM @Block_PHB for identity verification &amp; provide your wallet address plus discord id in 8 hours~"
1,2022-09-10 12:32:23+00:00,PhantaBearClub,"Phanta Radio 📻 
Phanta Travel - Cambodia 🇰🇭 
Cambodia conjures the world's renowned ancient temple city whose magical image draws ever-increasingly tourists from all over the world. Bearos, let’s talk about ur Cambodia travel experience with us. See you this Sunday at 8PM. https://t.co/jQTlrneNvM"
2,2022-09-10 07:00:53+00:00,PhantaBearClub,"PhantaBear Moon Festival Giveaway🐶🌕 

Happy Moon Festival! We want to thank EVERY single one of you for your amazing support for PhantaBear. We are giving away 10 boxes of super cute PhantaBear wallets. More info at DC🔗https://t.co/431BkzdzHL https://t.co/ETfFy9Gr71"
3,2022-09-09 12:13:11+00:00,PhantaBearClub,"Weekly Singing Activitiy🎤
Theme: The Moon Festival🌕

The traditional way to celebrate the Mid Autumn Festival is to watch the big beautiful moon with ur family. But guess what? We can also admire moon with our “ears”. Let’s sing about moon this Saturday 8PM at DC! https://t.co/A27cwtU9i7"
4,2022-09-09 12:01:44+00:00,PhantaBearClub,"PhantaBear City Takeover🏙️
Part 1: PhantaBear NFT Holder Exclusive Perk💕
The first secret mission is heading to different shops of machi machi. Present your exclusive QR code as a PhantaBear holder, and get a free drink on each Black Milk Tea w/ Pearls purchased. More info at DC https://t.co/DD3CtAP2a0"
5,2022-09-06 04:30:27+00:00,PhantaBearClub,"PhantaBear Texas Hold'em Tournament - Who is the best poker player?🃏

Texas holdem poker tables are waiting for you! Make new poker friends with PhantaBear! More info: https://t.co/431BkzdzHL

📍Sep. 7 - Nov. 30, every Wednesday at 9PM (UTC+8) at Discord."
6,2022-09-05 14:25:12+00:00,PhantaBearClub,"Are you ready?! 🔥🔥
We're gonna take over the shops. Get ready to rock and roll！ https://t.co/Krw9uZpsym"
7,2022-09-05 12:13:10+00:00,PhantaBearClub,"PetaRush遊戲影片youtube
https://t.co/aRgIfu05l8"
8,2022-09-05 11:40:44+00:00,PhantaBearClub,https://t.co/dU2aISF0M5
9,2022-09-05 00:36:18+00:00,PhantaBearClub,"🐻PhantaBear x @PetaRush AMA🐻

""PetaRush"" is an innovative web3 racing game, the very first character NFT with BGM of cross-IP gameplay.

🕒Time: Sep 5 8PM
📍Location: PhantaBear Twitter Space

☀️Guest: Louis | CCO of Hong Kong Listco Imperium Technology Group, CCO of PetaRush https://t.co/XzF7v17YuF"
10,2022-09-03 13:29:00+00:00,PhantaBearClub,"🐻Exclusive Perk for Bearos - “Jay Chou’s Limited-edition Demo Space” Rare Digital Key Airdrop🎶

A digital key will be airdropped to every Bearo to experience Jay-Themed Metaverse. Remember to register this event during Sep 3-9 at Discord🔗 https://t.co/MkBTktaprg"
11,2022-09-03 03:43:51+00:00,PhantaBearClub,"Phanta Radio 📻 
Crazy School Life 2.0 - Roommates🍭

Do you recall the times you spent in the school? You probably have experiences living in student accommodation during your campus life. We invite you to share your stories with us this Sunday at 8 PM at DC. https://t.co/ghjxmTGWZ9"
12,2022-09-02 11:19:07+00:00,PhantaBearClub,"Weekly Singing Activity🎤
Theme: Traveling 

To you, what’s the meaning of traveling. What kind of songs will bring you back those memories? Share your travel playlist with us this Saturday at 8 PM (UTC+8) at Discord. Bon Voyage 👋🏻 https://t.co/pIEmPbUFIz"
13,2022-09-02 10:48:10+00:00,PhantaBearClub,"Preview🐻
PhantaBear left secret messages in different cities, inviting Bearos from all over the world to join the secret mission and make the headlines!🕵️ 

✈️ Location: Taipei, London, New York, Paris, Sydney, Melbourne, Singapore, Kuala Lumpur….. https://t.co/vijv1JgBuj"
14,2022-09-01 16:25:29+00:00,PhantaBearClub,Hehehe 🤭 https://t.co/p1fPsL3sx5
15,2022-08-27 08:57:31+00:00,PhantaBearClub,"Phanta Radio📻
👻Scariest Horror Movies Ever👻

Are you a fan of horror movies? Have you seen the King of Horror Movies, Stephen Kings’ novel “It”, “The Shining”, “Pet Sematary” in a screenplay? Let’s enjoy the podcast this Sunday at 8PM at Discord🔗 https://t.co/QvvfjPHge5"
16,2022-08-26 08:43:38+00:00,PhantaBearClub,"Weekly Singing Activity🎤
Theme: Sibling

Family is the most important thing for Dom. How about you? What’s your family like? Do you have any siblings? This week we are singing for siblings. Bearos and Bearsis, let’s sing together! ⏰Aug 27th 8PM at Discord. https://t.co/VUZdHqDcut"
17,2022-08-20 03:55:29+00:00,PhantaBearClub,"Phanta Radio 📻 
Phanta Travel 2nd Stop - New York🗽

New York City is alive with attractions, shows, shopping, dining and more across all five boroughs. We invite some Bearos from NY to share their own version of an epic NYC itinerary in mind. Join with us this Sunday at 8PM! https://t.co/AxLoT0IUCl"
18,2022-08-19 12:51:49+00:00,PhantaBearClub,"Weekly Singing Activity🎤
Theme: Disco Music

“Disco is music for dancing, and people will always want to dance.” This week we are going to talk about Disco music and share some of the best disco tracks. Everybody dance with us on Aug 20th 8PM(UTC+8) at Discord🤟🏻🪩🕺 https://t.co/uglJNfKkd8"
19,2022-08-18 06:28:20+00:00,PhantaBearClub,"☀️@Cryptosimeji  x #PhantaBear AMA☀️ 
 --------Event Details----------- 
 Time: Aug 18th 8PM (UTC+8)
 Location: PhantaBear Discord Voice Channel
 Topic: AMA of CryptoSimeji 
 Giveaway: CryptoSimeji wl https://t.co/j7aVD4LpMx"
20,2022-08-12 07:37:12+00:00,PhantaBearClub,"Phanta Radio 📻 
Crazy School Life 1.0. - Friendship
Do you recall the times you spent in the school? We will talk about today’s student life and school activities. We will also talk about how student widen their social circles. Welcome to share your campus life this Sunday 8PM! https://t.co/AlSMCgTVJJ"
21,2022-08-12 07:20:13+00:00,PhantaBearClub,"Weekly Singing activity🎤
Theme: Rearranged Covers

Do you know some covers are more famous than the originals? Which one is your favorite? Would you like to share your version with us? Join with us this Saturday 8PM (UTC+8) at Discord🎵 https://t.co/e8NdW3FPEI"
22,2022-08-10 11:46:20+00:00,PhantaBearClub,https://t.co/50JgfbwAwC
23,2022-08-09 08:02:21+00:00,PhantaBearClub,"We will be hosting an AMA tomorrow with representatives from @OneKeyHQ . We will be discussing about securities, hacking incidents and hardware wallets. 

Participate in the AMA and you will get a chance to win free hardware wallet and coupons!

See you on Aug 10th 8PM (GMT+8). https://t.co/TwNpdcPCeI"
24,2022-08-09 02:46:37+00:00,PhantaBearClub,😢💔 https://t.co/s98wbzDAb6
25,2022-08-09 02:44:21+00:00,PhantaBearClub,@Mr312 @BoredApeYC @OthersideMeta @11CaptainsClub Sorry to hear this bro😔
26,2022-08-08 14:01:11+00:00,PhantaBearClub,"Congrats to the winners🎉
Winners' numbers are below: 
1869 
6585 
9807
Thanks for everyone's participation!
Special Thanks to @Svarga_cc❤️"
27,2022-08-07 11:45:12+00:00,PhantaBearClub,https://t.co/cyLaCI91NO
28,2022-08-07 10:43:32+00:00,PhantaBearClub,We have invited the co-founder of @fomodogclub @ryanwu4444 and @Super__Willy from PhantaBear management team to talk about Texas hold’em as well as the crypto industry https://t.co/cyLaCI91NO
29,2022-08-05 12:30:37+00:00,PhantaBearClub,"Phanta Radio📻 
Exclusive Interview with the Co-founder of @fomodogclub @ryanwu4444: What turns poker players into crypto experts?

We are proud to invite Ryan to attend this week’s Phanta Radio! Make sure to join with us this Sunday 8PM at 🐻Twitter Spaces! https://t.co/ezE1ZunDG8"
30,2022-08-05 10:35:06+00:00,PhantaBearClub,"Weekly Singing Activity🎤
Theme: Chinese Valentine’s Day🌹
Do you have any romantic love stories? What song reminds you of your love? Come share with us and get immersed in love together! See you this Saturday 8 PM at Discord💕 https://t.co/M1FS4MDQir"
31,2022-08-02 13:05:23+00:00,PhantaBearClub,"🐻Running with PhantaBear 👟
🕛August 2-7
📝Rules: 
- Enter https://t.co/m2wo6TD5HH and link your wallet. *Only Phantabear holders have access to the game.
- Remember to share your scores on Twitter.
🎁We will draw 3 winners who can get secret gifts. More details on Discord. 🔗 https://t.co/LUO6VX3k5I"
32,2022-07-31 14:49:27+00:00,PhantaBearClub,"Running with PhantaBear👟 

The event will be held on Aug 2-7, and winners will get secret gifts. Thanks to Svarga for developing the game.

@Svarga_cc is a Web3 avatar aggregation service, dedicated to making the metaverses more interoperable by onboarding more NFT communities. https://t.co/2cfVCXJnR3"
