,Time,User,Tweet
0,2022-07-28 12:29:22+00:00,PixlGenerations,RT @iPokeNinja: Tonight https://t.co/dyIqTjPE1k
1,2022-07-28 04:32:42+00:00,PixlGenerations,"RT @iPokeNinja: Proud to announce that we are kicking off another adventure Thursday July 28th

PokeNinjas Kingdoms kicks off Open Alpha wi…"
2,2022-07-28 04:32:39+00:00,PixlGenerations,RT @KYR_SP33DY: Pixelmon returns tomorrow Thursday July 28th 4pm PDT/7pm EDT on Twitch! https://t.co/eAq2Yntsy0
3,2022-07-28 04:32:37+00:00,PixlGenerations,"RT @Albi_SideArms: New Pixelmon series starts tomorrow at 7pm Eastern time! (About an hour and a half before this tweet) 🙌 don’t miss it!
@…"
4,2022-07-26 20:57:15+00:00,PixlGenerations,"RT @PokeNinjasNtwrk: The PokeNinjas Kingdoms Stress Test is kicking off at 6-8pm EST and is open to anyone to come check out! 

Come help u…"
5,2022-07-21 16:32:28+00:00,PixlGenerations,RT @iPokeNinja: Kingdoms Museum sneak peek https://t.co/TfUXjSehfl
6,2022-07-07 14:59:18+00:00,PixlGenerations,"RT @iPokeNinja: 5 years ago today I launched @PokeNinjasNtwrk 

5 years later I’m still creating in Minecraft for a living and couldn’t be…"
7,2022-07-05 18:52:10+00:00,PixlGenerations,"RT @iPokeNinja: On July 7th @PokeNinjasNtwrk will be celebrating our 5 year anniversary with tons of giveaways, special event spawning lege…"
8,2022-07-04 02:53:12+00:00,PixlGenerations,"RT @iPokeNinja: Looking for some talented Minecraft builders for a pretty big project for the summer

If you know anyone tag them or send i…"
9,2022-07-01 22:19:29+00:00,PixlGenerations,What is your favorite thing to do in Pixelmon?
10,2022-06-15 14:10:23+00:00,PixlGenerations,"In our most recent rendering test. We were able to render 500+ Pokémon at 60+ fps

🤯🤯🤯"
11,2022-06-15 14:02:14+00:00,PixlGenerations,RT @iPokeNinja: This change should not slow the timetable of release. In fact it actually helps us a little. We look forward to dropping so…
12,2022-06-15 13:58:33+00:00,PixlGenerations,"Big news today!

Pixelmon Generations is in the process of updating directly to 1.19 rather then 1.18.2

This decision was based on many factors and decided was the best direction to apply earlier rather than later.

More info will be coming soon!"
13,2022-06-06 01:11:24+00:00,PixlGenerations,RT @iPokeNinja: When you find more shiny Pokémon in pixelmon than in the entire Go Fest today https://t.co/BHVuQ6KnWI
14,2022-06-01 18:43:06+00:00,PixlGenerations,"Coming to a Pixelmon server near you this winter 

Lechonk! https://t.co/Yy6RnzASLL"
15,2022-05-25 21:41:57+00:00,PixlGenerations,"RT @iPokeNinja: This will be the last 1.12.2 update before we move on to the next phase

1.18.2 https://t.co/QawE4M5CuW"
16,2022-05-25 21:36:14+00:00,PixlGenerations,"Hisui Pokemon are here! 

Here's the 8.7.0 complete breakdown 

Changelog: https://t.co/auP2ANtsoi https://t.co/lXi5L8fTyV"
17,2022-05-25 00:45:45+00:00,PixlGenerations,"RT @iPokeNinja: Hi, Hisui Pokemon tomorrow

that is all"
18,2022-05-24 06:27:25+00:00,PixlGenerations,This week https://t.co/QmSEYWy7VC
19,2022-05-23 08:06:27+00:00,PixlGenerations,"Old idle vs new idle animation

⚡⚡⚡ https://t.co/VFIU8Fhuwq"
20,2022-05-19 19:24:14+00:00,PixlGenerations,RT @iPokeNinja: Help us out by voting below
21,2022-05-19 19:24:12+00:00,PixlGenerations,"RT @iPokeNinja: When playing Minecraft, what kind of models would you prefer for Pixelmon mods? Blockier (Minecraft styled) as shown on lef…"
22,2022-05-11 20:32:18+00:00,PixlGenerations,RT @iPokeNinja: Oh https://t.co/njBP9GVp8E
23,2022-05-07 20:59:02+00:00,PixlGenerations,RT @iPokeNinja: Little birdie tells me this next Generations update is gonna be pretty pog... and it's almost here :)
24,2022-05-07 18:39:29+00:00,PixlGenerations,@Matisse__D This is being fixed. The picture displays all works in progress
25,2022-05-07 18:25:13+00:00,PixlGenerations,Hisui forms are nearly here https://t.co/1kprIJCzKg
26,2022-05-02 01:26:05+00:00,PixlGenerations,Soon https://t.co/KB0WAXqIoL
27,2022-04-29 04:26:15+00:00,PixlGenerations,RT @iPokeNinja: @PixlGenerations Correct answer https://t.co/sX17mrf38u
28,2022-04-28 22:37:45+00:00,PixlGenerations,Who’s that Pokémon? https://t.co/iPe5MLZ7bm
29,2022-04-17 23:48:57+00:00,PixlGenerations,RT @iPokeNinja: What is one quality of life feature you would like to see in @PixlGenerations https://t.co/poGR998Ru8
30,2022-03-30 20:47:03+00:00,PixlGenerations,"We're pleased to announce new Tebex &amp; Patreon rewards, such as login messages, access to 1.18 leaks, polls, and more! We're now far enough in our 1.18 development to leak revamped &amp; new content on a weekly basis

🔽Support us here🔽
https://t.co/KIKKr9q6Sl
https://t.co/WCFVLi3sGV https://t.co/JbvNo4li8Z"
31,2022-03-28 23:14:45+00:00,PixlGenerations,"RT @iPokeNinja: I don't think I've anticipated anything like I am right now for @PixlGenerations 1.18+
The addiction is going to be so real…"
32,2022-03-14 18:20:01+00:00,PixlGenerations,He Bork https://t.co/BGRGkgvJCw
33,2022-03-10 17:03:56+00:00,PixlGenerations,Soon https://t.co/hUQLulEIjn
34,2022-03-02 20:35:46+00:00,PixlGenerations,"RT @iPokeNinja: We are currently looking for one more Minecraft Forge Developer for one of our teams

Any RT or tags are highly appreciated…"
35,2022-02-27 14:33:35+00:00,PixlGenerations,RT @iPokeNinja: What a year this is gonna be for Pixelmon Generations. Updating to 1.18.1 then Gen 9 additions. Content is gonna be stacked…
36,2022-02-26 02:46:29+00:00,PixlGenerations,"One of these things is not like the other

Will the real #Pixelmon please stand up https://t.co/dqBnvMPSVN"
37,2022-01-25 17:22:27+00:00,PixlGenerations,"Need to get set up with your very own Pixelmon Generations server? @BisectHosting makes it super simple for you! 

Click the link to get started: https://t.co/ayLpnHmpJa https://t.co/12yPyMnJOr"
38,2022-01-09 17:13:26+00:00,PixlGenerations,What Pokémon deserves a PokéDoll in the 1.18.1 version? https://t.co/NL8bPDGZJ3
39,2021-12-29 22:08:34+00:00,PixlGenerations,"RT @iPokeNinja: A little sneak peek of something the team is working on at the moment, super excited to announce that we are not only porti…"
40,2021-12-29 22:05:56+00:00,PixlGenerations,"We've been hard at work porting Pixlemon Generations to the newest 1.18.1 version of Minecraft! 

No exact ETA as of now, as we look to not rush things out while making sure we rework many outdated mechanics, but you can expect to see us early in 2022

See you all very soon ✨ https://t.co/wrecZHNPZ2"
41,2021-10-28 02:18:31+00:00,PixlGenerations,RT @iPokeNinja: gang gang https://t.co/hxw2TxpSBD
42,2021-10-14 21:50:56+00:00,PixlGenerations,"Pixelmon Generations 8.6.0 is here

Server owners now have much more flexibility over customizing their own unique experiences for their players! 

Sever owners can now add their own Fakemon, more cosmetic options, and much more!

Full changelog here: https://t.co/auP2ANbQZI"
43,2021-10-03 21:44:16+00:00,PixlGenerations,"RT @iPokeNinja: DMs are now open again
Minecraft developers, renderers, modelers, texture artists, or beta testers feel free to reach out a…"
44,2021-09-28 23:45:02+00:00,PixlGenerations,RT @DeltricDev: New wood types are pog 🤠 https://t.co/RQQzhkZewR
45,2021-09-28 01:13:07+00:00,PixlGenerations,RT @SlackATK: Pixelmon? oooowwwweeeee https://t.co/vhh7dXzbl5
46,2021-09-27 21:07:50+00:00,PixlGenerations,@JacobWho8 @WaterdudeDev @Cavans99 Unfortunately this is typical Reforged behavior. We encourage players to try both and choose what they love to play most
47,2021-09-27 19:34:23+00:00,PixlGenerations,A feature in Pixelmon Generations that you would love to see? Ready set go! https://t.co/KMvkWKWeAN
48,2021-09-21 20:09:47+00:00,PixlGenerations,But can you beat us in a 1v1 against our Pikachu? https://t.co/dDwDqC9wBN
49,2021-09-14 02:53:27+00:00,PixlGenerations,How’d we do with the puns? https://t.co/sQBk0pTFoM
50,2021-08-29 00:33:16+00:00,PixlGenerations,"RT @iPokeNinja: Pixelmon Generations has officially surpassed 10 MILLION downloads/modpack runs 🥳🎉🥂

Back in 2018 (one year after release)…"
51,2021-08-27 16:32:45+00:00,PixlGenerations,The real question is..what did you grow up playing Pokemon on? https://t.co/s4mb3LmNlh
52,2021-08-27 00:03:29+00:00,PixlGenerations,RT @iPokeNinja: You vs the guy she tells you not to worry about https://t.co/WYnoqryReo
53,2021-08-25 16:30:24+00:00,PixlGenerations,Who’s the best legendary trio?? https://t.co/I6AnmiOPzg
54,2021-08-20 19:11:03+00:00,PixlGenerations,RT @iPokeNinja: After exploring so much recently in the 1.16.5 Better Minecraft modpacks I can firmly say that the potential for Pixelmon G…
55,2021-08-17 16:35:46+00:00,PixlGenerations,"It's pronounced..Regi-ice right?
https://t.co/3jaDr1vgHv"
56,2021-08-11 03:03:25+00:00,PixlGenerations,"We now have a TikTok account, and have just posted our first video! Make sure to check it out, and go follow for more content! 
https://t.co/NNaDMcqma4"
57,2021-08-10 14:45:50+00:00,PixlGenerations,Would you dare to fight this legendary boss Magmortar? https://t.co/7ZBZ8NSEwY
58,2021-08-09 17:54:50+00:00,PixlGenerations,"Who's gym battle was the hardest to fight in the games, and why?"
59,2021-08-04 17:29:12+00:00,PixlGenerations,"Listen up trainers! It's time to settle this once and for all!
In your opinion, which region had the best storyline? https://t.co/B4GRH8fSyT"
60,2021-08-02 03:00:50+00:00,PixlGenerations,"Metagross four brains in total, all connected by a complex network of neurons. 

It's capable of performing complex calculations and is more intelligent than a supercomputer. https://t.co/mjpe8lM0n1"
61,2021-08-01 04:10:50+00:00,PixlGenerations,RT @iPokeNinja: Playing @PixlGenerations for the first time in years with my son on the @PokeNinjasNtwrk and couldn't be more ecstatic abou…
62,2021-07-29 19:16:01+00:00,PixlGenerations,RT @BetterDeltric: Something I'm really excited for in the next @PixlGenerations update is global statistics. They'll show up on the main m…
63,2021-06-12 18:35:35+00:00,PixlGenerations,"RT @iPokeNinja: Since the update yesterday I got a few marked Pokemon

You guys get any yet? https://t.co/XVgzPCgfLU"
64,2021-06-12 15:06:18+00:00,PixlGenerations,"RT @NoLeaksLouiee: New Pixelmon Generations Update is out now!

-New PC Overhaul
-Horde Battles
-New Arceus Spawn Method
-Marks, Mark Charm…"
65,2021-06-11 22:15:51+00:00,PixlGenerations,"Pixelmon Generations 8.5.0 is here! 

With it comes the following:
New PC update
Marks for Pokémon
Mark &amp; Oval charm
Horde battles
Lures 
and so much more! 

Full changelog is here: https://t.co/auP2ANbQZI

Have a fun weekend!"
66,2021-06-11 20:47:48+00:00,PixlGenerations,RT @iPokeNinja: Get those technic launchers ready https://t.co/PKcVkZM6sg
67,2021-06-11 20:20:25+00:00,PixlGenerations,Should we release an update today?
68,2021-06-09 20:08:08+00:00,PixlGenerations,"RT @iPokeNinja: Hats off to my team on @PixlGenerations and @PokeNinjasNtwrk 

The amount of work behind the scenes on everything we do is…"
69,2021-06-09 16:39:44+00:00,PixlGenerations,"RT @NoLeaksLouiee: I caught every Legendary Pokemon I possibly could in Pixelmon!

🔗https://t.co/LRzPQKEBd3 https://t.co/FlzU5qmgvp"
70,2021-06-08 16:07:21+00:00,PixlGenerations,RT @BetterDeltric: egg sash? https://t.co/eBUbU5wCKa
71,2021-06-04 18:08:16+00:00,PixlGenerations,RT @iPokeNinja: We’re looking for more beta testers for @PixlGenerations to check out and test new features among other things before relea…
