,Time,User,Tweet
0,2022-09-14 23:06:40+00:00,PrimeApePlanet,"Winners 🏆
• @RhondaMart2
• @stubbenatu
• @crow89267616

✔️ https://t.co/WHIYUiqAOt"
1,2022-09-14 21:33:56+00:00,PrimeApePlanet,Can anyone challenge @papdaddy04's holdings? Stay tuned for Sunday's AMA to see why he will be looking real good come November/December https://t.co/RvpG7Cjp3l
2,2022-09-14 00:34:22+00:00,PrimeApePlanet,Prime Kong #3695 adopted by @crobin2004 for 1eth! @KongPlanet https://t.co/xJFIyimK6k
3,2022-09-13 15:18:21+00:00,PrimeApePlanet,"🥷 Scary Samuraï x Prime Planet 🦍

We're giving away some WL Spots for Scary Samuraï.

To enter:
Follow @ScarySamuraiNFT &amp; @PrimeApePlanet 
Join their discord: https://t.co/2wplASPJP3
Interact + Tag 3 frens 🥷

⚔️More chances to win WL on Samurai Run https://t.co/ebB9qc7SUF https://t.co/jwy4OY8K4k"
4,2022-09-12 12:10:21+00:00,PrimeApePlanet,"RT @K11_NFT: Hey guys! 

Your daily reminder here!👋🏼

JOIN the upcoming AMA on Sept 18th 16:00 CET

MARK YOUR CALENDAR!🔥🤟🏼

(My opinion)
Be…"
5,2022-09-12 12:10:12+00:00,PrimeApePlanet,PAP #1336 sold for ~1.7eth! #GoForGold https://t.co/qp7sZz898H
6,2022-09-12 02:06:47+00:00,PrimeApePlanet,"Prime Planet Lip-Sync Battle!
Make your best lip-sync video with your PAP, PKP or iPAP shown in the video and post to your Twitter with @primeapeplanet and #PrimePlanetLipSyncBattle. We will pick the best video to win 1 Prime Ape! https://t.co/FTb8cO8GgN"
7,2022-09-12 02:04:21+00:00,PrimeApePlanet,Less than a week now! https://t.co/bFie9nU6NJ
8,2022-09-11 23:24:30+00:00,PrimeApePlanet,"🚨 SCAM ALERT 🚨 @primaapeplanet

Please report and block the account. Stay safe Prime Fam! 💙 https://t.co/MJDKT1H5Re"
9,2022-09-11 23:19:39+00:00,PrimeApePlanet,"@metavermanche @raulgar68450715 @KongPlanet A lot has changed. New management took over, the old team has totally been removed. Way more has been delivered and done in the last few weeks by the new team, than the old team did in months. Come and hear what we have planned for the future. https://t.co/2YehRNIiK2"
10,2022-09-11 16:22:59+00:00,PrimeApePlanet,"We see you sweeping up the Kongs, show yourself and hola in discord! 💙 https://t.co/oL84bcJk9F"
11,2022-09-11 11:14:36+00:00,PrimeApePlanet,"🚨 Calling all present, past, and potential future Prime Fam 🚨 Please join us on this important AMA, as we unveil our Prime Planet Plans! 

We can’t emphasised enough on the importance of bridging our brand to IRL utilities and relevance. That is key to our long term survival. https://t.co/zOQhbepqYU"
12,2022-09-10 17:13:41+00:00,PrimeApePlanet,RT @K11_NFT: Just picked up another Prime ape From @PrimeApePlanet ❤️🏅 https://t.co/8jCVgtKlng
13,2022-09-10 17:13:21+00:00,PrimeApePlanet,SCAM ALERT!!! This page is fake!! https://t.co/novzZhYui5
14,2022-09-10 17:12:45+00:00,PrimeApePlanet,"RT @K11_NFT: Another pickup for me🏅🎉
@PrimeApePlanet 

Love you fam!

Second ape of today🔥 https://t.co/xYU13gzUE8"
15,2022-09-08 13:07:10+00:00,PrimeApePlanet,RT @Claudiu86bogdan: @NFTDegenNSM Hard to find something better then @PrimeApePlanet . Simply stunning this project at launch broke all rec…
16,2022-09-08 13:06:56+00:00,PrimeApePlanet,RT @HoRonald2: @NFTDegenNSM Let buy @PrimeApePlanet @KongPlanet https://t.co/VSIChqgwV5
17,2022-09-08 13:06:20+00:00,PrimeApePlanet,RT @Claudiu86bogdan: @yossylondon Gm from @PrimeApePlanet man 😎 https://t.co/myqBRRCyOr
18,2022-09-08 13:05:30+00:00,PrimeApePlanet,@ReginaldBetty2 Let’s gooooo! @PrimeApePlanet https://t.co/EKwCbRVT7H
19,2022-09-05 15:44:43+00:00,PrimeApePlanet,RT @papdaddy04: @PrimeApePlanet Fire 🔥. Daddy week is coming soon!!  U better get ur paps b4 I take the floor to .70
20,2022-09-05 15:26:50+00:00,PrimeApePlanet,PAP #1470 sold for 1.8eth! https://t.co/Y8Fhdxdfpy
21,2022-09-03 12:42:51+00:00,PrimeApePlanet,"RT @blockchainmana3: My fam is different, thanks @PrimeApePlanet for the events and giveaways you always purpose to the community! This tim…"
22,2022-09-03 09:57:47+00:00,PrimeApePlanet,"Get your Poker Face on Prime Fam, it’s time!

@Bridge3Labs @illogics @3DGamersGuild https://t.co/UTc7Khn370"
