,Time,User,Tweet
0,2022-08-15 20:06:42+00:00,RTFKT_MNLTH2_,"RT @RTFKTConne: Major Discord Update for Creators 🧑‍🎨

We just updated the Discord layout for all @RTFKTcreators. 🧵 https://t.co/hJA6PZsy5H"
1,2022-08-15 20:06:37+00:00,RTFKT_MNLTH2_,"RT @RTFKT: alright, almost done in the lab 👨‍🔬
it's time for 🧬🧢👕👖🧦👟

then 🗿🕹
then 🔥🚀

Once the 🌪starts it’s not stopping. If you are ready,…"
2,2022-08-15 20:06:31+00:00,RTFKT_MNLTH2_,RT @OGFaZeCLipZ: wow 10k people came and watched me stream as my @RTFKT clone x on tiktok today 🔥📶we caught hella Ws too https://t.co/X2z4D…
3,2022-08-15 19:57:53+00:00,RTFKT_MNLTH2_,"RTFKT X NIKE HOODIE MONOLITH OPENING is NOW LIVE 🕊✔

You have 10 days to Open your RTFKT MNLTH.
Opening closes: Thursday 25th, 6pm PT.
Only on https://t.co/I4zSrLnixq

We will choose 3 holders to win 2 RTFKT MNLTH2 on Monday 29th at 8pm PT. https://t.co/jLmDXT7n79"
4,2022-08-09 22:51:26+00:00,RTFKT_MNLTH2_,"MNLTH RTFKT 2🗿

Your MNLTH reserves you beautiful surprise, do not wait any more and pass has the action as of now.

You can now reveal your RTFKT MNLTH 2🔓👁‍🗨

Forging ? 🫢

https://t.co/I4zSrLnixq https://t.co/rMtjFKKBrJ"
5,2022-08-09 22:13:31+00:00,RTFKT_MNLTH2_,"RT @RTFKT: Challenge completed ✅⚔️
Here is how the community solved it 🗺
Quest 2 is now complete, the MNLTH is evolving... https://t.co/CdX…"
6,2022-08-09 22:13:29+00:00,RTFKT_MNLTH2_,"RT @RTFKT: What's inside the MNLTH.....
isn't the right question to ask..

more on that once you've commented enough interesting thoughts b…"
7,2022-08-09 22:13:28+00:00,RTFKT_MNLTH2_,"RT @RTFKT: 👨‍🏫Best 
 ""What's INSIDE THE MNLTH"" Theories so far🗿?"
8,2022-08-09 22:13:27+00:00,RTFKT_MNLTH2_,"RT @RTFKT: MNLTH FINAL Quest, Challenge #2 Starts ⚔️
GLHF 🗿👁‍🗨🖐️ https://t.co/M49l0I6how"
9,2022-08-09 22:13:25+00:00,RTFKT_MNLTH2_,"RT @RTFKT: MNLTH Evolution 3, now live in all your Pods / @oncyber_io spaces 🗿💥 are you ready to finally see what's inside ??? https://t.co…"
10,2022-08-09 22:13:24+00:00,RTFKT_MNLTH2_,"RT @RTFKT: gm 🥲
enjoy the last moments of your time spent with your weird friend from the future aka the MNLTH 🗿

Salute MNLTH in comments 🖖"
11,2022-08-09 22:13:23+00:00,RTFKT_MNLTH2_,"RT @RTFKT: Tomorrow, for you, there's a lot to Quest on, 
and for us a lot to tweet about 😅

gn, enjoy these last moments of still not know…"
12,2022-08-09 22:13:21+00:00,RTFKT_MNLTH2_,"RT @RTFKT: MNLTH isn't about making a NFT drop, 
you should have guessed that by now. 
did you ?"
13,2022-08-09 22:13:20+00:00,RTFKT_MNLTH2_,"RT @RTFKT: gm, this week program : 📝

👾 Sandbox Metadungeon 
💎 Sandbox NFT Drop
🗿 MNLTH Quest 3 

and some cryptic tweets 👁‍🗨"
14,2022-08-09 22:13:19+00:00,RTFKT_MNLTH2_,"RT @RTFKT: MNLTH QUEST 3 is about to start, 
Theme is : CREATIVITY 👁‍🗨
Like this tweet and drop a ⚔️ in comments if Ready 
#MNLTH https://t…"
15,2022-08-09 22:13:10+00:00,RTFKT_MNLTH2_,"RT @RTFKT: Final Quest ⚔️🗿
MNLTH Opening Sequence updated 👾
Ultimate Challenge Ahead⏳ https://t.co/DcV7scSz5f"
16,2022-08-09 22:13:05+00:00,RTFKT_MNLTH2_,RT @RTFKT: Best MNLTH 🎶 remix so far ?
17,2022-08-09 22:13:02+00:00,RTFKT_MNLTH2_,"RT @RTFKT: MNLTH Quest continues ⚔️
A door opens 🚪

#MNLTH https://t.co/3RXGz9firl"
18,2022-08-09 22:13:00+00:00,RTFKT_MNLTH2_,"RT @RTFKT: Final Quest 
Challenge #1 Complete 🗿⚔️
MNLTH Opening Sequence updated 👾
Be wary of : Next Challenge ⏳ https://t.co/BzbFZXhxsY"
19,2022-08-09 22:12:58+00:00,RTFKT_MNLTH2_,"RT @RTFKT: so 🗿
what’s inside the MNLTH really ?"
20,2022-08-09 22:12:56+00:00,RTFKT_MNLTH2_,"RT @RTFKT: MNLTH QUEST : 4/4 Completed ✅
MNLTH Opening Sequence :  4/4 Completed ✅
MNLTH Artefacts : 3/3 Completed ✅
Enter the MNLTH Experi…"
21,2022-08-09 22:12:54+00:00,RTFKT_MNLTH2_,"RT @RTFKT: MNLTH ULTIMATE Quest, 
Starts Now ⚔️

End the journey together, like you started it. 
Let’s OPEN THIS MNLTH !!!! 💥

GLHF 🍀🧠 http…"
22,2022-08-09 22:12:53+00:00,RTFKT_MNLTH2_,"RT @RTFKT: Final Quest
Tomorrow  12pm PT
Theme : MYSTERY 🗿⚔️ #mnlthquest

Press 🗿in comments, it's time to Pay Respects to the MNLTH 🙏 http…"
23,2022-08-09 22:12:51+00:00,RTFKT_MNLTH2_,"RT @RTFKT: Quest #3 Completed :⚔️
MNLTH has EVOLVED AND WHATTTTTT ????
1 Quest left ❌❌❌🗿 https://t.co/FPWAW46EYg"
24,2022-08-09 22:12:49+00:00,RTFKT_MNLTH2_,"RT @RTFKT: gm 🗿
happy Earth day 🌎 
happy MNLTH day 🔓"
25,2022-08-09 22:12:41+00:00,RTFKT_MNLTH2_,"RT @RTFKT: MNLTH FINAL Quest starts 🟢⚔️
GLHF 🗿👁‍🗨 https://t.co/14ZFgQmayO"
26,2022-08-09 22:12:40+00:00,RTFKT_MNLTH2_,"RT @RTFKT: MNLTH #1 Artefacts info 🗿

RTFKT x Nike Dunk Genesis 🦿
The first RTFKT x Nike CryptoKicks NFT Sneaker imagined for the year 2052…"
