,Time,User,Tweet
0,2022-09-14 17:59:42+00:00,RagnarokMeta,Coming soon to a Yokai arena near you... https://t.co/PFUn8uwKCz
1,2022-09-12 20:40:32+00:00,RagnarokMeta,Updates in progress... https://t.co/PknMECOJLf https://t.co/OpxGcdRtUU
2,2022-09-10 16:01:35+00:00,RagnarokMeta,Hook yourself a biggun! Fishing kicks off in one hour... Head over to https://t.co/PknMECOJLf and speak to John. https://t.co/tTUJurDmmL
3,2022-09-10 07:26:20+00:00,RagnarokMeta,"RT @bigapeXBT: Fishing quest live on @RagnarokMeta 

dope mechanics, works like a charm and its fun!

Keep delivering ronin fam! 🎴👾 https:/…"
4,2022-09-10 07:22:56+00:00,RagnarokMeta,"RT @willx_eth: Hopefully I can't starve to death in @RagnarokMeta.

How to fish guys?! https://t.co/h6qFCOIfZu"
5,2022-09-09 19:00:41+00:00,RagnarokMeta,"Lots of lovely new stuffs in-game for you including FISHING! It's a timed daily event, with weekly prizes for the lucky person who tops the leaderboard... More on that soon, so in the meantime - get practicing! https://t.co/L24fPBSQ0u"
6,2022-09-08 17:55:34+00:00,RagnarokMeta,"Hoverboard instructor, here to show you the ropes. Can't wait until hoverboards drop in-game! https://t.co/geTKYyTKJ5"
7,2022-09-07 15:39:43+00:00,RagnarokMeta,Every month we award an outstanding community member for their contributions. This month the award goes to @bigapexbt for simply being a vibe. Please DM the CM with your wallet address for your new Ronin! https://t.co/dPpr8b8OlK
8,2022-09-06 17:52:49+00:00,RagnarokMeta,Send noods! https://t.co/T8Wx7itxzL
9,2022-09-05 19:41:07+00:00,RagnarokMeta,Update deez sprints. https://t.co/xKU2llJY1A
10,2022-09-03 18:12:59+00:00,RagnarokMeta,RT @Vorinclex11: Quinn is a man of few words. He lets his fists do the talking. #RoninChronicles https://t.co/wlxJBuKt9C
11,2022-09-02 14:21:43+00:00,RagnarokMeta,"Join us for the first of our new monthly Spaces! We'll be talking to Fanfaron about recent events, revealing our roadmap for the next 6 months and introducing our new CMO... https://t.co/b0kcgZusS2"
12,2022-09-01 20:46:25+00:00,RagnarokMeta,We are aware and are working with OpenSea to resolve the IP takedown request. Ronins are still tradable on Looksrare.
13,2022-09-01 17:18:22+00:00,RagnarokMeta,"Love these sounds, did you meet this guy yet? If not, time to check out the new content! #SoundOn  https://t.co/o0CdbS8M2L https://t.co/WGxSpLxwkN"
14,2022-08-31 17:00:43+00:00,RagnarokMeta,"Shoes off when you enter the Yōkai arena! This is from an early WIP from our art team, can't wait to show you the final version... https://t.co/kubVNS13ia"
15,2022-08-30 15:22:23+00:00,RagnarokMeta,RT @Vorinclex11: Another dope piece from @arowana2111 'Even the shadows fear his blades.' #RoninChronicles https://t.co/T9EeLjtXAU
16,2022-08-29 19:38:29+00:00,RagnarokMeta,"Whatever else is happening, we just keep on doing stuffs. #stuffs https://t.co/ZsSYGepBSC"
17,2022-08-26 19:19:32+00:00,RagnarokMeta,RT @0xfanfaron: Ragnarok has become something greater than the idea I had a year ago. I own the mistakes I've made and I'm committed to bui…
18,2022-08-26 15:52:13+00:00,RagnarokMeta,We have winner! Check this badass Ronin out - even when surrounded by the evil he remains totally calm! https://t.co/cKqU4A88JL https://t.co/KSemzn2Mab
19,2022-08-26 08:49:14+00:00,RagnarokMeta,Fancy footwork and pixel boots ftw! https://t.co/IUR9NHEu3c
20,2022-08-25 14:00:38+00:00,RagnarokMeta,Look how happy Lolita is! Could it be that the game has been updated with a new quest? Time to pay her another visit... https://t.co/o0CdbS9jSj https://t.co/mKpwgevn2h
21,2022-08-24 17:01:00+00:00,RagnarokMeta,"Might be time to go and see the chef again, once he's calmed down a bit! https://t.co/lrduft83vF"
22,2022-08-23 17:00:06+00:00,RagnarokMeta,What's his game? https://t.co/Gl1zXN5Jfo
23,2022-08-22 18:57:46+00:00,RagnarokMeta,https://t.co/6zlZfPFcsz
24,2022-08-22 17:00:18+00:00,RagnarokMeta,https://t.co/ZejF0bm3Jb
25,2022-08-20 16:51:17+00:00,RagnarokMeta,*sizzles* https://t.co/QohAiSkoCq
26,2022-08-19 07:05:42+00:00,RagnarokMeta,RT @moffthatwasheld: mine https://t.co/PGGW8aaL6G
27,2022-08-18 21:57:32+00:00,RagnarokMeta,RT @RagZeroBot: Ronin #2764 bought for 0.35Ξ #NFT #RagnarokMeta #RAGMI https://t.co/hmAesNtjfF
28,2022-08-17 17:22:10+00:00,RagnarokMeta,"RT @imn_ashr: Yo! Animation rig test! 
ZIIOOOUUUMM!!
@RagnarokMeta #SEERO #ZeRonin6880 https://t.co/VyHudXtkkN"
29,2022-08-17 05:49:23+00:00,RagnarokMeta,"RT @0xfanfaron: Imagine an open world with dungeons, races, battles and bosses. Mix in shops, trade and activities. The future of the metaR…"
30,2022-08-16 19:39:54+00:00,RagnarokMeta,RT @7777777kel: #NewProfilePic https://t.co/3kwrTGOijB
31,2022-08-15 21:01:00+00:00,RagnarokMeta,UP https://t.co/vbRhHkGHlH
32,2022-08-15 20:16:22+00:00,RagnarokMeta,"RT @CKDimitrii: I just bought new Ronins from @RagnarokMeta 👀
My ape isn't alone anymore.. 
In @0xfanfaron we trust ! https://t.co/zFrHhNhy…"
33,2022-08-14 17:00:24+00:00,RagnarokMeta,xx https://t.co/UooSb0Cf1D
34,2022-08-14 14:42:00+00:00,RagnarokMeta,RT @RagZeroBot: Ronin #86 bought for 4.2069Ξ #NFT #RagnarokMeta #RAGMI https://t.co/dOWKYJkWaw
35,2022-08-11 20:05:55+00:00,RagnarokMeta,RT @RagZeroBot: Ronin #1209 bought for 2.5Ξ #NFT #RagnarokMeta #RAGMI https://t.co/eRdbuttNdx
36,2022-08-11 17:01:18+00:00,RagnarokMeta,"WIN - your NFT as a custom manga illustration!

To Enter:
♦️ RT, Like &amp; Follow.
♦️ Post your NFT in the comments with a description of how you'd like to see it illustrated.

You have 24hrs! https://t.co/2WazLZGYy7"
