,Time,User,Tweet
0,2022-09-15 07:14:16+00:00,RumbleKongs,W https://t.co/6haY7s7iBO
1,2022-09-15 06:05:11+00:00,RumbleKongs,RT @Coyn112: Getting the matching bandanas on my Kong and Rookie👌@RumbleKongs #NFTs https://t.co/DX3Mk8qRNb
2,2022-09-14 20:25:14+00:00,RumbleKongs,"RT @rumbleclubs: So HUGE NEWS  @RumbleKongs  today gave up elements of the Game Design Document.

The full document is a must read for all…"
3,2022-09-14 19:03:41+00:00,RumbleKongs,"Wen Gameplay...No Seriously Wen?!

In this detailed article from RKL Co-Founder @direkkt, he dives into:

🏀 - Gameplay Mechanics 
🦍 - Kong AI &amp; Abilities
📑 - Opening up the GDD

So sit back, grab a coffee &amp; digest all this #KONGSTRONG content! 👇

https://t.co/0B5Vbk0vYj https://t.co/9XCcaOpoZr"
4,2022-09-14 14:39:47+00:00,RumbleKongs,RT @kidbrave_: Incredibly stoked to join @RumbleKongs as their Chief Brand Officer. What this team has been building is simply incredible a…
5,2022-09-14 13:34:57+00:00,RumbleKongs,"New staff have arrived at the Rumble Kong League.

Pooling together talent from brands such as @Nike, @Ubisoft  &amp; @King_Games, we welcome some new faces!🤝

This brings us to 35+ people working daily on RKL

Let's give them a BIG #WEAREKONG welcome below👇 https://t.co/ueuRqnKykO"
6,2022-09-14 11:20:39+00:00,RumbleKongs,@GreatKongClub Gm ☕️
7,2022-09-13 21:35:23+00:00,RumbleKongs,"RT @Versace_Icons: Something’s new on the @RumbleKongs website. 

🤔🤔🤔 https://t.co/NKp40ih88Q"
8,2022-09-13 18:26:57+00:00,RumbleKongs,RT @ItsMatt23NFTs: Final 2 of 5 rooks just revealed @RumbleKongs 🦍🏀 🚀💎👐🏼 https://t.co/PBodr70MPH
9,2022-09-13 12:41:08+00:00,RumbleKongs,RT @GreatKongClub: Gm☀️🏆 https://t.co/qcXDZCpvZ9
