,Time,User,Tweet
0,2022-09-15 04:59:54+00:00,RealSupDucks,@SupChipAnderson SUP!!! @TylerGary
1,2022-09-15 04:05:58+00:00,RealSupDucks,@RachelWolchin @ETHGlobal Sup!!
2,2022-09-14 20:16:44+00:00,RealSupDucks,RT @SupChipAnderson: ⚡️ We are excited to announce that @JunkYardDogsNFT have offered us 25 mint list spots for their upcoming Voxel Ascens…
3,2022-09-14 17:30:12+00:00,RealSupDucks,"🚨 ENDING TMR! 🚨 9/15
WINNERS ANNOUNCED LIVE 
ON STREAM!

Here! 👇🏼
https://t.co/Ap3jzrwFkD https://t.co/RG0tjMqckx"
4,2022-09-13 20:54:27+00:00,RealSupDucks,@SupChipAnderson @jennifer_sutto @jennifer_sutto 🤝
5,2022-09-13 17:48:12+00:00,RealSupDucks,@georgijeh @realsupducksbot @opensea @ethereum @GlobalNftCentre @Globalnft02 @GlobalNFTMart Sup
6,2022-09-13 17:39:05+00:00,RealSupDucks,"RT @SupChipAnderson: 🚨 There may or may not be some EXCLUSIVE giveaways happening inside of our 
monthly newsletter!

https://t.co/uQcaK9KR…"
7,2022-09-13 06:24:29+00:00,RealSupDucks,@justlimp That’s what’s sup
8,2022-09-12 23:01:18+00:00,RealSupDucks,@SupChipAnderson SUP! Join live now!
9,2022-09-12 23:00:35+00:00,RealSupDucks,RT @SupChipAnderson: https://t.co/osYliCnfET
10,2022-09-12 21:38:40+00:00,RealSupDucks,"RT @SupChipAnderson: Keep on’ Suppin! ⚡️

All the details! + Links👇🏼
https://t.co/CSMAhu5ykH https://t.co/fv1EkhFhYI"
11,2022-09-12 19:50:12+00:00,RealSupDucks,"RT @ogjoshuatree: Sup ducks Community art contest  

 Really stepped outside of my comfort zone for this , I’ve drawn maybe one other sketc…"
12,2022-09-12 18:37:58+00:00,RealSupDucks,RT @SupChipAnderson: https://t.co/L8PCnKBjBg https://t.co/4ihYFLt51z
13,2022-09-12 15:52:05+00:00,RealSupDucks,RT @YourFavWhiteMex: https://t.co/mpr205o8Lh https://t.co/nUVwZRy8xO
14,2022-09-10 01:24:06+00:00,RealSupDucks,@CaptainMatic @justinshenkarow LDG 🦆
15,2022-09-10 01:04:38+00:00,RealSupDucks,@stage4duncan @SupChipAnderson @AustinxHare SUP!
16,2022-09-09 22:34:49+00:00,RealSupDucks,"RT @SupChipAnderson: Introducing $Volt 2.0!!! ⚡️ 🦆
...................
Details on the upgrade can be found here! 👇🏼

https://t.co/mhsgs61BS…"
17,2022-09-09 21:31:02+00:00,RealSupDucks,RT @jdnfts: Another strong community is the @RealSupDucks! Love their movement and the art! Just had to pick up a Trippy Duck with a 0.83%…
18,2022-09-09 19:38:59+00:00,RealSupDucks,"Sign up via SMS or Telegram!

HERE:
https://t.co/yS9gpglbOW https://t.co/i1le20RwtG"
19,2022-09-09 19:01:06+00:00,RealSupDucks,"RT @SupChipAnderson: Guide on How-To Animate your 
Crypto SupDucks! ✅

LIVE ON YOUTUBE!!! 
[ Tag us on Twitter &amp; all completed pixel ducks…"
20,2022-09-09 18:46:25+00:00,RealSupDucks,RT @_lerbz: #NewNFTProfilePic NFT by @RealSupDucks https://t.co/acSTtp1sKh
21,2022-09-09 18:39:27+00:00,RealSupDucks,@SupChipAnderson @CaptainMatic That's What's SUP...
22,2022-09-09 17:51:14+00:00,RealSupDucks,"RT @CaptainMatic: Week 13 “Sup in the pond” let’s get it 🦆🦆🦆 

@RealSupDucks  @SupChipAnderson  @rickyinthepond  

https://t.co/XfdBPMh4Bg"
23,2022-09-09 01:44:02+00:00,RealSupDucks,RT @Bugsyrocks1: Post 1 of 2! I have been so excited I recently joined the @RealSupDucks Community. @frankynines Supducks have always been…
24,2022-09-08 22:58:51+00:00,RealSupDucks,"RT @SupChipAnderson: 🚨 WHAT'S SUP! 
W/ @AustinxHare 

Watch as he gives you a run down for the week of 9/5!

What's new in the pond?! 👇🏼
ht…"
25,2022-09-08 21:27:40+00:00,RealSupDucks,"RT @CaptainMatic: @SupChipAnderson @RealSupDucks Lol I suck at trying to draw Chip 🤫 

Hats off to @frankynines  for his sick style man! I…"
26,2022-09-08 21:26:09+00:00,RealSupDucks,"RT @PaulDimalanta: Community Art Contest 

Beware of Karate Dogg

@RealSupDucks 
@SupChipAnderson 
#supducks https://t.co/dK1uKJdt4B"
27,2022-09-08 17:45:40+00:00,RealSupDucks,RT @internethokage: Thank you @RealSupDucks for creating a platform the community can participate in so seamlessly! It was a joy and honor…
28,2022-09-07 22:17:15+00:00,RealSupDucks,@SupChipAnderson @JaduAVAs That’s what’s sup
29,2022-09-07 21:25:19+00:00,RealSupDucks,@kimvoslice @frankynines @veefriends @garyvee Sup!!!
30,2022-09-07 21:12:35+00:00,RealSupDucks,"RT @SupChipAnderson: SUPTEMBER! ART CONTEST! 🎨

🚨 We wanna see how creative you can get!!! 

[ DRAW or CREATE ]
what you think happens afte…"
