,Time,User,Tweet
0,2022-09-06 01:22:49+00:00,TRONHAPEPRIME,RT @TronixTrx: Never sell #TRON 💎🤚 https://t.co/Gdbn2G5wBL
1,2022-09-04 08:51:59+00:00,TRONHAPEPRIME,RT @CryptoPatty: #tron Daily TRX/USDT triangle...coming really close to the end...When moon? #trx https://t.co/4nfobX8lnQ
2,2022-09-04 08:51:01+00:00,TRONHAPEPRIME,"RT @TRXSquad: If you believe #USDD minting can send #Tron #TRX to $1 by EOY, RT. 🚀🤔"
3,2022-09-04 08:50:55+00:00,TRONHAPEPRIME,"RT @TronixTrx: According to @coinmetrics, #TRON ranks first in the number of transactions per second ahead of #XLM, #ETH, #XRP, and #BTC 🔥…"
4,2022-08-30 00:45:58+00:00,TRONHAPEPRIME,RT @TronixTrx: #TRON network consumed power equivalent to 15 U.S. households in a year 💚 https://t.co/P2GrWjNfLK
5,2022-08-26 01:46:49+00:00,TRONHAPEPRIME,"RT @apenftorg: Make sure you're ready to take your shot when the #NFT market bounces back 😆🏓

#APENFT https://t.co/WAt5mZn4YV"
6,2022-08-26 01:46:32+00:00,TRONHAPEPRIME,"RT @TRONSCAN_ORG: 🔥Total Value Locked(#TVL) in #TRON #DeFi Ecosystem are all growing today! 

🥳@DeFi_JUST #JustLendDao ranks TOP 1 with the…"
7,2022-08-25 03:58:37+00:00,TRONHAPEPRIME,"RT @trondao: ✅ Check out this official Crypto Carbon Ratings Institute (CCRI) report on #TRON’s carbon footprint. 👣 

We are proud to be a…"
8,2022-08-15 05:28:32+00:00,TRONHAPEPRIME,"The girls are doing another giveaway!
 https://t.co/CpGuZzT7ny

#TRON #APENFT #APENFTMktplace #TRX #NFTs #NFTcommunity #NFTProjects #world #women"
9,2022-08-11 03:32:00+00:00,TRONHAPEPRIME,RT @trondao: 🧐#FACTs talk. #TRON works. Simple as that.💪
10,2022-08-10 12:09:12+00:00,TRONHAPEPRIME,"RT @apenftorg: Excited to announce that #APENFT will officially support the #ETH 2.0 merge &amp; potential hard fork. 🚀

We are the first Decen…"
11,2022-08-10 00:22:54+00:00,TRONHAPEPRIME,"RT @trondao: 🤗Happy to see that #TRON blockchain is bringing convenient and efficient services to more and more users.

🚀In #TRON we trust!…"
