,Time,User,Tweet
0,2022-09-13 19:00:10+00:00,TownStarGame,"Town Star Tip Tuesday! 🌟 

Roads have 2 main purposes. To allow you to place buildings and to make quicker paths for your workers. Learn all about roads and how to use them below! 👇 
https://t.co/eIZjmYhhYA https://t.co/fUbrjk9O0f"
1,2022-09-13 17:35:53+00:00,TownStarGame,@Galadiator888 @888InnerCircle https://t.co/ogqs18E3EA
2,2022-09-12 19:09:10+00:00,TownStarGame,Just under 1 hour until the Paved Roads bundle arrives in the #TownStar store! 🌟 https://t.co/C7wK3BOhTy
3,2022-09-11 15:56:24+00:00,TownStarGame,"Tired of saving up cash for paved roads to build a power plant? Well guess what!

A bundle of 5 Paved Roads will be in the Town Star Store on Monday, September 12th! 🌟

For more info check out the #TownStar announcement in the @GoGalaGames
 discord server https://t.co/RA0oRHDyOr https://t.co/qkVN6sCUEJ"
4,2022-09-09 15:00:59+00:00,TownStarGame,Come join us in 30 minutes and say hi! ✨ https://t.co/mN0C2O9Q5Z
5,2022-09-08 21:35:51+00:00,TownStarGame,"It’s that time of the week again! 🌟

Join us tomorrow for our weekly AMA to find out what’s happening in the world of #TownStar!

When: Friday at 8:30am PST
Where: https://t.co/RA0oRHDyOr https://t.co/ecRObtEi3O"
6,2022-09-08 04:50:41+00:00,TownStarGame,"RT @GoGalaGames: Is it that time of year already? 🎃

For a Common Pumpkin Storage, play at least 10 separate days in September, completed 1…"
7,2022-09-06 21:27:47+00:00,TownStarGame,"Last weeks AMA is now up on the @GoGalaGames  YouTube channel! If you didn't manage to tune into last Fridays #TownStar AMA live, now is your chance to catch up on what you missed! 🌟

https://t.co/IXXbAa8VAI https://t.co/bLgWz4C48D"
8,2022-09-06 20:08:18+00:00,TownStarGame,"Town Star Tip Tuesday! 🌟 

Nobody works for free! Learn everything you need to know about how to manage your wages efficiently in the guide below! 👇 
https://t.co/fEHZELKQWD https://t.co/2lQ2dlkgUL"
9,2022-09-06 10:52:07+00:00,TownStarGame,@p2erodactyl https://t.co/UlDxLVLa0o
10,2022-09-05 18:42:54+00:00,TownStarGame,"Happy Labor Day to all our friends in the US! 🌟 Due to today being a holiday in the US, this weeks #TownStar changes will be live Tuesday morning (PST)! 🌟

Don’t forget to add any questions you have for our Friday AMAs to the form below! 🤩 

https://t.co/hHQa6j11FA"
11,2022-09-04 19:30:33+00:00,TownStarGame,"If you were to drink the wine you make in #TownStar, which wine would you make? 🍇"
12,2022-09-03 20:04:43+00:00,TownStarGame,"🌟 This weeks competition/meta details! 🌟

✨New Craft - Food Parcel!
- 3 Baguettes
- 2 Jam
- 1 Honey
30s craft speed

✨New Building - Boxing Facility!
Build materials:
- 10 wood
- 10 lumber
- 10 energy
90s build time

For more info head to our discord: https://t.co/RA0oRHDyOr"
13,2022-09-02 15:00:27+00:00,TownStarGame,30 minutes until todays AMA! 🌟 https://t.co/M9MAgCg2pK
14,2022-09-01 19:49:21+00:00,TownStarGame,"Come get your weekly #TownStar updates by joining us for tomorrows AMA in the @GoGalaGames discord server! 🌟

When: Friday at 8:30am PST
Where: https://t.co/RA0oRHDyOr https://t.co/DKd7vIK8yZ"
15,2022-08-31 20:31:31+00:00,TownStarGame,"During last Fridays AMA some more of the #TownStar team came to say hi. In case you didn’t manage to catch it live, it’s now up on the @GoGalaGames YouTube channel! 🌟

https://t.co/aSn6xXihZ2 https://t.co/tkdhiNAyLZ"
16,2022-08-30 19:46:55+00:00,TownStarGame,"Town Star Tip Tuesday! 🌟 

Ever wanted to be an egg farmer? Well now is your chance! Find out exactly how to below! 👇 
https://t.co/KpyzugYLwd https://t.co/d5mA3OTSt6"
17,2022-08-29 19:00:39+00:00,TownStarGame,Only one hour left until this ancient light emerges in store! 🌟 https://t.co/8agaxteA1M
18,2022-08-28 19:36:48+00:00,TownStarGame,"Hope everyone is having a great Sunday or Monday depending on where you are in the world! 🌟💛

If you have any questions you would like the #TownStar team to answer in our weekly AMAs, feel free to drop them in the form below! 

https://t.co/hHQa6j11FA"
19,2022-08-27 18:49:34+00:00,TownStarGame,"Tired of all that shade from mountains and buildings?

🌟 A bright light will shine from the Town Star store on Monday, August 29th! 🌟

For more info check out the #TownStar announcement in the @GoGalaGames discord server: https://t.co/RA0oRHlXpR https://t.co/NhcYngSSr6"
20,2022-08-26 15:47:31+00:00,TownStarGame,Another leak! 👀🌟 https://t.co/BcIkymu8eB
21,2022-08-26 15:01:40+00:00,TownStarGame,Come meet some more of our amazing team in 30 minutes! 🌟 https://t.co/4ggBlnFmcs
22,2022-08-25 20:34:33+00:00,TownStarGame,"We have some more of the #TownStar team coming to chat tomorrow! Join us in the @GoGalaGames discord and come say hi! 🌟

When: Friday at 8:30am PST
Where: https://t.co/RA0oRHE6DZ https://t.co/ktmG0MhzDA"
23,2022-08-24 19:15:38+00:00,TownStarGame,https://t.co/XCDd7o73Hs
24,2022-08-24 19:15:34+00:00,TownStarGame,Tell me you're a competitive Town Star player without telling me you're a competitive Town Star player. I’ll go first … 👇
25,2022-08-23 19:00:16+00:00,TownStarGame,"Town Star Tip Tuesday! 🌟 

Understanding how to make the most of your natural resources is key to setting up your town for success! Read to guide below to learn how! 👇
https://t.co/OBkpAjJY7C https://t.co/bF7jmhMMGO"
26,2022-08-23 12:00:10+00:00,TownStarGame,"🌟This weeks competition/ meta details! 🌟

Fabric Box:
 - 1 Wooden Box
 - 3 Uniforms
 - 1 Wax
40s craft time

Wooden Box:
 - 1 Lumber
 - 2 Wood
 - 2 Energy
25s craft time

🌟 Proximity effect is now in game!

For more info head to our discord: https://t.co/RA0oRHDyOr"
27,2022-08-23 06:03:13+00:00,TownStarGame,"To catch up on last weeks #TownStar AMA head to the @GoGalaGames YouTube channel! 🌟

https://t.co/MyhbQ7gtdk https://t.co/D5wfsiv1ch"
28,2022-08-22 19:31:07+00:00,TownStarGame,30 minutes until the Epic Wine Cellar arrives in the store! 🍇 https://t.co/n7LShLsz84
