,Time,User,Tweet
0,2022-09-14 15:26:42+00:00,zipcy88,"RT @NFT_Avant_Garde: 🔥HA X SN Giveaway🔥  

Our long-awaited official website is finally here! 
[https://t.co/jO5CCYXVyo]

We have more wher…"
1,2022-09-14 15:25:36+00:00,zipcy88,@Elle_0x GN💜
2,2022-09-14 14:42:18+00:00,zipcy88,@zipcy8888 @SNCollabs WOWOWOWOWOWO!!!!!💜
3,2022-09-14 14:42:04+00:00,zipcy88,"RT @zipcy8888: &lt;🎁SuperNormal Mystery Box💐&gt;

Mystery Box will be claimable for all @ZIPCY8888 holders in October. Any unclaimed Mystery Boxe…"
4,2022-09-14 14:42:03+00:00,zipcy88,"RT @zipcy8888: The number of Mystery Boxes you can free claim is equal to the number of ZIPS own🎁

The rumor has it that the Mystery Box is…"
5,2022-09-14 06:22:31+00:00,zipcy88,"RT @GreatCarls: #8bitZIPS #4118
Dear, 
@Creati0exnihil0 
 
Welcome to the 8bitZIPS Gang 🫰
Dice Dice 🎲🎲 Check her full body version below 👇…"
6,2022-09-14 06:21:59+00:00,zipcy88,@Elle_0x GA!
7,2022-09-14 06:21:49+00:00,zipcy88,@Elle_0x Pink eyes
8,2022-09-13 02:54:05+00:00,zipcy88,@Elle_0x ❤️❤️
9,2022-09-12 01:01:41+00:00,zipcy88,@Lepop_kalu @Kakarot @zipcy8888 ❤️
10,2022-09-12 01:01:24+00:00,zipcy88,@Elle_0x GM❤️
11,2022-09-12 01:01:10+00:00,zipcy88,@Elle_0x Deep ✨
12,2022-09-11 11:01:17+00:00,zipcy88,@Elle_0x GE❤️
13,2022-09-09 08:54:27+00:00,zipcy88,모두 해피추석🥰 https://t.co/dAZGTTiQ8j
14,2022-09-09 08:52:57+00:00,zipcy88,@Elle_0x GA❤️
15,2022-09-09 08:52:12+00:00,zipcy88,@GaryGeck @zipcy8888 🥰❤️🥰❤️
16,2022-09-08 04:09:48+00:00,zipcy88,@Elle_0x 🫢🫢🫢🫢🫢
17,2022-09-07 23:39:36+00:00,zipcy88,@andrewchoi5 @zipcy8888 ✨✨✨✨✨✨✨✨
18,2022-09-06 07:07:46+00:00,zipcy88,"RT @zipcy8888: [SuperNormal @NFTArtTokyo]
Our SuperNormal team will attend the 2nd NFT ART TOKYO in Shibuya, Japan. Come join us on Sep. 29…"
19,2022-09-05 09:44:22+00:00,zipcy88,"RT @zipcy8888: [ SuperNormal X Worldwide Webb 3 ] 
Welcome to the Metaverse.
Launching Today.

Share your Webb gameplay below⬇️
🚀#SuperNorm…"
20,2022-09-05 09:43:33+00:00,zipcy88,@Elle_0x GE 🥰❤️
21,2022-09-04 13:50:19+00:00,zipcy88,"RT @paruparuke: #Zipcy8888 #SuperNormal #NFT
My recent favorites🥰

SuperNormal NFT
先日のAMAの内容をNOTEに記載しました。
https://t.co/XP0nrYYJp1 https://t…"
22,2022-09-04 13:50:05+00:00,zipcy88,@diana_bnb 🥰❤️🥰❤️
