,Time,User,Tweet
0,2022-09-13 23:32:15+00:00,absquigglebot,"Chromie Squiggle #5559 was purchased for 20.00 $ETH ($31,645.4 USD) by https://t.co/hArnUvVMVi from https://t.co/vpEu3GX8az

Spectrum: Normal

https://t.co/VinsNeMBaf https://t.co/juRVcFhUlf"
1,2022-09-13 23:00:44+00:00,absquigglebot,"Chromie Squiggle #9082 was purchased for 16.00 $ETH ($25,470.24 USD) by https://t.co/4a1zmrclmW from https://t.co/bIiSdMxuLH

Spectrum: Normal

https://t.co/Os4oQmhlC3 https://t.co/RXkYxvlWaS"
2,2022-09-13 20:04:05+00:00,absquigglebot,"Chromie Squiggle #2351 was purchased for 13.69 $ETH ($21,967.93 USD) by https://t.co/j8hgONAP9X from https://t.co/7gVeEkUDb6

Spectrum: Normal

https://t.co/OHlpG48qIB https://t.co/X0dJoerkpp"
3,2022-09-13 00:27:54+00:00,absquigglebot,"Chromie Squiggle #4269 was purchased for 12.00 $ETH ($20,554.44 USD) by https://t.co/Tj7GZjhTrI from https://t.co/Uy021Iz4aB

Spectrum: Normal

https://t.co/MHRjNQ66mh https://t.co/uOBRJNeDrE"
4,2022-09-12 22:47:58+00:00,absquigglebot,"Chromie Squiggle #8223 was purchased for 12.00 $ETH ($20,532.48 USD) by https://t.co/F9Rm15WTpA from https://t.co/18tAWpDRAC

Spectrum: Normal

https://t.co/M9ca9Ce1rJ https://t.co/VIvculh2sZ"
5,2022-09-12 16:42:45+00:00,absquigglebot,"Chromie Squiggle #5496 was purchased for 12.87 $ETH ($21,986.72 USD) by https://t.co/fqzNxMzGYU from https://t.co/gbsHZsowFR

Spectrum: Normal

https://t.co/to1kbLoFAh https://t.co/JcaAUAS68M"
6,2022-09-12 15:50:44+00:00,absquigglebot,"Chromie Squiggle #1330 was purchased for 11.00 $ETH ($19,045.95 USD) by https://t.co/axVNKE0z16 from https://t.co/IB0c3d921E

Spectrum: Normal

https://t.co/LDzlwsxq5r https://t.co/gKJnuvyI98"
7,2022-09-12 11:40:56+00:00,absquigglebot,"Chromie Squiggle #1338 was purchased for 11.00 $ETH ($19,179.6 USD) by https://t.co/2JbuLV6Rmj from https://t.co/kVnG5B94Fk

Spectrum: Normal

https://t.co/OFWxeNccfU https://t.co/vySaxkqYpN"
8,2022-09-12 09:51:21+00:00,absquigglebot,"Chromie Squiggle #9619 was purchased for 10.40 $ETH ($18,228.39 USD) by https://t.co/0tGNGok08e from https://t.co/5sgaxkhlPe

Spectrum: Normal

https://t.co/iJf4o18k7x https://t.co/ny3ysFac4C"
9,2022-09-11 19:44:21+00:00,absquigglebot,"Chromie Squiggle #5391 was purchased for 12.50 $WETH ($22,067.75 USD) by https://t.co/Tj7GZjhTrI from https://t.co/PVvwQ0KFvo

Spectrum: Normal

https://t.co/0Ha9nuDk9D https://t.co/6NTc5Tpp99"
