,Time,User,Tweet
0,2022-09-15 04:07:52+00:00,alienfrens,@sethbennett01 OLU shooter is clean 📸
1,2022-09-15 02:38:42+00:00,alienfrens,Nice UFOS fren 🛸🛸 https://t.co/7g27H10CCk
2,2022-09-14 15:45:45+00:00,alienfrens,"RT @NFTizThaFuture: You know me by now guys, I can’t stand seeing a sick NFT on the floor… So I just had to buy this OG @alienfrens the sec…"
3,2022-09-14 13:51:42+00:00,alienfrens,@0x_minifridge Feelin cheesy
4,2022-09-14 00:30:11+00:00,alienfrens,"RT @Eljaboom: I had an interview yesterday and I spoke alot about @alienfrens and @_masoncrowe 
How they supported their community and onbo…"
5,2022-09-13 19:17:45+00:00,alienfrens,"6/6

To apply, send all 5 qualifications to:

photography@alienfrens.io

Use this subject line:  September Photo Mission

Application deadline: Sunday, Sept. 18 at 9 am PST

We’re excited to have you onboard - let’s shoot! 📸"
6,2022-09-13 19:17:45+00:00,alienfrens,"5/6

…a CONCEPT write-up for the following topic: Frenship or Space or Aliens
- Be creative
- Be detailed
- Be passionate
- Be original
- Be amazing

Your concept matters A LOT!"
7,2022-09-13 19:17:44+00:00,alienfrens,"4/6

To qualify please provide:
1. Your wallet with your OG AF or camera trait AFE in it
2. A list of your camera gear
3. A link to your portfolio
4. Your social handles
5. And…"
8,2022-09-13 19:17:43+00:00,alienfrens,"3/6

In September, we are commissioning one more fren to go on a photo mission.

This month’s commission amount: $1,000 USD 👀

Use it to upgrade your gear, purchase props, make travel plans, or pocket it!

Bonus: We’re also buying 3 photo NFTs for purchase in the marketplace 😊"
9,2022-09-13 19:17:43+00:00,alienfrens,"2/6

Each month, we’re commissioning @alienfrens photographers to create original photography for sale in the Frens Marketplace. 
Photos are purchased via Fren Coin and included in the Frens Originals collection. 
Purchasers receive a large print of their photo shipped worldwide!"
10,2022-09-13 19:17:42+00:00,alienfrens,"You’ve heard about the new @alienfrensphoto missions - now be the first one to collect! 🖖

“Invasion” by @glennleerob is available for purchase in the Frens Marketplace 📸

Now… let’s get YOU involved! Here’s how 👇🧵 (1/6) https://t.co/Nfv8Gg437T"
11,2022-09-13 19:11:39+00:00,alienfrens,"RT @ajseer_: I’m joining @glennleerob with @alienfrens weekly beam🛸@SeanOhio_ @PapetheGreat 
https://t.co/OKpgFZ9xDF"
12,2022-09-13 19:00:47+00:00,alienfrens,https://t.co/Lc5jdmZh6P
13,2022-09-13 17:20:12+00:00,alienfrens,"Come join us for the Weekly beam where we will be talking about the following🖖

- @alienfrensphoto 
- Marketplace Restock 
- welcoming new frens
- frens fest 
And more 💚

https://t.co/Lc5jdmZh6P"
14,2022-09-13 17:15:41+00:00,alienfrens,@Eljaboom 💰👄💰
15,2022-09-13 04:11:16+00:00,alienfrens,"RT @Cain_Beaudoin: I tried 😅, hopefully better next time, @alienfrens Aj1 custom https://t.co/xQbvouFsKS"
16,2022-09-13 03:04:17+00:00,alienfrens,RT @0Rhym: Couldn't resist buying this fellow @alienfrens https://t.co/RsJJJVebkX
17,2022-09-13 01:32:01+00:00,alienfrens,RT @mXc3344: Just bought me a new ufo and entered in a few of the dope raffles on @alienfrens marketplace.. website is so well done I encou…
18,2022-09-12 22:05:45+00:00,alienfrens,RT @PapetheGreat: Few of my favorite Market restock items 👀 https://t.co/CCo6KKDbHv
19,2022-09-12 21:59:09+00:00,alienfrens,"The Marketplace has just been restocked with new NFTs, Custom Items and Experiences 💚

We have also added the following:

- Fren Coin Official Calculator

- Fren Coin Leaderboards

What would you like to see in the future? 🖖 https://t.co/FfjRC5D5sv"
20,2022-09-12 16:17:00+00:00,alienfrens,@FrensCharity @CrohnsColitisFn @Fren_Blen @quirkiesnft @3LandersNFT @BalloontownNFT @ajv @FrensPoker @vspass @cerealclubnft @thatjasonrice 💚
21,2022-09-12 15:57:16+00:00,alienfrens,RT @_masoncrowe: Should we restock the marketplace this week?
22,2022-09-12 15:52:37+00:00,alienfrens,"When traveling the universe it’s always gm. 

Nonetheless gm to earthlings 💚🖖"
23,2022-09-11 19:24:55+00:00,alienfrens,@theguy1894 🔥🔥🔥
24,2022-09-11 17:29:10+00:00,alienfrens,These are amazing. https://t.co/hfcwzb5rrm
25,2022-09-11 17:28:49+00:00,alienfrens,"RT @rocsolmiami: Today I introduced my students to the world of @alienfrens and had them create their own frens, attributes and stories let…"
26,2022-09-11 14:33:42+00:00,alienfrens,GM https://t.co/KKxsh7llDI
27,2022-09-11 02:43:41+00:00,alienfrens,RT @lostinthesaurce: My free @alienfrens shirt arrived today! Love the quality and especially appreciated the biodegradable bag it came in.…
28,2022-09-11 01:14:14+00:00,alienfrens,RT @JonStevens_5: Thanks @alienfrens for the FREE @coolcatsnft . Can’t believe what just holding @alienfrens and earning fren coin gets me…
29,2022-09-10 22:16:14+00:00,alienfrens,RT @FrensCharity: https://t.co/ijqi9Gssef
30,2022-09-10 21:53:26+00:00,alienfrens,"RT @violetobjects: Life imitates art.
Feelin like my @alienfrens--how'd I do @_masoncrowe?

Can't wait to meet and make new frens irl at @T…"
31,2022-09-10 21:11:12+00:00,alienfrens,"We haven’t asked this in awhile..

Is you FREN yet?"
32,2022-09-10 19:28:47+00:00,alienfrens,RT @venncit: The great vibe of @alienfrens had to get me another fren. 🛸⚔️ https://t.co/yZvPb6fNpE
33,2022-09-10 14:15:27+00:00,alienfrens,This frens ready to go on a mission 💫 https://t.co/75MvxFltUy
34,2022-09-10 13:29:23+00:00,alienfrens,RT @0xShades: thanks for the gift @alienfrens! tho someone other than me has already gotten real cozy with it lol https://t.co/vIplKtY9Jp
35,2022-09-10 02:30:15+00:00,alienfrens,🟩🟨🟪🟥 https://t.co/q1SYulXp1W
36,2022-09-09 22:31:18+00:00,alienfrens,"RT @SeanOhio_: the @FrensCharity poker tournament is tomorrow. 

check their account for details. 

Thanks to all the other communities tha…"
37,2022-09-09 20:33:22+00:00,alienfrens,Video created by @roboticowboy_
38,2022-09-09 20:30:17+00:00,alienfrens,"The FrenCoin Marketplace is open for business 💚

https://t.co/bCJ61DdlTO https://t.co/Q7nsNHEIfg"
39,2022-09-09 19:56:32+00:00,alienfrens,RT @bnar88: Mystic Clouds best @alienfrens evo trait change my mind! https://t.co/Qes112Qzvg
40,2022-09-09 19:38:05+00:00,alienfrens,RT @beatsbyoptic: #NewProfilePic Just made my biggest purchase yet! So excited to have my forever OLU✊ Bullish on @alienfrens and it’s team…
41,2022-09-09 14:22:38+00:00,alienfrens,RT @Frens_For_Life: Calling ALL Fren Gamers!! We created a group chat and would love for all you gamers to be apart of it! If you play the…
42,2022-09-09 13:09:43+00:00,alienfrens,RT @ohjustjen_: my @alienfrens shirt arrived today 😱✨still hodling 🛸 https://t.co/cOW6knqgyy
43,2022-09-09 01:28:48+00:00,alienfrens,RT @Zachkag: Yoooo shout out to one of my favorite artist in our space @OGRE_3D !! I just got home from a long day of work to find my Ogre…
44,2022-09-08 15:21:52+00:00,alienfrens,RT @EM22nft: Got dropped this @RENGA_inc Black Box from the @alienfrens Marketplace for free—just for holding my Frens! Love this amazing t…
45,2022-09-08 13:19:17+00:00,alienfrens,@VictorBirkeland @theguy1894 Wen 👀
46,2022-09-08 13:09:33+00:00,alienfrens,"RT @artofmar: My loving, generous BF @DoctorRigid just hooked me up with a whole @alienfrens set! https://t.co/P9GyGmZy1h"
47,2022-09-08 02:46:08+00:00,alienfrens,"RT @astrosdimension: Messing around altering old paintings by dubbing my 
@alienfrens over the top - some weird and wonderful 1920's alien…"
48,2022-09-07 23:54:22+00:00,alienfrens,"RT @alienfrensphoto: Let’s talk photography, NFTs, and today’s news 👀 https://t.co/rWsIaWlRls"
49,2022-09-07 22:51:22+00:00,alienfrens,RT @Juicemanzadeh: GMGM @alienfrens 🖖💚 https://t.co/ye6nJqMwvC
50,2022-09-07 21:03:15+00:00,alienfrens,"RT @whami_eth: just picked up a femi to complete my @alienfrens frenslam... I let mine go during the first run on NYE, so it was about time…"
51,2022-09-07 18:19:53+00:00,alienfrens,"RT @alienfrensphoto: Calling all NFT photographers! A new adventure is waiting for YOU with @alienfrens 🥾📸🖖 

@glennleerob takes us on the…"
52,2022-09-07 17:51:43+00:00,alienfrens,"RT @_masoncrowe: It’s been 4 years since we lost a great mind and soul. 

Rip to mac Miller who will live on forever in our hearts 💚🖖 https…"
53,2022-09-07 15:34:49+00:00,alienfrens,GM if you fren
54,2022-09-07 13:28:34+00:00,alienfrens,RT @moody_marv: Woke up. Bought another @alienfrens UFO. Sent to my @Ledger and stacking coin 🫡❤️ 🛸 https://t.co/j7Qc1MtqvY
55,2022-09-07 03:51:48+00:00,alienfrens,"RT @lumpycatnft: Used the incubator…got this furry lil guy😧🥳@alienfrens 

#AFE #Yeti #Frens https://t.co/sCkhnY6KK6"
56,2022-09-07 01:01:39+00:00,alienfrens,RT @bblanka81: Hey @MrMetaDad nice beanie bro!! Thanks @alienfrens for dropping me this free beanie fren from the marketplace . https://t.c…
57,2022-09-06 22:38:15+00:00,alienfrens,RT @EshaanAttawala: thank you @alienfrens marketplace for the free femi @_masoncrowe https://t.co/wo0LjNUAHA
58,2022-09-06 22:17:50+00:00,alienfrens,🍦 🍦 🍦🍦 https://t.co/KEeDRkR9mA
59,2022-09-06 21:20:24+00:00,alienfrens,@Net_vampire 🖖🔺
60,2022-09-06 19:39:11+00:00,alienfrens,RT @DarinsDigital: Thank you @alienfrens marketplace for this free fuzzy sweater. Just in time for fall! #WeComeInETH https://t.co/ajAcI6iC…
