,Time,User,Tweet
0,2022-07-24 17:29:43+00:00,autoglyphs,@HeathEvans @CryptoPunk4052 @adamamcbride Autoglyphs are the first on-chain generative art. Read the words carefully. There is absolutely 0 debate here
1,2022-07-04 19:18:27+00:00,autoglyphs,"Autoglyph #376 bought for 248.16 ETH ($278,262) from Keyz by HolyVault. https://t.co/uvQfWdTm1S https://t.co/ImlUauBmg6"
2,2022-07-04 09:11:01+00:00,autoglyphs,"Autoglyph #132 bought for 200 WETH ($209,615) from 0x13f137 by 0xe03664. https://t.co/VarSUXP0f2 https://t.co/xjRuRxZApX"
3,2022-07-01 11:21:28+00:00,autoglyphs,"Autoglyph #294 bought for 190 WETH ($199,966) from Zonked by 0xc02aaa. https://t.co/bOvRT7NT9P https://t.co/Exb89uPlAm"
4,2022-06-13 16:08:00+00:00,autoglyphs,"[Yesterday] Autoglyph #378 bought for 100 ETH ($143,402) from 0x7CFBA52 by ayybee. https://t.co/Osn3pJND4Y https://t.co/8ym8v1aKIb"
5,2022-05-16 06:52:29+00:00,autoglyphs,"Autoglyph #108 bought for 169 ETH ($362,187) from 0xbe3f31 by 0xbrainy. https://t.co/aidmZ0ZkQJ https://t.co/JCp793ew0s"
6,2022-05-12 17:53:18+00:00,autoglyphs,"Autoglyph #317 bought for 199 ETH ($385,355) from tigerwithpaws by Curated_t1. https://t.co/oBZ8ouURTP https://t.co/YRTwz6oWXP"
7,2022-05-08 11:20:28+00:00,autoglyphs,"Autoglyph #209 bought for 175 WETH ($461,158) from 0x0e9aed by internetartcollective.eth. https://t.co/LmpubsuwFZ https://t.co/RKvs3tsnQB"
8,2022-04-30 19:34:12+00:00,autoglyphs,"Autoglyph #292 bought for 177 WETH ($519,758) from 0x18b1f2 by 0xee0bcc. https://t.co/MW2rlZQC9Q https://t.co/RgWDzqH6t0"
9,2022-03-28 16:31:44+00:00,autoglyphs,"Autoglyph #403 bought for 179 WETH ($598,896) from 0xedad6b by TrackstarTR. https://t.co/vzQHifXKDq https://t.co/KYT9sJGfg3"
10,2022-03-28 16:29:29+00:00,autoglyphs,"Autoglyph #409 bought for 172 WETH ($576,953) from 
0xe4c by Curated_t2. https://t.co/AfgjZtedW3 https://t.co/402bsGn62l"
11,2022-03-26 21:49:33+00:00,autoglyphs,"Autoglyph #460 bought for 148 WETH ($417,287) from 
0xe4c by zonted. https://t.co/FxgJu7LvBb https://t.co/hiDdLC4nGo"
12,2022-02-11 20:19:18+00:00,autoglyphs,"Autoglyph #235 bought for 116 WETH ($341,551) from Imdavidbilla by ayybee. https://t.co/kiBu0514wV https://t.co/AEgfhf12TN"
13,2022-02-09 12:15:23+00:00,autoglyphs,"Autoglyph #256 bought for 133 WETH ($419,604) by LoveGreatest from zeveral. https://t.co/75MsUzBqiO https://t.co/evIE38BPLA"
14,2022-01-20 10:11:03+00:00,autoglyphs,"Autoglyph #108 bought for 145 WETH ($456,020) by 0x7338af from fivafiv. https://t.co/aidmZ0ZkQJ https://t.co/Yz1IaLsdyB"
15,2022-01-02 11:52:46+00:00,autoglyphs,"Autoglyph #113 bought for 135 WETH ($505,473) by 0x63426b from fivafiv. https://t.co/GFBFSWVR0J https://t.co/Lwz1GV1xj0"
16,2022-01-01 19:05:28+00:00,autoglyphs,"@aspiring__whale 1) Its creators are Larva Labs - creators of cryptopunks
2) It's among the first generative art NFTs, and certainly the first collection with completely on-chain generation of art (i.e. the art is contained within the smart contract) introducing a new primitive (ahead of its time"
17,2022-01-01 19:02:02+00:00,autoglyphs,"Autoglyph #220 bought for 150 ETH ($562,612) by CollectiveVision from Punk506. https://t.co/lgu2EgQWBB https://t.co/vH6PpP7H1I"
