,Time,User,Tweet
0,2022-09-12 20:03:29+00:00,creatureworld,Thank you for helping us to make this possible @AmericanaNFT
1,2022-09-12 20:03:27+00:00,creatureworld,"THE CREATURE WORLD ARCHIVE SHOW - THIS THURSDAY

“Over the last 4 years, I have completed 42 large scale projects. When stitched together, they tell the story of a boy chasing a dream. All are welcome.” -Danny Cole

SEE YOU THERE! https://t.co/OEKAE5XwLI"
2,2022-09-09 18:23:30+00:00,creatureworld,@harsha_nik @RiNoArt yes!
3,2022-09-09 18:23:16+00:00,creatureworld,@BrownThom @RiNoArt all are welcome!
4,2022-09-09 18:12:40+00:00,creatureworld,@YoshisCrypto @RiNoArt yep!
5,2022-09-09 18:09:22+00:00,creatureworld,"DENVER!

the creature playground will be at the @RiNoArt Art Park today at 6pm and tomorrow at 12pm.

come say hello 🫂 https://t.co/9dWWZL66AV"
6,2022-08-29 04:27:15+00:00,creatureworld,@s17a_xyz this is spectacular 😨
7,2022-08-29 04:24:34+00:00,creatureworld,"RT @s17a_xyz: I’ve waited over 8 months to release this: the interactive web version!

Happy birthday @creatureworld

https://t.co/ddLElv7s…"
8,2022-08-29 00:46:54+00:00,creatureworld,@Luca_Capo96 @dijos__ most fun creatures
9,2022-08-28 23:35:19+00:00,creatureworld,🎂❤️ https://t.co/kLHWxyIInM
10,2022-08-28 23:28:21+00:00,creatureworld,"RT @dannycoleee: 🎂 for the creature world collection’s 1st birthday, please share a special memory about creature world ⬇️"
11,2022-08-28 23:15:43+00:00,creatureworld,🎂🎈 https://t.co/nYWF9edfYU
12,2022-08-23 17:35:29+00:00,creatureworld,"RT @dannycoleee: thank you @Herschelsupply for allowing me to advise and give resources to creatives in NYC 🤲

keep your eye out for my com…"
13,2022-08-19 23:12:17+00:00,creatureworld,"DREAM PAINTING

thanks to @FWBtweets for having us at the fest 🫶 https://t.co/xOo7CiwD0J"
14,2022-08-16 03:12:11+00:00,creatureworld,RT @elonrutberg: Important meetings w/ @dannycoleee @creatureworld https://t.co/ZOR28u1N5D
15,2022-08-08 20:16:16+00:00,creatureworld,RT @0xLawl: New digs 🏡 https://t.co/RuBvbyMXJb
16,2022-08-08 20:13:37+00:00,creatureworld,RT @deonasaurus: Went to the framers today 🖼🤍 @dannycoleee @creatureworld https://t.co/rv3hLcV2x0
17,2022-08-05 01:08:09+00:00,creatureworld,EMBRYO https://t.co/4mMyKUVp78
18,2022-08-04 21:30:35+00:00,creatureworld,LIVE IN 30 🎨
19,2022-08-04 20:08:29+00:00,creatureworld,"RT @creatureworld: FAMILY, LET’S UNITE 🌎
LIVE ON THURSDAY - 6PM EST https://t.co/Sdl9c9AT3L"
20,2022-08-04 19:47:25+00:00,creatureworld,"RT @dannycoleee: going live today at 6pm EST
on https://t.co/Y2xt1g3cLG

let's talk
let's draw
giving out an edition of what I make to crea…"
21,2022-08-03 00:39:23+00:00,creatureworld,https://t.co/kf5XKRPXvl
22,2022-08-03 00:39:23+00:00,creatureworld,"FAMILY, LET’S UNITE 🌎
LIVE ON THURSDAY - 6PM EST https://t.co/Sdl9c9AT3L"
23,2022-08-02 04:13:46+00:00,creatureworld,"RT @Gemini: 1/3 Welcome back to #NewMoneyMondays 😎
 
This week, we’re giving away a @creatureworld Creature #3462 NFT to 1 new or existing…"
24,2022-07-31 05:28:21+00:00,creatureworld,"RT @bobvancecrypto: Peace comes from within. 

We don’t realize it, but somewhere within us all exists a supreme self who only knows peace.…"
25,2022-07-25 02:30:41+00:00,creatureworld,"RT @amber_vittoria: Ok actual gn featuring my two new @creatureworld pieces. Love, love the work of @dannycoleee and am excited that these…"
26,2022-07-20 16:31:05+00:00,creatureworld,RT @itsdaveynft: #NewNFTProfilePic by @creatureworld @dannycoleee https://t.co/6PFoSVdrIq
27,2022-07-19 15:41:02+00:00,creatureworld,"RT @dijos__: the @creatureworld last supper featuring the raincoat gang 🤌🏽

you killed this, king @Olotus5 👑 https://t.co/gn6rP1T2Fm"
28,2022-07-16 16:32:42+00:00,creatureworld,RT @0xMunchkins: Hey guys kinda new here. Just bought my first ethereum NFT. And it’s @creatureworld. Absolutely in love with the art from…
29,2022-07-15 21:49:49+00:00,creatureworld,RT @choopiedoodles: Fren time with bay area creatures 👾@DavidSalin3 @garagesaleyale Thank you for the outdoor art inspiration @dannycoleee…
30,2022-07-13 20:59:00+00:00,creatureworld,Thank you @garyvee for making the creature your first digital collectible on instagram 🫶🌎 https://t.co/iCE0jLrL5k
31,2022-07-11 20:39:36+00:00,creatureworld,RT @kjmeichtry: #NewProfilePic always come back to my @creatureworld PFP 🍅🌍 https://t.co/ixJRts02jb
32,2022-07-09 16:22:01+00:00,creatureworld,"STORE OPEN NOW https://t.co/xSc0wgbcRg

ITEMS THAT WERE OUT OF STOCK DUE TO BOTS ARE NOW RESTOCKED ❤️"
33,2022-07-09 15:03:17+00:00,creatureworld,@3firstnamess 🧨🌻
34,2022-07-09 15:00:32+00:00,creatureworld,"https://t.co/xSc0wgbcRg
12PM EST https://t.co/QNpGhqyShW"
35,2022-07-08 20:35:47+00:00,creatureworld,"RT @tobylasso: @creatureworld Very comfy, much cotton 10/10 https://t.co/3rXiVUsTnz"
36,2022-07-08 16:47:15+00:00,creatureworld,@Dumbledorkyo 👍
37,2022-07-08 16:44:33+00:00,creatureworld,"CREATURE WORLD NYC MINI CAPSULE
SATURDAY JULY 9TH - 12PM EST https://t.co/Tq2BvoreQY"
38,2022-07-02 20:01:44+00:00,creatureworld,"CREATURE WORLD
NYC TOUR 2022 https://t.co/PNRJ9mHQB5"
39,2022-07-01 21:42:58+00:00,creatureworld,"A WINNER HAS BEEN CROWNED 

Thanks for coming :)

Recap tomorrow https://t.co/5GLo7D7glK https://t.co/pyeF1qIUa6"
40,2022-06-29 18:23:35+00:00,creatureworld,"Try sending your new NFT to your main wallet by typing ""NFT transfer"" and following the prompts - no gas required. 

We'll be closing the competition down and selecting a winner on Friday @ 5pm EST. 

Good luck :)"
41,2022-06-29 18:23:34+00:00,creatureworld,"This will create a new @0xPolygon wallet owned by your phone number (you control the keys) where your NFTs will be stored. 

A new, simple and unique way to create NFTs - powered by our friends, @infinitebysuku."
42,2022-06-29 18:23:34+00:00,creatureworld,"Text ""Love"" to +1 570-638-6468 to begin the conversation - submitting a photo will automatically mint it as an NFT that you own to our photo collection on @OpenSea.

We'll be choosing our favorite submission and gifting its owner a free Creature. 

https://t.co/szyKkl14OB"
