,Time,User,Tweet
0,2022-09-13 23:55:24+00:00,cryptoadzNFT,RT @Greta_gremplin: GM! https://t.co/poQNKJy3Sv
1,2022-09-13 14:20:04+00:00,cryptoadzNFT,"RT @pxldon: Asset 1/8 Reveal  👟
""CROAK BIGDADDY SNKRS""

I loved the details of my own creation. 😅
I'm curious to hear what you guys think?…"
2,2022-09-13 01:22:55+00:00,cryptoadzNFT,RT @agreenberg: Who’s the biggest @cryptoadzNFT @gremplin fan? (Besides me) !vibe
3,2022-09-11 14:14:28+00:00,cryptoadzNFT,RT @AnasAbdin: Happy birthday @cryptoadzNFT by @gremplin my heart melts with this amazing cc0 art collection. I hand animated 50 toadz and…
4,2022-09-11 14:13:54+00:00,cryptoadzNFT,"@different__sol !croak

We are lucky to have you a part of our journey! 🫶

🐸💚"
5,2022-09-10 23:26:26+00:00,cryptoadzNFT,RT @Cryptoadz531: I purchased @cryptoadzNFT #531 exactly 1 year ago today. I’m celebrating their 1st Birthday with an ice cream cake from @…
6,2022-09-10 22:57:02+00:00,cryptoadzNFT,RT @bosscat1313: Happy anniversary @cryptoadzNFT 🎉🍾 https://t.co/UUX7dwTJcq
7,2022-09-10 20:25:34+00:00,cryptoadzNFT,"RT @CrypToadettez: Happy birthday to our besties in the swamp @cryptoadzNFT!! A truly inspirational project and supportive community, that…"
8,2022-09-10 19:08:56+00:00,cryptoadzNFT,"RT @pxldon: !croak
Sneak Peek 🐸 https://t.co/nd7b4oy6MS"
9,2022-09-10 19:08:50+00:00,cryptoadzNFT,RT @nftstrategies: Happy anniversary @cryptoadzNFT I will always love you. https://t.co/uUw7UnInAC
10,2022-09-10 14:19:27+00:00,cryptoadzNFT,RT @proofofdarth: Spent the last two weeks mostly offline. Now I’m ready for fall vibes. https://t.co/0tTMmolP6T
11,2022-09-10 12:02:23+00:00,cryptoadzNFT,RT @BTCBob100k: Happy Toadzversary to the entire swamp! Mad love for @gremplin &amp; the @cryptoadzNFT team who gave us the eternal !vibe via C…
12,2022-09-10 12:01:27+00:00,cryptoadzNFT,"@thepropgallery !croak

From our community to her, Happy Birthday!! Keep the !vibe alive 🎂🎉

🐸💚"
13,2022-09-10 11:56:11+00:00,cryptoadzNFT,"RT @buyingyourstops: #NewNFTProfilePic gotta do it for @cryptoadzNFT birthday, forever a !vibe https://t.co/KFL3t03kPu"
14,2022-09-10 11:53:25+00:00,cryptoadzNFT,"RT @OxVodnik: Happy anniversary @cryptoadzNFT 🎉

Toadz for me is something unique in the space and a great example of how many possibilitie…"
15,2022-09-10 11:51:54+00:00,cryptoadzNFT,"RT @messhup: What are you doing honey? 
Chilling with the toadz babe...
Toadz? what toadz?
Me: !vibe https://t.co/mp1WMVW852"
16,2022-09-10 03:28:05+00:00,cryptoadzNFT,"RT @bekircagricelik: if anyone is online rn, I promise you don't want to miss this opportunity to join the @cryptoadzNFT 1 year anniversary…"
17,2022-09-10 03:27:23+00:00,cryptoadzNFT,"RT @lovesoatmilk: dancin', vibin' with the @cryptoadzNFT @decentraland 
Happy anniversary! https://t.co/rnMcQTxvtq"
18,2022-09-10 03:26:54+00:00,cryptoadzNFT,RT @jeantimoine: Happy Bday @cryptoadzNFT🎂🥳!vibe https://t.co/8bEkJVzb0u
