,Time,User,Tweet
0,2022-09-14 05:30:47+00:00,flufworld,"RT @knuxponential: my favorite art I've made with my Thingies so far

""Why is the fountain voracious?"" by #7911 https://t.co/qNArwebK3N"
1,2022-09-14 04:03:01+00:00,flufworld,"We're all one big family here in FLUF World, and so our Māori word of the day today is whānau 👨‍👩‍👧‍👦

Whānau is māori for your extended family. Your friends, family and the people you choose to surround yourself with.

The Fluffle is our whānau! 💕 

#FLUFWorld #TeReoMāori https://t.co/PxRQ2OD35C"
2,2022-09-14 00:36:56+00:00,flufworld,@NoidZWilder @HefSaffa That's why we've put it to the community! Too hard to choose just one 😂
3,2022-09-14 00:17:48+00:00,flufworld,@NoidZWilder We can't say 🤫
4,2022-09-14 00:16:34+00:00,flufworld,"13) Entry 12

#FLUFWorld #LegDay #NFTs https://t.co/NgS3AMFEgk"
5,2022-09-14 00:16:20+00:00,flufworld,"Entry 11

#FLUFWorld #LegDay #NFTs https://t.co/T53FB7j6t0"
6,2022-09-14 00:16:07+00:00,flufworld,"Entry 10

#FLUFWorld #LegDay #NFTs https://t.co/yvpDIS7BSb"
7,2022-09-14 00:15:46+00:00,flufworld,"Entry 9

#FLUFWorld #LegDay #NFTs https://t.co/T7uU2E590O"
8,2022-09-14 00:15:33+00:00,flufworld,"Entry 8

#FLUFWorld #LegDay #NFTs https://t.co/6G7KJ5imql"
9,2022-09-14 00:15:07+00:00,flufworld,"Entry 7

#FLUFWorld #LegDay #NFTs https://t.co/qBeAQPr8Ds"
10,2022-09-14 00:14:53+00:00,flufworld,"Entry 6

#FLUFWorld #LegDay #NFTs https://t.co/07ROX8au7L"
11,2022-09-14 00:14:39+00:00,flufworld,"Entry 5

#FLUFWorld #LegDay #NFTs https://t.co/0glRQsw64v"
12,2022-09-14 00:14:24+00:00,flufworld,"Entry 4

#FLUFWorld #LegDay #NFTs https://t.co/fXc7vXycNs"
