,Time,User,Tweet
0,2022-09-14 07:16:14+00:00,goblintown,ₕₐᵥ yᵤ ₜₒₗd ᵤᵣ gᵣᵤₘₚₗ dₐₜ yᵤ ₗₒᵥ dₑₘ ₜₒdₐy?
1,2022-09-14 07:08:46+00:00,goblintown,"RT @strongNFTea: @math_averse @goblintown This one is Qoo like mine, they are weird but i like them. https://t.co/DPCjmZzL71"
2,2022-09-14 05:53:40+00:00,goblintown,"RT @C6feels: Loving how this is coming together @goblintown, these two 1/1s look great together🫡. Great work on the Grumpl @process_grey 🙏.…"
3,2022-09-14 04:16:06+00:00,goblintown,"RT @autom8ed_eth: wekkum to laazar arbys 

#NewNFTProfilePic https://t.co/67HxyQQajX"
4,2022-09-14 04:04:09+00:00,goblintown,"RT @GoblinTownGirl: Don't miss out on tomorrow's 
E-poo-sode of @g_weakli right here in @goblintown 🗞

TOMORROW NIGHT!!!
https://t.co/WF2ba…"
5,2022-09-14 04:03:05+00:00,goblintown,"RT @Wilsonchen1101: ""The Blast supper"" is coming,this is for every gobs's family~ i can see lots of clues on the table, let me know if you…"
6,2022-09-14 04:02:36+00:00,goblintown,RT @MeMoediggz: @icecreamsandETH @goblintown https://t.co/c2cgNyic1N
7,2022-09-14 04:02:13+00:00,goblintown,dᵢₛ ₐ @Zeneca_33 ₛₚₑₛₕᵤₗ! https://t.co/6wbMbJQuWM
8,2022-09-14 04:02:01+00:00,goblintown,"RT @AgingDeath: Yes, we bring our Goblin mask everywhere !!! 👺💚

@goblintown https://t.co/D48vXKQH42"
9,2022-09-14 03:22:22+00:00,goblintown,RT @ZunkzNFTs: Thank You @goblintown and @process_grey for the 1/1 Grumpl! We love being part of the goblintown community.
10,2022-09-13 23:02:50+00:00,goblintown,RT @icecreamsandETH: what is a grumpl??? @goblintown
11,2022-09-13 23:02:12+00:00,goblintown,RT @jonfarjo: @goblintown Translated... https://t.co/d6MW2SFbZ8
12,2022-09-13 22:23:15+00:00,goblintown,gₐₐₐₐₐₐᵤggₕ bₗbₗbₗbₗbₗbₗ fₒₒgᵢ! ᵢₘzₐ gₒₙzₐ ₑₑₜ ₐₗₗₐyₑᵣ ₗₑfₜ fₒₒₜcₒₐₜₛ! ₘₐₖₑ yₒᵤ wₒₖ fᵤₙₙy fᵣₑᵥᵥₑᵣ ₕₐₕₐₕₐₕₐₕₐ gₗₐgₗₐgₗₐ!! https://t.co/Xg9VKbujNO
