,Time,User,Tweet
0,2022-04-28 22:44:34+00:00,ovrthnkngsoul,"Always look for the fool in the deal. If you don’t find one, it’s you.” — Mark Cuban"
1,2022-04-28 22:42:29+00:00,ovrthnkngsoul,Make every detail perfect and limit the number of details to perfect.” — Jack Dorsey
2,2021-12-17 20:20:41+00:00,ovrthnkngsoul,"RT @vetmoph: If you have the means to foster them, please do!😞
#OdettePH https://t.co/pVsjHzNyRk"
3,2021-07-19 20:08:51+00:00,ovrthnkngsoul,RT @textstagram_: I feel so happy when you talk to me.
4,2021-07-19 20:08:45+00:00,ovrthnkngsoul,RT @textstagram_: I want to sleep forever
5,2021-07-14 23:43:25+00:00,ovrthnkngsoul,"RT @textstagram_: I’m not just tired, I also feel so empty and alone."
6,2021-07-14 23:43:19+00:00,ovrthnkngsoul,"RT @textstagram_: if I tell you my problems, that means I trust you."
7,2021-07-14 23:43:15+00:00,ovrthnkngsoul,RT @textstagram_: always remember that you’re important and you exist for a reason.
8,2021-07-14 23:43:12+00:00,ovrthnkngsoul,"RT @textstagram_: i don’t want to get hurt, again."
9,2021-07-14 23:43:06+00:00,ovrthnkngsoul,"RT @textstagram_: Its fine, I’ll act like im okay."
10,2021-07-14 23:43:04+00:00,ovrthnkngsoul,"RT @textstagram_: to my favorite person, i really need your hug"
11,2021-07-14 23:43:02+00:00,ovrthnkngsoul,RT @textstagram_: i always remember my favorite person.
12,2021-07-14 23:43:00+00:00,ovrthnkngsoul,RT @textstagram_: Glow up your mindset not your face
13,2021-07-14 23:42:58+00:00,ovrthnkngsoul,RT @textstagram_: no more expectations from anyone.
14,2021-07-14 23:42:55+00:00,ovrthnkngsoul,"RT @textstagram_: i am a hardworking lazy person, yes we do exist."
15,2021-07-14 23:42:53+00:00,ovrthnkngsoul,RT @textstagram_: 11:11 Always you.
16,2021-07-14 23:42:51+00:00,ovrthnkngsoul,"RT @textstagram_: it's you, it's always you."
17,2021-07-14 23:42:47+00:00,ovrthnkngsoul,"RT @textstagram_: i need your hug, seriously."
18,2021-07-14 23:42:42+00:00,ovrthnkngsoul,RT @textstagram_: Imagine being enough for someone.
19,2021-07-14 23:42:40+00:00,ovrthnkngsoul,RT @textstagram_: you are my everything.
20,2021-07-14 23:42:38+00:00,ovrthnkngsoul,RT @textstagram_: i wanna spend this night talking to you.
21,2021-07-14 23:42:33+00:00,ovrthnkngsoul,RT @textstagram_: you will never be happy if you continue to hold on to the things that make you sad.
22,2021-07-14 23:42:30+00:00,ovrthnkngsoul,RT @textstagram_: i like private but not a secret.
23,2021-07-14 23:42:25+00:00,ovrthnkngsoul,RT @textstagram_: i can be the most understanding person but remember i’m not blind.
24,2021-07-14 23:42:21+00:00,ovrthnkngsoul,RT @textstagram_: the more i grow the less i care.
25,2021-07-14 23:42:18+00:00,ovrthnkngsoul,RT @textstagram_: choose yourself this time. it’s time for you to go back to your old happy self.
26,2021-07-14 23:42:09+00:00,ovrthnkngsoul,RT @textstagram_: make sure that if you choosing them over me... you don’t ever want me again.
27,2021-07-14 23:42:04+00:00,ovrthnkngsoul,RT @textstagram_: one day you'll realize how much i cared.
28,2021-07-14 23:42:00+00:00,ovrthnkngsoul,RT @textstagram_: i want to hug you and sleep
29,2021-07-14 23:41:58+00:00,ovrthnkngsoul,RT @textstagram_: i dont like sharing my fav person
30,2021-07-14 23:41:55+00:00,ovrthnkngsoul,RT @textstagram_: sometimes the only person you can count on is yourself.
31,2021-07-14 23:41:52+00:00,ovrthnkngsoul,RT @textstagram_: i prefer vibes than looks tbh
32,2021-07-14 23:41:46+00:00,ovrthnkngsoul,RT @textstagram_: be my best friend in public but lover in private.
33,2021-07-14 23:41:42+00:00,ovrthnkngsoul,RT @textstagram_: I appreciate how ugly I am.
34,2021-07-14 23:40:32+00:00,ovrthnkngsoul,RT @Srjmxrell_: at the end of the day i still miss you
35,2021-07-14 23:39:58+00:00,ovrthnkngsoul,RT @undecidedtext: I notice everything but don't say shit.
36,2021-06-17 23:36:07+00:00,ovrthnkngsoul,Die
37,2021-06-17 23:36:06+00:00,ovrthnkngsoul,Wanna
38,2021-06-17 23:36:05+00:00,ovrthnkngsoul,I
39,2021-06-11 23:15:45+00:00,ovrthnkngsoul,RT @thefaizosman: Do you watch anime? you should try loving anime without ani.
40,2021-06-11 23:15:23+00:00,ovrthnkngsoul,RT @bertybrates: happiness with the right person please.
41,2021-06-11 23:15:17+00:00,ovrthnkngsoul,"RT @bertybrates: give me a hug, i’m tired."
42,2021-06-11 23:15:15+00:00,ovrthnkngsoul,RT @bertybrates: everything hits you different at night.
43,2021-06-11 23:15:12+00:00,ovrthnkngsoul,RT @Srjmxrell_: sorry for being cold when i get sad.
44,2021-06-11 23:15:06+00:00,ovrthnkngsoul,"RT @bertybrates: lowkey, wanna restart my whole life."
45,2021-06-11 23:14:58+00:00,ovrthnkngsoul,RT @bertybrates: it’s hurting me but nvm.
46,2021-06-10 08:03:25+00:00,ovrthnkngsoul,"RT @evenfallpoetry: dear self,
you hold so much pain 
and still rise, I'm proud of you."
47,2021-06-10 07:57:45+00:00,ovrthnkngsoul,RT @bertybrates: I’m strong but i’m also a crybaby.
48,2021-06-10 07:57:24+00:00,ovrthnkngsoul,"Tapos yung isang taong masasabihan mo ng problema, wala nang pakialam sayo"
49,2021-06-10 07:57:23+00:00,ovrthnkngsoul,Nakakapagod
50,2021-06-10 07:55:06+00:00,ovrthnkngsoul,"RT @bertybrates: i want you permanently, not temporarily."
51,2021-06-10 07:54:55+00:00,ovrthnkngsoul,I'm trying
52,2021-06-05 02:08:16+00:00,ovrthnkngsoul,RT @PoemHeaven: what’s your love language? https://t.co/17L1910Mof
53,2021-06-05 02:07:27+00:00,ovrthnkngsoul,RT @Srjmxrell_: cold weather ft. sadness
54,2021-06-05 02:07:02+00:00,ovrthnkngsoul,RT @smnthtsc: cutting people off is my new hobby
55,2021-06-05 02:05:34+00:00,ovrthnkngsoul,I hope the future me is happy.
56,2021-06-05 02:05:05+00:00,ovrthnkngsoul,RT @sadnessdaiIy: Can’t wait for the day where I feel ok again
57,2021-06-05 02:02:09+00:00,ovrthnkngsoul,"RT @textstagram_: we are strangers, again"
58,2021-06-05 02:01:46+00:00,ovrthnkngsoul,"RT @beronggzzsskie: I believe in ""no chats but still friends"" supremacy"
59,2021-06-05 01:58:01+00:00,ovrthnkngsoul,"RT @bertybrates: tired, sad and overthinking."
60,2021-06-05 01:57:59+00:00,ovrthnkngsoul,"RT @bertybrates: not sad, not happy, just tired of everything."
61,2021-06-05 01:57:29+00:00,ovrthnkngsoul,Yes https://t.co/1znT7HWNWq
62,2021-06-05 01:57:17+00:00,ovrthnkngsoul,"RT @ecko_jovellanos: Two types of me:
- Extrovert in chats
- Introvert in person"
63,2021-06-05 01:57:02+00:00,ovrthnkngsoul,Pipigilan ko na muna ang sarili ko.
64,2021-06-05 01:57:01+00:00,ovrthnkngsoul,Namimiss kita pero siguro hanggang dito nalang talaga.
65,2021-06-05 01:55:45+00:00,ovrthnkngsoul,Siguro sanay na siya na wala ka.
66,2021-06-05 01:55:13+00:00,ovrthnkngsoul,Nakakapagod 😪
67,2021-06-05 01:54:40+00:00,ovrthnkngsoul,Huwag nang ipilit dahil umpisa palang naman talaga hindi na pwede.
68,2021-06-05 01:54:04+00:00,ovrthnkngsoul,Siguro kailangan nalang talaga tanggapin.
69,2021-06-05 01:50:54+00:00,ovrthnkngsoul,RT @visualsposts: https://t.co/2NGD9d2P3s
70,2021-06-05 01:50:47+00:00,ovrthnkngsoul,"RT @bertybrates: i don’t want to get hurt, again."
71,2021-06-05 01:50:18+00:00,ovrthnkngsoul,RT @Srjmxrell_: kinda sad but its okay
72,2021-06-05 01:50:13+00:00,ovrthnkngsoul,RT @undecidedtext: sorry i can't be perfect.
73,2021-06-05 01:49:57+00:00,ovrthnkngsoul,RT @Stakk5L: i been thru situations that changed my heart forever.
74,2021-06-05 01:49:50+00:00,ovrthnkngsoul,"RT @textstagram_: i miss you, be safe everyday"
75,2021-06-05 01:43:28+00:00,ovrthnkngsoul,"RT @bertybrates: ""are u okay?"" no, but it's okay."
