,Time,User,Tweet
0,2022-09-13 19:00:01+00:00,projectPXN,"PXN PAPERS //EXCLUSIVE 3
MINHxDYNASTY
Full interview on our Discord and Website
https://t.co/gIBXOOUroj https://t.co/tY8azkwI77"
1,2022-09-13 10:13:31+00:00,projectPXN,👨🏼Where can I get me some of that…?
2,2022-09-13 10:13:31+00:00,projectPXN,"👨🏼Ripped it apart, you see, used the arm what was killing him and bashed the traitors with it. I knew we had something from the lab, sir, but I never seen it used before. Frightening it was, truly frightening. Anyway sir, I was wondering…
👩🏾Yes, private?"
3,2022-09-13 10:13:30+00:00,projectPXN,"He sticks himself and then…there was nothing left of them, at the end. They ain’t laughing no more, least not with their heads attached to their necks…
👩🏾The cyborg?"
4,2022-09-13 10:13:30+00:00,projectPXN,"stick and he sticks himself, see, right there in his leg, he sticks himself. 
👩🏾What did he use, private?
👨🏼I think you know sir, least as well as I do. See Ames, he’s pretty pally with the Doc, back at the base see. They’re from the same neck of the woods."
5,2022-09-13 10:13:29+00:00,projectPXN,"👨🏼No, sir. This is the thing…that blood weren’t his. See Ames, sir, he’s a strong lad, but he ain’t that strong. He works out a bit, but that’s about it. He’s grabbing at his throat and he’s never gonna break that things grip, but I see him go into his pocket, and he pulls out a"
6,2022-09-13 10:13:29+00:00,projectPXN,"👨🏼It was one of them cyborgs, sir. Had him pinned against a’ wall and was crushing his throat, as it were. Those traitor bastards were cheering the thing on too, right terrible scene it was. Poor Ames.
👩🏾So they killed him? You said there was blood?"
7,2022-09-13 10:13:29+00:00,projectPXN,"👩🏾What about him, private?
👨🏼He…he should be dead…that thing…so much blood…
👩🏾Calm yourself, 4093. What exactly did you see?"
8,2022-09-13 10:13:28+00:00,projectPXN,"Final Report:Experimental Formulas
!RIOT [ REPORT ]
Effect: [ UNKNOWN ]

From the field /// Ghost #4093 
@Janb8589

👨🏼I’ve never…there was so much blood…a man can’t do those things…
👩🏾Slow down, soldier. Take a breath. What did you see?
👨🏼Ames, sir.
👩🏾Corporal Ames?
👨🏼Yes sir. https://t.co/NNWDsJwtRn"
9,2022-09-12 11:13:44+00:00,projectPXN,"🧑🏻‍🦱Alive? How is that possible? The building blew!

👩🏽‍🦳It’s like you said before… we had one shot. Well, turns out so did he…"
10,2022-09-12 11:13:44+00:00,projectPXN,"🧑🏻‍🦱We had one shot at this… it’s a miracle what he did. The lads a hero, rest his soul. 

👩🏽‍🦳Rest his soul? Chief, he made it out. Walked right through the fire and back to our lines. Bloody, burnt… but he’s alive. He’s with the doc right now."
11,2022-09-12 11:13:43+00:00,projectPXN,"👩🏽‍🦳We lost contact when he moved through the secondary gates… a few minutes later, everything went boom. 

🧑🏻‍🦱An explosion?

👩🏽‍🦳The whole compound. Gone. Just piles of rock and rubble. The scouts say it’s still smouldering…"
12,2022-09-12 11:13:43+00:00,projectPXN,"👩🏽‍🦳I still can’t believe it. How did he do it? 

🧑🏻‍🦱Went through the front gate, took out the guards before they even knew there was anyone there. Silenced the dogs, disabled the alarms. We estimate at least 30 casualties on their side."
13,2022-09-12 11:13:41+00:00,projectPXN,"m00nshot🧪 [ REPORT ]
Effect: [ UNKNOWN ]

Report from the field /// Ghost #5976 @selada8

👩🏽‍🦳That place was locked down like nothing we’ve ever seen before. Guards. Dogs. Alarms. Booby traps. It’s a fortress. There’s no way anyone could have made it in.

🧑🏻‍🦱He made it in alright… https://t.co/TJPuwH0vdJ"
14,2022-09-11 13:01:54+00:00,projectPXN,"🐰Kills... well, kills pretty much everything..
🥷Please doc, please don’t do that. I’m alright, I swear…
🐰Just a little pour… there we go, ooh it's sizzling, ghost, you smell that?… Oh, he's fainted. Now, where did I leave my scalpel…"
15,2022-09-11 13:01:54+00:00,projectPXN,"🐰Just a little sip, come on, for the pain. Now… drink.
🥷*Glug* Gah, that’s rotten. 
🐰Don’t be silly, it takes the pain away. Now here’s the other half.
🥷Other half?
🐰Half and half - half in the belly, half on the leg. Best medicine we have, that's what they told me."
16,2022-09-11 13:01:53+00:00,projectPXN,"🥷Oh god, I’m gonna die, I’m gonna die.
🐰Don't be silly, soldier. Now, I need you to drink this.
🥷Wha-what’s that…is that…?
🐰Shh, just open up, it might burn a little.
🥷Is that…JPEG? I’m not drinking that, you’re supposed to be making me better here, doc."
17,2022-09-11 13:01:53+00:00,projectPXN,"🥷Where… where’s it gone? Is that important? I’m bleeding out here, doc. You are a doc, aren’t you? 
🐰Uhh, I think so. That’s what they told me anyway…
🥷But you’re trained, right? You know how to fix me?
🐰I'll give it a good go, ghost. Let me see that arm. Whoops, I mean leg"
18,2022-09-11 13:01:52+00:00,projectPXN,"JPEG Juice 473ml [ REPORT ]
Effect: [ UNKNOWN ]

Report from the field /// Ghost #6421 @Kingetsuu

🥷 My leg. My fuckin’ leg!!
🐰What’s wrong with it, ghost?
🥷 What’s wrong with it? It's bloody gone is what’s wrong with it. Oh god that hurts…
🐰Oh shit yeah, where’s it gone? https://t.co/MMZdryJcxJ"
19,2022-09-09 19:00:02+00:00,projectPXN,"PXN PAPERS //ISSUE 9

Project News, Crypto Talk and much more!
Full article on our website and Discord
https://t.co/GQK58Sd8Iw https://t.co/jslp45rIxJ"
20,2022-09-07 17:18:40+00:00,projectPXN,"Ghost 3185: REINCARNATED

""I am the sin that consumes from within; the destruction I bring does not thunder or roar 
It suffocates...
It chokes...

Do you ever feel something is eating you away? Do you ever feel decayed? That would be me... GLUTTONY"" https://t.co/eQNW6VfjHf"
21,2022-09-06 11:18:44+00:00,projectPXN,"Calling all Ghosts - The Resistance needs you!
[Status - pending]

Ghost Operatives are required for a mission. 
[1] Special Operations
[1] Army
[1] Support
Only one from each branch will be selected.

Drop your Ghost ID &amp; PFP to these communications in order to be selected. https://t.co/kfmtvYua8s"
22,2022-09-05 19:10:40+00:00,projectPXN,🗣️🔥👤 Fireside chat recap with @reicannon and @dexd0x found in our Discord: https://t.co/3ZCp2u9HNN https://t.co/I0rLwfSc1L
23,2022-09-02 19:00:20+00:00,projectPXN,"PXN PAPERS //ISSUE 8

Project News, Crypto Talk and much more!
Full article on our website and Discord
https://t.co/Wl8Ch8w8E3 https://t.co/avEnMxmA8q"
24,2022-09-01 20:05:58+00:00,projectPXN,"RT @slabfilms: We are trailblazing a new model for film, propelling the movie industry into Web3 

We are S.L.A.B. Films #stinglikeabee

ht…"
25,2022-08-28 16:21:38+00:00,projectPXN,👁 https://t.co/AHyCDY2uj1
26,2022-08-26 19:00:00+00:00,projectPXN,"[05 Rodney]

You don’t win alone. That’s just how it is.

@rodney_eth https://t.co/gndZcFgjFf"
27,2022-08-26 07:03:01+00:00,projectPXN,"RT @sentsationsg: Shinobi!!! @projectPXN joining in the 0.5% holders who has a giant shuriken!

A rare one to add it in 👻 @NFTkwi https://t…"
28,2022-08-25 19:00:00+00:00,projectPXN,"PXN PAPERS //ISSUE 7

Project News, Crypto Talk and much more!
Full article on our website and Discord
https://t.co/iHdRlaSEop https://t.co/UIBqEIITOw"
29,2022-08-23 19:00:01+00:00,projectPXN,"Exclusive Interview with our Biz Dev Team 👻
Read the full article on our website and Discord
https://t.co/opFxJ72Feu https://t.co/hRNTGYp64e"
30,2022-08-23 09:35:34+00:00,projectPXN,RT @_milanch: They look like long lost brothers. One went the way of the samurai and the other went the ninja route. @projectPXN https://t.…
31,2022-08-23 08:54:07+00:00,projectPXN,"We are excited to be participating in a mini-game tournament on Aug 25th hosted by @internet__game

We will be competing for some serious prizes while trying to beat all the other teams! 👑 

Look out for the AMA in discord with @internet__game later this week 👁️ https://t.co/jxuTOvweJh"
32,2022-08-23 01:00:00+00:00,projectPXN,"We advance, with the agility of the hare
Our form; swift
Our minds; sharp
We advance, like shadows encroaching the land
Too swift to be overtaken
Too swift to be outrun https://t.co/mgmWLPmJm4"
33,2022-08-22 22:00:00+00:00,projectPXN,"I am the Beserker. The Beast who tears the world asunder. A wrecking ball of power and might, I turn the earth upon its axis; nations tremble at my charge. https://t.co/KtiiLs67vJ"
34,2022-08-22 18:47:26+00:00,projectPXN,"From the blackest depths roars my screeching horde, tails and teeth and raging fury. Their flesh stands in our way.

I am your Rat King
And they are our prey. https://t.co/SsZTS7cAtz"
35,2022-08-22 17:43:29+00:00,projectPXN,"There is neither good nor evil in war;
    only victory
    or defeat

From the Heavenly Gates 
we Celestial Generals emerge
Twelve of us there are
to lead you through 
the Ninefold Earth https://t.co/stWy5GLSdN"
36,2022-08-22 17:08:43+00:00,projectPXN,"RT @Yu_Gi_Yn: One of our missions here at ¥u-Gi-¥n is to link global NFT projects with Tokyo Culture ⛩️
We are happy to host and invite our…"
37,2022-08-20 14:46:40+00:00,projectPXN,"Complacency is our biggest threat, to stand idle our greatest failure. 
Heed this call to arms, Ghosts...  
The Resistance trains, 10,000 strong ✊ https://t.co/uU7ePJW98Y"
38,2022-08-18 19:00:01+00:00,projectPXN,"PXN PAPERS //ISSUE 6

Project News, Crypto Talk and much more!
Full article on our website and Discord: https://t.co/Xop1X7pzZM https://t.co/KrzV2kIU6m"
39,2022-08-18 15:46:37+00:00,projectPXN,https://t.co/mgNXei2gMi
40,2022-08-18 13:58:06+00:00,projectPXN,https://t.co/0XK44MFy6o
41,2022-08-18 13:00:02+00:00,projectPXN,"⚔️Ghosts,
 
Welcome to The Grid--your training room for the Winter. Activity here is undetectable by Central Power. Opportunity: infinite. The more you train, the more you'll gain. Take a look around, and when you're ready,
 
let the [Training] begin.
 
https://t.co/FTcWNa1BYV https://t.co/dIpsZHPScr"
42,2022-08-16 23:00:01+00:00,projectPXN,"⚔️--The Grid--
A Resistance-accessible meta-location accessible only to the regiments.
 
""It's been a while, old friend. The Central Power has gotten quite strong! To beat them, we'll need more than strength &amp; endurance; we'll need [Intelligence].
 
Many showed. It's time."""
43,2022-08-15 23:00:01+00:00,projectPXN,"⚔️I find the nearest entry point.
""The city's gotten quite advanced.
Never thought I'd ""jump"" from reality to reality, like that 1999 movie 'The Matrix' or that book 'Ready Player something,' but here we are: this token The Resistance gave us Ghosts is quite the technology."""
44,2022-08-14 23:00:01+00:00,projectPXN,"⚔️""Sasuka, Saitama,…Luffy--leaders of legends I grew up with underwent rigorous trial to become the heroes they were. Because of them, I know we cannot change the world without [Strength] of mind &amp; body.
 
-Wait-
 
A message arrives:
 
'Ghosts...it's time.'"""
45,2022-08-13 23:00:00+00:00,projectPXN,"⚔️""It's called a battle, because you have to fight for it. It's not supposed to come easy. With each passing day and each passing night, I see some wane in their faith. [Endurance] is the first attribute a Ghost must build. As new recruits choose this path, this they must learn."""
46,2022-08-13 03:32:49+00:00,projectPXN,"⚔️“I believe we all experience many deaths throughout our lives; not only one at the end. The day I said goodbye to the version of me okay with serving the former web for so long, I swore to devote my life fighting for a future we could all own. 'Til that day arrives, I train."""
47,2022-08-11 19:00:00+00:00,projectPXN,"PXN PAPERS //Issue 5

Project News, Crypto Talk and much more!
Full article on our website and discord: https://t.co/wX5h6rvcJW https://t.co/NMYoCugz4w"
48,2022-08-08 19:00:01+00:00,projectPXN,"A glimpse into the world of PXN's Product Manager, Product Owner, and Project Manager; the Ghosts responsible for keeping our ship steady as we venture into the great unknown 👁️

Full article available on our discord and website: https://t.co/hwVlzG1MLG https://t.co/zbNU7lXlCT"
49,2022-08-08 12:43:41+00:00,projectPXN,"RT @Ryan_Daryani: Added these two to my collection.
Couldn’t let these girls stay on the floor. 
@projectPXN https://t.co/4wenBRZVkb"
50,2022-08-08 02:58:41+00:00,projectPXN,"Full interview coming at you on our discord and website, Monday 12pm PST 👻👻👻 https://t.co/Z6kXgLVYgS"
51,2022-08-06 03:26:04+00:00,projectPXN,Tech update from ISSUE 4: https://t.co/IDmuQ1lSSD https://t.co/HD3xCuDqIO
52,2022-08-04 19:00:00+00:00,projectPXN,"PXN PAPERS //ISSUE 4

Project News, Crypto Talk and much more!
Full article on our website and Discord:
https://t.co/IDmuQ1CVUD https://t.co/RL5LZkqceC"
53,2022-08-04 15:00:04+00:00,projectPXN,"Ghost 7852: REINCARNATED

""I take what I want and I’ll take it with a smile 😘 
Make way, and keep a wide berth... or fall to ruin in my wake. For I am unyielding, I am unapologetic, I am… GREED."" https://t.co/dNMtbRXNDv"
54,2022-08-04 03:33:22+00:00,projectPXN,"PXN lore runs deep with a myriad of colourful characters, this week featuring @Bronsnx 👁 https://t.co/oW6Lx03c7y"
55,2022-08-02 09:55:21+00:00,projectPXN,A bite-sized tech piece from ISSUE 3: https://t.co/NWGUk7M9jn https://t.co/PixfG0mBP1
56,2022-07-28 19:00:02+00:00,projectPXN,"PXN PAPERS //ISSUE 3
Project News, Crypto Talk and much more!
Full article on our website and Discord https://t.co/uSFOjknVgs https://t.co/1KIjgagpMV"
57,2022-07-28 04:41:27+00:00,projectPXN,"PXN has been invited to join @CryptobiliaNFT in the Battle Royale to win a 5 ETH prize and WL for our community! Registration is LIVE here (Desktop Recommended)- https://t.co/ikfkVUGLMM

Let's bring home the loot! 💪"
58,2022-07-25 19:00:01+00:00,projectPXN,"Ghost 4641: REINCARNATED

""A man's ego is the only thing he truly possesses, and the strong will wield it not with caution, but with fury. 

Unleash the darkness within, the power, the primordial sin... PRIDE."" https://t.co/0Plfv7zdiB"
59,2022-07-25 08:10:20+00:00,projectPXN,"Ghost 8600: REINCARNATED

""I do not inflict pain on others... I give the gift of pain that one can only inflict upon themselves. My sweet poison, the incurable disease that is ENVY 💚"" https://t.co/ap5LtpPbPx"
60,2022-07-22 16:36:10+00:00,projectPXN,"RT @danny54035112: My new PXN | R26 with Leader @Emilyghoul1 

@projectPXN https://t.co/uS2Dd8fuqK"
61,2022-07-22 16:35:36+00:00,projectPXN,"RT @shady16900: I joined Ghost army!

@projectPXN

Is a #ghostfollowghost still working?🤔
#pxnfollowpxn https://t.co/ImEyZxkqgc"
62,2022-07-22 16:31:56+00:00,projectPXN,RT @reicannon: lmao https://t.co/7FklkxWlOB
63,2022-07-21 19:00:00+00:00,projectPXN,"PXN PAPERS ISSUE 2 👁️
Project News, Crypto Talk and much more!
Full article on our website, and Discord
https://t.co/KutvJ2bZES https://t.co/LbqHgb7Vka"
64,2022-07-21 12:44:46+00:00,projectPXN,"RT @Mark_Memelord: Having a cute minion ice cream here 🙌🏻
Saw this PXN displaying here 🔥
So glad that there some people out there doing thi…"
65,2022-07-21 09:04:49+00:00,projectPXN,"RT @miuzique: SHINOBI ACQUISITION. SNIPED.
@projectPXN #ghostfollowghost #pxnfollowpxn https://t.co/KYEzVy14m6"
66,2022-07-20 03:13:28+00:00,projectPXN,@TaeKwonKrypto It was the essay for us 💯
67,2022-07-20 03:05:27+00:00,projectPXN,"RT @Mark_Memelord: Gonna go to a ice cream shop in Malaysia 🇲🇾 because I saw them display @projectPXN there 🔥
Can I meet any Fam there ?🧐
#…"
68,2022-07-19 16:50:46+00:00,projectPXN,"Artist credit: Khantrast
https://t.co/uF8GDkpC0m
https://t.co/Fgplh4PIVv"
69,2022-07-19 16:50:46+00:00,projectPXN,"RUN IT UP - [PXN OST] ✊

Officially dubbed by the Ghost community👻
https://t.co/PpoFkAprEX"
