,Time,User,Tweet
0,2022-09-09 18:38:51+00:00,themetroverse,"Metizens, the first beta round of Metroverse Battles has begun! This allows cities to test the battle gameplay before the game goes live. This beta round lasts a week, and will end on Friday September 16th at 4pm UTC. 

Which cities will rank in the top 3? 🥇🥈🥉 https://t.co/wIZ1KqGFbF"
1,2022-08-02 21:08:22+00:00,themetroverse,"Introducing FUEL! The second in-game token with limited supply that will be essential for battles! Every game action costs FUEL in addition to MET, which balances gameplay. 🔥

Cities can build their fuel tanks starting today! More information on our Discord. 🚀 https://t.co/ZTe2aMRNWa"
2,2022-07-21 18:30:43+00:00,themetroverse,"RT @MrWhittleman: Learn more about the Metroverse NFT game in this quick 5:00 minute Beginner Guide! @themetroverse 

https://t.co/ycqv9LTa…"
3,2022-07-19 23:51:33+00:00,themetroverse,"RT @PlayToEarnGames: Top Metaverse Projects by Total Value of Land Sales

@OthersideMeta
@decentraland
@TheSandboxGame
@nftworldsNFT
@Voxel…"
4,2022-07-19 15:43:01+00:00,themetroverse,"Metizens, it's Metroverse Prime Day! Get your mini blocks ready to mint some Primes and burn some MET!

Who's going to mint the first double-stadium block? Will there ever be one with three stadiums?!

Let's find out! 🔥 https://t.co/biAiW0rLMJ"
5,2022-07-15 19:22:58+00:00,themetroverse,"Metizens, hood earnings have been turned off and all earnings now go into the respective city treasuries!

If you haven't joined a city yet, please do so ASAP as your hood is no longer earning MET.

Which city will have the largest treasury when the battle begins? 🚀 https://t.co/XNzk0kGghS"
6,2022-07-12 21:52:34+00:00,themetroverse,"Metizens, starting July 15th, only city treasuries will earn MET. If you haven't joined a city by then, your hood will no longer earn any MET.

We recommend you join a city by visiting https://t.co/7wYmd8PSBX as soon as you can.

Just 3 days to go! 🚀 https://t.co/YWnLhQiew5"
7,2022-07-08 18:47:12+00:00,themetroverse,"Metizens, just a week to go until all hood earnings will be turned off and earnings will go into city treasuries!

If you haven't joined a city by then, your hood will stop generating MET, so please select and join a city by visiting https://t.co/7wYmd8PSBX https://t.co/d1h7iT6lop"
8,2022-07-06 12:24:03+00:00,themetroverse,"Metizens, starting July 15th at 7pm UTC, all hood earnings will be turned off and earnings will go into city treasuries. 🏦

If you haven't joined a city by then, your hood will stop generating MET, so please select and join a city by visiting https://t.co/7wYmd8PSBX 🚀 https://t.co/6YZWmcO69X"
9,2022-07-05 21:06:35+00:00,themetroverse,"Metizens, we are thrilled to announce the launch of Metroverse Prime on Tuesday July 19th! 🤩

With Metroverse Prime, you can transform 10 of your mini blocks into a single prime block based on the buildings within the mini blocks! 

Get ready to roll some incredible Primes! 🚀 https://t.co/QoTXqgIabE"
