,Time,User,Tweet
0,2022-09-14 09:34:27+00:00,unofficialmfers,"@ABXeth L
F
GGGGGGG
🤝"
1,2022-09-14 09:33:54+00:00,unofficialmfers,@G00NR https://t.co/ONN4YJWaDs
2,2022-09-14 09:32:35+00:00,unofficialmfers,"@interskh I've (Imp0ster) been thinking about this! Some mfers may prefer collabland... 
I need to check on how the two bots add/deny the role to make sure they won't remove the role that the other one set 🤔
I will look into this for the server, thank you Big K 🙏"
3,2022-09-14 02:49:08+00:00,unofficialmfers,"Gm mfers, and happy Hump Day! The Unofficial Mfers Discord is moving to Vulcan verification in the next few days! 

Vulcan verification does not require connecting your wallet ✅

We'll announce in the server when the change-over happens so you'll know when &amp; where to reverify 🔑"
4,2022-09-12 09:46:15+00:00,unofficialmfers,Gm mfers and frens 🌄 https://t.co/VmJhdjVCdV
5,2022-09-12 09:44:15+00:00,unofficialmfers,"RT @MasterChanX: 🚨 𝙢𝙛𝙚𝙧𝙨 𝙫𝙤𝙩𝙞𝙣𝙜 🚨 

1) want to vote but don't know how? keep reading mfers 👇 https://t.co/CFySgSOP4z"
6,2022-09-11 20:11:15+00:00,unofficialmfers,"We have 2️⃣ soft passes up in the Discord Citadel, waiting for your vote, mfers! Please drop in and check out these proposals ✅ https://t.co/mObbg6NdjF"
7,2022-09-11 15:17:44+00:00,unofficialmfers,RT @s5nos: 这一套MD，好看到爆！ https://t.co/NeP3enIhW8
8,2022-09-11 11:13:45+00:00,unofficialmfers,"memecrafting #mfers , this mfer needs your help! 👀👇 https://t.co/6R0tYFoE4b"
9,2022-09-11 02:48:40+00:00,unofficialmfers,RT @Matlok42: mfers out in a classic vehicle tonight. Looking clean as a mfer! https://t.co/LstV7d46od
10,2022-09-02 11:49:45+00:00,unofficialmfers,mfers
11,2022-09-01 11:20:01+00:00,unofficialmfers,"RT @m4rsh___: the core memes of mfer culture

1. optimism
2. freedom
3. inclusion"
12,2022-08-31 15:34:58+00:00,unofficialmfers,RT @kmldot: 1/ attention mfers: there are 4 proposals up for discussion in the @unofficialmfers discord https://t.co/ydcjOGA2jG
13,2022-08-31 15:33:38+00:00,unofficialmfers,"Set a reminder, #mfers !
Discussion about this proposal is active right now in the Discord and we'll learn more about the project tomorrow in this Space 👀 https://t.co/VKUw2lCio8"
14,2022-08-30 10:56:50+00:00,unofficialmfers,@punk6529 gm 6529 mfer 🌞
15,2022-08-30 10:54:32+00:00,unofficialmfers,@elCapitanoMfer gm elcapitano mfer 🌞
16,2022-08-30 10:52:18+00:00,unofficialmfers,@elmerrdart gm Elmer mfer 🌞
17,2022-08-30 10:50:36+00:00,unofficialmfers,"@Franz83301949 @HodlerJerry Very nice headband, mfer!"
18,2022-08-29 20:26:32+00:00,unofficialmfers,@Dorsian gm fresh mfer! welcome 🌞
19,2022-08-29 20:19:32+00:00,unofficialmfers,#mferish 💜⚒️ https://t.co/fWtOmWhBOG
20,2022-08-29 20:18:48+00:00,unofficialmfers,@elmerrdart gm mfer 🌞
21,2022-08-29 20:16:50+00:00,unofficialmfers,"@marto_gm, a fellow mfer, has inspired this limited release ""gm mfer"" coffee from Rarible! ☕

*nfa/dyor* https://t.co/tzRM3qVQDk"
22,2022-08-27 14:06:55+00:00,unofficialmfers,"feel free to let me know your experiences with these tools in the comments 🙏

Thanks mfers!"
23,2022-08-27 14:05:58+00:00,unofficialmfers,"gm #mfers , Imp0ster here 🌻

The unofficial mfers discord server is getting a slow and steady facelift!

Changing our verification and token-gating tool is one of our next updates to keep mfers safe and I'd like to get your input before I move forward 🙏"
24,2022-08-26 19:12:09+00:00,unofficialmfers,"@NorbertF76 Lookin cozy in that hat, mfer! 💙"
25,2022-08-26 19:10:46+00:00,unofficialmfers,"if you haven't played on @thebadcc 's mfer playground yet, you'll have even more layers to use now! Check it out 👀 https://t.co/jgYwvSisZR"
26,2022-08-26 19:09:24+00:00,unofficialmfers,more mfer iOS stickers courtesy of mfer @HeresMyEth ! https://t.co/rNnUq6dlMZ
27,2022-08-21 23:08:33+00:00,unofficialmfers,@sartocrates 🎧🪕🚬
28,2022-08-21 23:07:12+00:00,unofficialmfers,@Touchemontoch so many mfers 🔥
29,2022-08-21 23:05:52+00:00,unofficialmfers,🎧☕⌚ https://t.co/IyQ3pOt7Hy
30,2022-08-20 21:26:50+00:00,unofficialmfers,🎧🎮 https://t.co/9DE7xzpBeo
31,2022-08-19 23:05:56+00:00,unofficialmfers,There's another Snapshot vote up now for #mfers  holders! Further details can be found in the umfers discord or in our Snapshot space ✅👇 https://t.co/sMuGa5piJj
32,2022-08-19 23:03:09+00:00,unofficialmfers,"RT @footDAO_mfers: mfers from 2 millions years ago, probably worth 69 mfers 😱"
